lump,time,date,cases
1,1,2022-02-01,1
2,2,2022-02-14,1
3,3,2022-02-16,2
4,4,2022-02-28,3
5,5,2022-03-02,0
6,6,2022-03-09,2
7,7,2022-03-21,0
8,8,2022-03-28,1
9,9,2022-03-30,2
10,10,2022-04-11,4
11,11,2022-04-18,6
12,12,2022-04-22,6
13,13,2022-05-02,3
14,14,2022-05-09,8
15,15,2022-05-16,12
16,16,2022-05-22,21
