lump,time,date,cases
1,1,2022-02-07,1
2,2,2022-02-14,1
3,3,2022-02-21,2
4,4,2022-02-28,3
5,5,2022-03-07,0
6,6,2022-03-14,2
7,7,2022-03-21,0
8,8,2022-03-28,1
9,9,2022-04-04,2
10,10,2022-04-11,4
11,11,2022-04-18,6
12,12,2022-04-25,6
