date,new_time,mean_conc,log_mean_conc,n_places
2022-02-02,1,31.984143489500003,3.465240264038001,2
2022-02-07,6,40.1290135,3.6920996013701393,1
2022-02-09,8,5.585411359199999,1.720158084097092,2
2022-02-11,10,6.715248411333333,1.9043808227881038,2
2022-02-16,15,4.552760621999999,1.515733779086452,1
2022-02-18,17,9.183843073999999,2.217445752540984,1
2022-02-23,22,73.771889415,4.3009777568089715,2
2022-02-25,24,74.00911935,4.304188320070887,1
2022-02-28,27,8.308724381000001,2.117306092992942,1
2022-03-02,29,18.612693292,2.923843783020004,2
2022-03-04,31,178.71043262999999,5.1857668011551965,2
2022-03-07,34,13.533865764666668,2.6051951193824414,1
2022-03-09,36,17.895205923333332,2.8845328514629474,1
2022-03-14,41,23.463507855,3.155446356983652,1
2022-03-21,48,193.95507223333334,5.267626545816934,1
2022-03-23,50,73.95104871,4.303403370394997,1
2022-03-28,55,22.284189930000004,3.1038774552778747,1
2022-03-30,57,35.12040943499999,3.5587824268709416,2
2022-04-01,59,9.704709859,2.2726113201411056,1
2022-04-04,62,56.26583595999999,4.030087529640686,1
2022-04-06,64,42.272121260000006,3.744127796901281,2
2022-04-11,69,86.53324746333337,4.460528703826973,1
2022-04-13,71,219.9931497999999,5.393596408594859,1
2022-04-20,78,36.34570557499999,3.59307605600996,1
2022-04-22,80,172.39688340499998,5.149799280368973,2
2022-04-25,83,86.48063154249999,4.459920476062151,2
2022-04-27,85,191.7781392575,5.256339179193848,2
2022-04-29,87,46.928240806,3.8486196436147013,2
2022-05-02,90,32.676151107,3.486645487872162,2
2022-05-04,92,125.46704828166665,4.832043160603313,2
2022-05-06,94,1051.4914758833334,6.95796488848444,2
2022-05-09,97,487.44584591166665,6.18917919895807,2
2022-05-11,99,433.4619530000001,6.07180402535616,1
2022-05-13,101,821.858341266667,6.711568045979465,2
2022-05-16,104,12.062560038,2.4901064438962415,1
2022-05-18,106,44.25440537666667,3.7899549230333553,2
2022-05-20,108,417.564169725,6.0344382324204044,2
2022-05-23,111,46.89445907066667,3.8478995249901558,1
