seed,min_rhat,max_rhat,min_ess_bulk,max_ess_bulk,min_ess_tail,max_ess_tail
1,0.9974835862276276,1.0100177907430263,561.3371346419586,1629.602078411505,420.1823643513528,1053.7402183303425
2,0.9976239793530878,1.0137032399678536,620.0946675663852,2223.5502622743033,584.62146287155,1037.8607958234684
3,0.9973047045708836,1.013238924203658,996.8620276387612,2359.552395360387,557.8163580019084,1086.1929250036676
4,0.9982376436448313,1.0100675890235773,817.7036660685633,2978.2462307289,446.4243948060469,1099.0988803556993
5,0.9972401300431094,1.015280270049962,791.6754849157719,3000,545.8771732580847,1105.238105277699
6,0.997790532843192,1.0114853614799275,972.8825659351246,2785.840580230546,546.3938840347198,1083.3601453842448
7,0.9976413560044308,1.014745686935683,766.2757256909018,1887.4946210868104,432.3039771549264,1104.823162622506
8,0.9978580593525463,1.0121227061645746,656.8226739541263,3000,445.5030491766588,1072.672468492126
9,0.9969717937623424,1.0173317371384794,912.4273932244532,2658.5167583325756,551.7415000173202,1061.70482165916
10,0.997972390766714,1.014804915448269,321.78456358159133,2639.513008758221,339.8225701748875,1035.9875153727255
11,0.9966835403467896,1.0151209138572788,771.755420289574,2531.66815110103,356.33949608978094,1130.521405767974
12,0.9980608937583332,1.0141132986786945,863.4487434267232,1833.4392581621669,626.6106565482297,1127.761636680089
13,0.9974096292439252,1.016208556340945,708.0886880399531,2304.8562833544343,580.0996626472622,1038.838868030162
14,0.9975323921842744,1.0144392694507631,593.3466677890073,3000,456.08425243163566,1079.6926571275428
15,0.997516736942818,1.010475105723101,768.8760850180236,1666.885848916878,495.43465411715863,1131.975807672332
16,0.9970265333485738,1.017069838719788,303.1576468785496,1577.7083492900067,379.76604130663776,1052.1705795001717
17,0.997640275724411,1.0136648886490358,953.3553795267452,2913.3309999457065,551.0931469681979,1038.0719065338023
18,0.9975831688917456,1.0140387433784828,903.8059306044488,2071.737896411463,490.2414641962712,1054.2113038362843
19,0.9966832436810744,1.0131962322267147,904.077913089519,1715.244348691771,526.0275988890232,1037.8607958234684
20,0.9965641244943156,1.015104329122899,772.5094324083292,1835.50665033195,502.2718184250297,1065.5826731437696
21,0.9974276910980304,1.0189272905437354,956.489149688468,2893.051162163537,509.06625277443766,1069.767647440564
22,0.9977438641196772,1.0284143993062425,983.0628337492252,3000,424.5791479330015,1077.6809402565636
23,0.997894636178472,1.011513683631868,917.5309632033012,2728.594262407755,599.0594344193888,1113.472615641316
24,0.9975790936911658,1.0183853685047983,1010.60940535062,2673.2001295882633,384.9249092864174,1061.9626213563677
25,0.9976646714946876,1.010123504439712,681.8941709953192,1426.9321793994754,509.5188055444691,1082.346239136289
26,0.9971506337140754,1.0254532769195968,202.4353137097152,2097.466979354685,288.01886379388236,1031.9635544567768
27,0.99699474126387,1.011796383020486,682.9046484848647,1591.5890578057422,525.4417113006914,1051.2360911395474
28,0.9973441647221396,1.0147874014664615,734.7847697606869,2810.5187240821515,589.2804127351855,1042.6696939598253
29,0.9977963116868208,1.0128850877854592,959.0401073079182,2644.8695327478945,495.58766041742297,1082.7847258506615
30,0.9976597990352636,1.024542181637239,826.1338174725773,1920.3988183685783,488.9839928387941,1028.7050881776786
31,0.9978316022794684,1.0172582951140543,876.7932485028276,2782.6660704272417,301.25777418423036,1053.9061388994835
32,0.9976683617227572,1.014123786482032,964.7923775832008,2241.079371384821,543.4150479974026,1051.8444741488422
33,0.9977287187338266,1.0127793763333428,809.6820609736901,1700.37171159419,511.7193806713518,1038.071906533802
34,0.9980063979315438,1.0132188541955252,798.1497657944949,3000,387.61683422212553,1084.4141889624736
35,0.997323216248576,1.009314994181412,915.798835732769,2369.009895335357,561.3388338898742,1047.754736995361
36,0.9973691693460028,1.0207065924495144,630.5189231177008,1787.6443952532393,424.4307374946407,1081.8970763294387
37,0.9975294769180308,1.0155398370009852,739.0174942832455,1861.9440086414336,584.1574664104709,1085.1318958566903
38,0.9972033476179356,1.0111303109410714,544.3909026196683,2220.3801942346267,539.2369128182908,1131.8678733838667
39,0.998185533611596,1.0116359743655394,811.4679430787767,2026.8480136268588,571.6113241332187,1061.3254776184465
40,0.9998280612413462,1.0068884362206807,214.18031142186476,20244.54754207126,165.77233518868078,8567.066761897846
41,0.9967028434311072,1.0167088868135945,880.6610144665209,1774.760921235379,483.6266007163179,1055.402668130502
42,0.9969242902026167,1.0127049912679391,414.0987960946927,1980.1572239412951,457.9486004251007,1102.541008592464
43,0.9975966002563392,1.0233368459603711,1002.3381529838496,3000,479.6073826230222,1077.263283010032
44,0.9980029230237042,1.0199819270493151,314.0661054729088,1476.147747612115,316.35724205349175,1047.8914364331167
45,0.997111964149481,1.0146549807421974,606.0252549976689,1641.2727018685553,389.2026729417103,1079.3357289248104
46,0.9977016953362106,1.0164040013340618,1079.09293710344,2473.1761329674314,531.2625352210591,1074.9729541932215
47,0.9979857900031074,1.0149003022714274,901.5656653147222,2756.043677714732,563.4159407704043,1050.8025579308676
48,0.99762705904007,1.015983110078742,648.1327224439385,2088.88563391518,492.0461388506273,1038.494507682214
49,0.9970674129809356,1.012753177217442,945.2882376151576,1636.3029507093668,556.0021961088414,1071.520193548454
50,0.997239630436936,1.0111521879642529,925.8199408292244,1905.821554917658,585.6550564048656,1051.8432071997663
51,0.9974055852134328,1.020496311901236,1016.8593176158496,3000,576.2544419849343,1014.1607378327968
52,0.9970208858956644,1.0235570503065077,998.5415855206344,3000,521.0440076898013,1106.0047529206165
53,0.997555580638262,1.0133637119383276,764.4768500396506,1937.6438882104765,519.2565976176394,1034.7316790994537
54,0.9971992735234524,1.0174155165590568,555.2093445129733,2769.584951061514,499.0656190701784,1084.1991542799638
55,0.9974699676476668,1.0132851651310355,848.1128151356202,3000,438.4242094107462,1078.948044732305
56,0.9970958566467744,1.017580597697704,856.2945676396927,2752.3920947347865,537.3568416538668,1084.0927202473245
57,0.9976643096019968,1.015951669424512,907.4219046264813,3000,561.164843897141,1124.3759236714538
58,0.997147575815704,1.014440129089199,786.8327116502732,1522.127416136669,520.4170650971723,1010.3271358478272
59,0.9974619363401336,1.0172642681291044,992.1025144326755,2214.5264758110548,499.5406910493485,1037.7552878845174
60,0.9975951247856264,1.0187785414412731,1078.0653339059936,3000,456.7545688690782,1078.8889641234598
61,0.997595443666304,1.0152939424428016,975.3719418993192,2328.945246195777,585.5649891110434,1080.092735388866
62,0.997534636895286,1.0158301593893782,902.564248638958,2216.2432785226774,567.015494503761,1085.249640292551
63,0.9969722372723984,1.0150951841150797,1009.8697490439076,3000,425.98803705708355,1054.3061244629598
64,0.9973077407694152,1.0096180602417486,727.6957362233951,1549.7026342026363,605.0435604018495,1033.4238593686216
65,0.9975068880711656,1.0134073933858945,824.7895312365798,2224.1580530263395,438.90745981565016,1035.0460619408468
66,0.9971506732812476,1.0120012293230496,734.7957455528572,3000,488.67582787011474,1126.074627039231
67,0.9967398608719086,1.0166394784915866,1034.0214428895829,3000,516.2955111675474,1111.9207208606983
68,0.9973758393815308,1.0173139313304231,533.84388785025,1936.6363878029097,428.57259283519824,1055.0231898940287
69,0.997790965140101,1.0111582500718783,833.4355473048599,2106.3156140505307,563.9246548622759,1083.067378986218
70,0.9973648738648956,1.0096169962531507,771.2238142290638,1789.2410001148085,565.821966254508,1031.6537477831637
71,0.9980890522388468,1.0125910394260471,853.5657403791271,1807.846504141762,598.1733547051385,1083.7403979262087
73,0.9981938144727932,1.0144213993009783,771.6822116946166,2435.199224811982,500.2105581263888,1065.8597315447637
74,0.9971369876217132,1.0170444727725656,788.8118843403995,3000,553.8187261736078,1104.530940547801
75,0.9977431126788636,1.0129179456352264,639.4024124927099,1939.3025419537155,536.1786367110957,1084.308716059652
76,0.9975062476653908,1.0132733780752403,1001.4747673228416,2166.0421525146985,567.033386590195,1128.5117263808625
77,0.9983294627883852,1.0186553471625366,221.98989593622673,1997.4711433584544,263.797133921545,1011.3311954386696
78,0.9993812244401922,1.00378523550196,2326.1381425134805,7147.707893048456,2497.12761771577,4023.530360554653
79,0.997597111650932,1.0136855029256966,722.7007092502595,2598.278407286671,550.9825969923905,1119.0255998736243
80,0.9972452499046458,1.0169393635070008,787.9593880835623,3000,521.2731822835514,1080.410703193127
81,0.9994328244389288,1.0035154733486134,1811.661133378625,7763.18263036935,872.1155357601298,4059.013405072395
82,0.9976068549227122,1.0141410158272923,905.9131902706368,2144.4014455262222,534.5942637365708,1078.8817271295088
83,0.9975740966542836,1.0150382708340588,797.9138541638017,1537.2507309609534,501.2888218736856,1035.1193783452234
84,0.9973769165704685,1.011149674556948,961.9476273840452,2836.9830013182504,594.5104168690557,1027.5621773339662
85,0.9973769201377956,1.0135962310806406,876.3928097553718,2968.2733560805377,546.8480425761468,1035.0607000273194
86,0.9975557601045336,1.013292438231744,768.3842261667763,2118.528869160199,538.1340787726399,1071.9306375791966
87,0.997266319767757,1.0135503246894508,976.17881645146565,3000,427.35022498405624,1074.9432032160053
88,0.9997629539090166,1.001654190334009,8408.150190563918,23846.63081861387,5954.165748720579,8633.24446855066
89,0.9978134755123432,1.011202432414011,431.0563458891675,1892.525047067058,428.79254488546866,1015.027610221342
90,0.997175139589678,1.010069698795521,510.86734062926786,1982.5758822479088,466.8997369925017,1068.7887787317777
91,0.998006718369088,1.0154657189333225,1007.203879265263,2942.734950329009,424.03323849789535,1071.8181329561123
92,0.9976655597764716,1.0122631063886298,790.9875104097963,1728.6705047960045,543.469366244256,1055.0507798653412
93,0.9975039121584214,1.0137017650897129,915.8534992842614,1903.5898293398136,618.7722018382109,1056.2124842090095
94,0.9974910167211684,1.0218019054367038,764.7903678942926,1882.092926417421,457.5565652498948,1021.9142099626628
95,0.997143682034918,1.0168350782669389,964.0724180738732,3000,558.5320627659553,1086.074885022571
96,0.9976407588876198,1.0214187714020764,691.7417345892522,3000,477.8012040818507,1081.446597139082
97,0.996797922208305,1.01621047173249,954.2449743185316,2105.254688094705,514.9636476945647,1074.222956402643
98,0.9978714225573252,1.0154728499114485,627.2000253658817,1788.3595858276103,454.61872427987163,1033.750914142051
99,0.997215124231336,1.011537907969955,780.9400622043509,1949.7421895351845,599.199613153433,1025.632247468023
100,0.9980263987239608,1.0103866292853796,486.36428405301166,1614.4575269823683,571.3548532826693,1033.0409130648802
