seed,week,scenario,value,.lower,.upper,.width,.point,.interval,time,total_conc,total_conc_I1,total_conc_I2,total_conc_I3,total_conc_I4,total_conc_I5,total_conc_I6,total_conc_I7,total_conc_R1,total_conc_R2,num_I1,num_I2,num_I3,num_I4,num_I5,num_I6,num_I7,num_R1,num_R2,sim,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,time.y,S,E,I1,I2,I3,I4,I5,I6,I7,R1,R2,beta_t,r0,true_rt,time_diff,new_time,max_time
1,0,102,2.0510589621124784,1.9234727712460165,2.1826716826406556,0.5,median,qi,1,20933.127613020177,9420.610183778705,11512.517429241472,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,2.935972441696432,2.6227455363252656,2.323666134247254,3.656551295118573,3.825187085434157,3.4818069194641126,2.390685649829003,3.124090180261174,2.6078827033107586,3.38166106285575,2.9047282005322663,3.161179903224521,3.0399738210423637,0.912077420247172,979,16,3,2,0,0,0,0,0,0,0,0.2857142857142857,1.9999999999999996,1.9579999999999995,0.08792257975282802,1,97
1,0,102,2.0510589621124784,1.9234727712460165,2.1826716826406556,0.5,median,qi,2,113108.7096295656,1670.515065786899,88534.43669792604,22903.757865852636,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,1,4.622988872718238,4.7148105348292795,4.386288554498583,4.115065140065914,4.690212703185076,4.7762913034750545,5.765318535490421,4.242468735189998,5.102686036147045,3.955359516441076,4.714407806564134,4.785461073187331,4.435510341277293,1.8243207694341752,979,12,2,5,2,0,0,0,0,0,0,0.2857142857142857,1.9999999999999996,1.9579999999999995,0.1756792305658248,2,97
1,0,102,2.0510589621124784,1.9234727712460165,2.1826716826406556,0.5,median,qi,3,155596.69663148667,465.4000971379719,34873.77368520556,40542.41443658155,79715.10841256157,0,0,0,0,0,1,3,2,5,0,0,0,0,0,1,4.941906865986343,4.5240925597813195,4.631723527374281,5.1478942221451005,5.324706365565276,4.886827484744915,4.499098079657363,4.795259399110911,5.719933184037454,5.14096860490381,5.493727375197751,5.096599965501236,4.806672943315276,2.9833771447539763,976,13,1,3,2,5,0,0,0,0,0,0.2857142857142857,1.9999999999999996,1.9519999999999995,0.01662285524602369,3,97
1,0,102,2.0510589621124784,1.9234727712460165,2.1826716826406556,0.5,median,qi,4,124589.93247195789,32245.268676940723,0,7670.272699268916,45462.77246772856,33780.546618140084,5431.072009879625,0,0,0,5,0,2,4,2,3,0,0,0,1,4.719667288650694,5.51730768971959,4.740725225222811,4.529129263096234,5.197235627105185,4.257510902087052,4.775220503523554,4.652246656446935,4.199269071756571,4.663873887176281,5.595685097975073,4.922071515208923,5.024228917231,3.97660744353144,973,11,5,0,2,4,2,3,0,0,0,0.2857142857142857,1.9999999999999996,1.9459999999999995,0.02339255646855997,4,97
1,0,102,2.0510589621124784,1.9234727712460165,2.1826716826406556,0.5,median,qi,5,583307.6483627263,210.4083516133926,6637.286062417716,505038.7335882446,27675.389093505928,33866.83365256301,8240.38302295917,1638.6145914226522,0,0,2,4,1,5,3,3,2,0,0,1,6.26335423024403,6.42810811615171,5.807893405967807,6.468055150069497,6.238071379522895,7.059811107103627,8.168492570599362,6.9602771383305395,6.728640434514153,6.601226188565173,5.786446000176253,6.882647825469958,6.276736469609307,4.9499916108148545,966,14,2,4,1,5,3,3,2,0,0,0.2857142857142857,1.9999999999999996,1.9319999999999995,0.05000838918514549,5,97
1,0,102,2.0510589621124784,1.9234727712460165,2.1826716826406556,0.5,median,qi,6,298964.1853232855,595.4735146490458,2893.6543335388797,10272.282538756002,255068.49508198752,276.74527611846156,25149.43385156094,4668.007117484744,40.093609189995185,0,2,2,2,3,1,5,5,1,0,1,5.594963269031007,5.184729076971999,5.6739776552330445,6.43939991213303,5.442055559147522,5.617468568091947,5.04050827005938,5.076468924181861,5.557240303524911,5.200664301341399,6.417003497441151,5.693488408072381,5.900578928913835,5.992647816114381,964,15,2,2,2,3,1,5,5,1,0,0.2857142857142857,1.9999999999999996,1.9279999999999995,0.00735218388561875,6,97
1,0,102,2.0510589621124784,1.9234727712460165,2.1826716826406556,0.5,median,qi,7,184915.90499920337,13496.886472742126,4763.788117192368,18967.86671424071,2342.7245764512327,128637.34790307938,1950.9470584873688,13165.250581618842,1591.0935753913388,0,4,2,5,1,4,1,5,5,0,1,5.114540638501465,5.3582551647157075,4.787248316542056,5.9078348552224504,5.561377489714221,4.7569764381675235,5.268323950712192,4.057373064599636,4.1309429639759845,5.071047471472718,4.681173873776006,5.11089987721458,5.452801718257052,6.889743316418069,956,17,4,2,5,1,4,1,5,5,0,0.2857142857142857,1.9999999999999996,1.9119999999999997,0.1102566835819312,7,97
1,1,102,2.4716056564564077,2.220986505328584,2.742933664642571,0.5,median,qi,8,373062.31498092576,1767.5584832598186,0,220300.31503010256,8054.158892725424,129942.19539509778,2675.0008406594075,4272.9344818332065,6050.151857247532,0,7,0,5,2,4,3,3,8,0,1,5.816384954324331,6.18554730688894,6.700028589010654,5.650931053982948,5.292735879793684,6.2489965041829,5.26293771821175,6.20052406342653,5.438433133001734,6.5075269582022255,5.949561050421713,6.056533997879499,6.2682525170684835,7.990386391795001,952,16,7,0,5,2,4,3,3,8,0,0.2857142857142857,1.9999999999999996,1.9039999999999997,0.00961360820499912,8,97
1,1,102,2.4716056564564077,2.220986505328584,2.742933664642571,0.5,median,qi,9,417229.14831191266,1191.5033926219508,2863.9546817855476,19324.29956158222,110494.40433867012,272020.4555180907,2103.251872724707,1044.6598482732995,8186.619098164135,0,6,3,3,4,5,3,2,11,0,1,5.928275071547684,6.216165747374431,6.286628809556287,4.785657303901451,6.91394376465976,6.465495550686635,6.102101895958665,5.520194761170941,6.158849651801066,6.012520153451697,6.039460318975366,6.174666978302369,5.955749542889924,8.96045219438465,945,18,6,3,3,4,5,3,2,11,0,0.2857142857142857,1.9999999999999996,1.8899999999999997,0.03954780561534932,9,97
1,1,102,2.4716056564564077,2.220986505328584,2.742933664642571,0.5,median,qi,10,295634.2807271029,2530.7419302850885,6668.521637537755,1368.702265761567,8558.664828004827,202815.93944535975,64371.96732343065,337.89333940962916,8893.20909403896,88.64086327465722,9,4,2,3,6,4,2,13,1,1,5.5837626366756545,5.431068443097477,6.038849751423268,6.832593431592737,5.391946583531474,6.531590023774944,5.147130369144633,5.365709175095367,5.6563159521995905,5.995358110813214,5.4453083817294905,5.936669965709527,6.263650178151815,9.946068770062483,939,17,9,4,2,3,6,4,2,13,1,0.2857142857142857,1.9999999999999996,1.8779999999999992,0.05393122993751653,10,97
