seed,time,total_conc,total_conc_I1,total_conc_I2,total_conc_I3,total_conc_I4,total_conc_I5,total_conc_I6,total_conc_I7,total_conc_R1,total_conc_R2,num_I1,num_I2,num_I3,num_I4,num_I5,num_I6,num_I7,num_R1,num_R2,sim,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,new_time,everyother,week
1,1,20933.127613020177,9420.610183778703,11512.517429241472,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,2.935972441696432,2.6227455363252656,2.323666134247254,3.6565512951185726,3.825187085434157,3.4818069194641126,2.3906856498290034,3.124090180261174,2.6078827033107586,3.3816610628557506,2.9047282005322663,3.161179903224521,3.0399738210423637,1,TRUE,0
1,3,155596.69663148667,465.4000971379719,34873.77368520556,40542.41443658155,79715.10841256157,0,0,0,0,0,1,3,2,5,0,0,0,0,0,1,4.941906865986343,4.5240925597813195,4.631723527374281,5.1478942221451005,5.324706365565276,4.886827484744915,4.499098079657363,4.795259399110911,5.719933184037454,5.14096860490381,5.493727375197751,5.096599965501236,4.806672943315276,3,TRUE,0
1,5,583307.6483627263,210.4083516133926,6637.286062417716,505038.7335882446,27675.389093505928,33866.83365256301,8240.38302295917,1638.6145914226522,0,0,2,4,1,5,3,3,2,0,0,1,6.26335423024403,6.42810811615171,5.807893405967807,6.468055150069497,6.238071379522895,7.059811107103627,8.168492570599362,6.9602771383305395,6.728640434514153,6.601226188565173,5.786446000176253,6.882647825469958,6.276736469609307,5,TRUE,0
1,7,184915.90499920334,13496.886472742126,4763.788117192368,18967.86671424071,2342.7245764512327,128637.34790307938,1950.9470584873688,13165.250581618842,1591.0935753913388,0,4,2,5,1,4,1,5,5,0,1,5.114540638501465,5.3582551647157075,4.787248316542056,5.9078348552224504,5.561377489714221,4.7569764381675235,5.268323950712192,4.057373064599636,4.1309429639759845,5.071047471472718,4.681173873776006,5.11089987721458,5.452801718257052,7,TRUE,0
1,9,417229.14831191266,1191.5033926219508,2863.9546817855476,19324.29956158222,110494.40433867011,272020.4555180907,2103.251872724707,1044.6598482732995,8186.619098164135,0,6,3,3,4,5,3,2,11,0,1,5.928275071547684,6.216165747374431,6.286628809556287,4.785657303901451,6.91394376465976,6.465495550686635,6.102101895958665,5.520194761170941,6.158849651801066,6.012520153451697,6.039460318975366,6.174666978302369,5.955749542889924,9,TRUE,1
1,11,228888.92889310105,3844.4484811533594,38822.62120314205,12451.050482626579,5368.120349686075,58273.81679704377,64394.339485888966,36229.783667206415,9416.107563079175,88.64086327465722,10,5,2,4,5,4,4,16,1,1,5.327876343565249,6.083766927790673,5.5199690224784215,5.661409426947995,6.154948994702743,5.026377691762701,5.366527904933711,5.7802288592066535,4.1067206830245375,5.2174290447570275,6.025002864074268,5.633389745543215,5.784706336428715,11,TRUE,1
1,13,542249.9644577176,14065.402071785878,19421.61669014936,416594.5506368114,27813.653433522,5731.517652968475,1471.3555623488332,13358.302755778459,43233.18236287123,560.3832914821645,8,6,10,3,4,3,4,22,4,1,6.190366568503222,5.879746278232321,5.8724983415287335,6.183666806930268,6.231849435296179,5.982255552738126,5.598745448286888,6.019833078684321,6.517892567746595,6.184903723079658,6.520632208759868,6.13681290135761,5.98947910786467,13,TRUE,1
1,15,645132.9985907229,15363.726885116937,165257.61365806332,222545.2604692816,107554.49103115768,80839.22781672089,2463.231411102774,1768.1002927912837,48245.87012446411,1095.4769020248132,10,5,7,8,7,4,4,25,6,1,6.3640959792472405,6.926561438318794,7.080237098518072,6.2819080633624065,5.851821739480011,6.1807805063960615,6.859896497276924,6.62824983540544,6.010311862938592,5.066040285022255,5.898355829881819,6.431862111216244,6.817846058247198,15,TRUE,2
1,17,1301329.8146189093,754885.9979254301,100380.80935155692,56121.61997576134,241814.67405787468,81246.19985321099,5444.7244787664995,9935.25395685434,49904.838547514235,1595.6964719403113,5,16,5,7,7,3,6,30,10,1,7.06578143927325,7.0576863077237775,6.962091067472268,6.8656580672844285,7.5875876684513415,7.786691644373185,6.379425803808665,6.997444761414312,7.020782098949375,6.522327030784536,6.021611256518834,7.043486555238057,6.9648819517688585,17,TRUE,2
1,19,12511682.764747765,157412.03676109467,58652.53694174822,12075685.06186183,72878.53079359993,6564.7396381109875,72019.65748315299,9584.336437719305,56486.2255829117,2399.6392475919038,10,6,10,11,9,4,1,37,15,1,9.329057592325958,9.739668189875003,9.169061158051704,9.822976726053398,9.101989137748777,9.134973839365278,9.908769855753734,8.580744015148062,8.767329123770882,9.826698495972241,8.558356308872328,9.383119741503986,9.616392352111978,19,TRUE,2
