sim_num,sim_name,sim_filename,obsdata_filename,fulldata_filename,N,E_init,gamma,nu,eta,r0,change_points
102,newshedding_pop1000,simulate_sei7_newshedding_pop1k.R,data/newshedding_data/pop1000_data.csv,data/newshedding_data/pop1000_fulldata.csv,1000,20,0.25,1,0.1111111111111111,2,0
115,newshedding_pop1000_shallow3,simulate_sei7_newshedding_shallow3_pop1k.R,data/newshedding_data/pop1000_shallow3_data.csv,data/newshedding_data/pop1000_shallow3_fulldata.csv,1000,20,0.25,1,0.1111111111111111,"1.1,1.12112049350754,1.142646509966,1.16458583559795,1.18694640612497,1.20973630963803,1.23296378952307,1.25663724744276,1.28076524637544,1.3053565137125,1.33041994441513,1.35596460423178,1.38199973297736,1.40853474787534,1.43557924696411,1.46314301256871,1.49123601483923,1.51986841535707,1.54905057081058,1.57879303674118,1.6091065713614,1.6400021394463,1.67149091629951,1.70358429179552,1.73629387449954,1.76963149586641,1.80360921452021,1.83823932061605,1.87353434028548,1.90950704016744,1.94617043202605,1.98353777745712,2.02162259268507,2.06043865345189,2.1","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34"
127,newshedding_pop2000,simulate_sei7_newshedding_pop2000.R,data/newshedding_data/pop2000_data.csv,data/newshedding_data/pop2000_fulldata.csv,2000,40,0.25,1,0.1111111111111111,2,0
106,newshedding_pop500,simulate_sei7_newshedding_pop500.R,data/newshedding_data/pop500_data.csv,data/newshedding_data/pop500_fulldata.csv,2000,40,0.25,1,0.05555555555555555,2,0
