date,mean,median,lower_0.95,lower_0.8,lower_0.5,upper_0.5,upper_0.8,upper_0.95,type,seeding,time,weekday,seed,true_rt
2019-12-06,1.96128454,1.9526949999999998,1.6297462500000002,1.7452139999999998,1.8433300000000001,2.0750475,2.184634,2.3219097499999997,estimate,TRUE,NA,NA,32,NA
2019-12-07,1.972782885,1.9626100000000002,1.584354,1.718493,1.82688,2.1075925,2.244622,2.406485,estimate,TRUE,NA,NA,32,NA
2019-12-08,1.98257224,1.9721000000000002,1.5452172499999999,1.695652,1.82133,2.1314325,2.286425,2.4774294999999995,estimate,TRUE,NA,NA,32,NA
2019-12-09,1.992726765,1.974375,1.5139447500000003,1.6799899999999999,1.816745,2.1568825,2.3297390000000004,2.5377075,estimate,TRUE,NA,NA,32,NA
2019-12-10,2.000593683,1.973125,1.4871984999999999,1.67527,1.8081375,2.16981,2.373611,2.6008877499999996,estimate,TRUE,NA,NA,32,NA
2019-12-11,2.00762686,1.988305,1.4621125000000001,1.664585,1.7996624999999997,2.1834675,2.392939,2.6410694999999995,estimate,TRUE,NA,NA,32,NA
2019-12-12,2.0156113175,2.00298,1.4536445,1.64598,1.8044975,2.1942925,2.408011,2.7286407499999994,estimate,TRUE,NA,NA,32,NA
2019-12-13,2.019536566,1.99898,1.43787975,1.6479899999999998,1.8058349999999999,2.20536,2.4139250000000003,2.7445249999999994,estimate,TRUE,NA,NA,32,NA
2019-12-14,2.0220739215,1.996655,1.4293367499999998,1.619886,1.8020699999999998,2.2118024999999997,2.436717,2.7800442499999996,estimate,TRUE,NA,NA,32,NA
2019-12-15,2.023748451,2.0019150000000003,1.4343477500000004,1.626065,1.79985,2.2128449999999997,2.4240269999999997,2.7729844999999997,estimate,TRUE,NA,NA,32,NA
2019-12-16,2.0204667825,1.989215,1.39845525,1.6132279999999999,1.7960775,2.2152624999999997,2.48624,2.7843234999999997,estimate,TRUE,NA,NA,32,NA
2019-12-17,2.018586189,1.98784,1.3928642500000001,1.607652,1.782125,2.216875,2.4758000000000004,2.8546709999999984,estimate,TRUE,NA,NA,32,NA
2019-12-18,2.019967207,1.97206,1.42392725,1.617636,1.7716775,2.2155975,2.4946340000000005,2.855632999999999,estimate,TRUE,NA,NA,32,NA
2019-12-19,2.0126304425,1.9690750000000001,1.4229844999999999,1.6042169999999998,1.7626925,2.208265,2.4856810000000005,2.903749249999999,estimate,TRUE,NA,NA,32,NA
2019-12-20,2.00264367,1.9656349999999998,1.4228365000000003,1.59731,1.752225,2.193385,2.4708060000000005,2.8579724999999994,estimate,TRUE,NA,NA,32,NA
2019-12-21,1.99360332,1.954595,1.394497,1.5892950000000001,1.7569875,2.1809475000000003,2.4574039999999995,2.8665614999999995,estimate,TRUE,NA,NA,32,NA
2019-12-22,1.982616315,1.94008,1.3973965000000002,1.575256,1.74903,2.17669,2.449401,2.889506499999998,estimate,TRUE,NA,NA,32,NA
2019-12-23,1.970585013,1.93096,1.3842122500000003,1.565157,1.7345249999999999,2.162895,2.4227220000000007,2.8617694999999994,estimate,TRUE,NA,NA,32,NA
2019-12-24,1.9562508515,1.916,1.36855475,1.551556,1.7267875000000001,2.1285525,2.4044860000000003,2.8150285,estimate,TRUE,NA,NA,32,NA
2019-12-25,1.93576994,1.8952200000000001,1.3576512500000004,1.548086,1.7126,2.1127675,2.372259,2.7545459999999995,estimate,TRUE,NA,NA,32,NA
2019-12-26,1.91560656,1.8743699999999999,1.3597492500000004,1.5443289999999998,1.7042074999999999,2.1017349999999997,2.3303640000000003,2.671422249999999,estimate,TRUE,NA,NA,32,NA
2019-12-27,1.89141548,1.856785,1.360788,1.530656,1.6774300000000002,2.0634325,2.3004990000000003,2.6364544999999993,estimate,TRUE,NA,NA,32,NA
2019-12-28,1.86480308,1.83418,1.3610625,1.517252,1.649485,2.0373275,2.2563950000000004,2.5815064999999997,estimate,TRUE,NA,NA,32,NA
2019-12-29,1.8332399805,1.8177,1.3213880000000005,1.496275,1.6365475000000003,1.9961525,2.2125030000000003,2.497764249999999,estimate,TRUE,NA,NA,32,NA
2019-12-30,1.799579888,1.77887,1.2997572499999999,1.4662659999999998,1.6053549999999999,1.9669474999999998,2.162267,2.4488667499999996,estimate,TRUE,NA,NA,32,NA
2019-12-31,1.762452465,1.74892,1.2661745000000002,1.43241,1.5830350000000002,1.9284400000000002,2.103089,2.3481647499999987,estimate,TRUE,NA,NA,32,NA
2020-01-01,1.722969456,1.7094749999999999,1.2355407500000002,1.4033360000000001,1.5521600000000002,1.878485,2.0577630000000005,2.2844587499999975,estimate,TRUE,1,Monday,32,1.9499999999999995
2020-01-02,1.682656158,1.671115,1.207187,1.3755199999999999,1.5112125,1.8408925,1.9936450000000003,2.2237269999999993,estimate,TRUE,2,Monday,32,1.9399999999999995
2020-01-03,1.6433604375,1.63821,1.17345425,1.341079,1.4771675,1.7911575000000002,1.951167,2.1775387499999996,estimate,TRUE,3,Monday,32,1.9339999999999995
2020-01-04,1.6085573675,1.6059700000000001,1.1392855000000002,1.3095789999999998,1.456165,1.7604175,1.9082740000000002,2.1062454999999995,estimate,TRUE,4,Monday,32,1.9319999999999995
2020-01-05,1.5761331695,1.573415,1.115655,1.2872109999999999,1.4187825,1.7281025,1.868247,2.0629857499999993,estimate,FALSE,5,Monday,32,1.9299999999999995
2020-01-06,1.545409987,1.550715,1.0775565000000005,1.2468239999999997,1.4003074999999998,1.6954850000000001,1.8271629999999999,2.0057002500000003,estimate,FALSE,6,Monday,32,1.9199999999999997
