date,mean,median,lower_0.95,lower_0.8,lower_0.5,upper_0.5,upper_0.8,upper_0.95,type,seeding,time,weekday,seed,true_rt
2019-12-06,2.00783913,2.010155,1.6443845000000001,1.772705,1.8871349999999998,2.1337575,2.241617,2.3560097499999997,estimate,TRUE,NA,NA,1,NA
2019-12-07,2.03992696,2.036345,1.61178125,1.7623950000000002,1.9078725,2.1771399999999996,2.314434,2.469082499999999,estimate,TRUE,NA,NA,1,NA
2019-12-08,2.06871259,2.063695,1.57493625,1.761014,1.912855,2.2277725,2.382634,2.56350775,estimate,TRUE,NA,NA,1,NA
2019-12-09,2.097847735,2.086195,1.5701975000000001,1.773343,1.914745,2.257805,2.437431,2.652759749999999,estimate,TRUE,NA,NA,1,NA
2019-12-10,2.12413199,2.1093650000000004,1.57866725,1.780421,1.9356125,2.2915775,2.4852399999999997,2.7201907499999995,estimate,TRUE,NA,NA,1,NA
2019-12-11,2.14759512,2.13761,1.5691775,1.779201,1.9515375,2.3214275000000004,2.52118,2.7830519999999983,estimate,TRUE,NA,NA,1,NA
2019-12-12,2.17322964,2.157525,1.5910697500000002,1.787465,1.9709925000000001,2.3561249999999996,2.567927,2.8764839999999996,estimate,TRUE,NA,NA,1,NA
2019-12-13,2.19874605,2.16674,1.61850325,1.814657,1.9800300000000002,2.3911525,2.61419,2.95312225,estimate,TRUE,NA,NA,1,NA
2019-12-14,2.2174392805,2.190595,1.6267017499999998,1.815966,1.9885224999999997,2.411645,2.649297,2.99482175,estimate,TRUE,NA,NA,1,NA
2019-12-15,2.233765015,2.19489,1.62771875,1.8372389999999998,2.0004875,2.42654,2.677652,3.0529745,estimate,TRUE,NA,NA,1,NA
2019-12-16,2.25175909,2.2191650000000003,1.6468125000000002,1.8510060000000002,2.0221175000000002,2.443275,2.6887810000000005,3.0389647499999994,estimate,TRUE,NA,NA,1,NA
2019-12-17,2.270307985,2.226755,1.6764697500000003,1.856392,2.03174,2.467315,2.7323110000000006,3.0977089999999983,estimate,TRUE,NA,NA,1,NA
2019-12-18,2.282832425,2.241995,1.69904025,1.86641,2.038785,2.4749100000000004,2.7633290000000006,3.1190674999999977,estimate,TRUE,NA,NA,1,NA
2019-12-19,2.294671305,2.24535,1.7062190000000002,1.868264,2.041185,2.489195,2.7865220000000006,3.159586999999999,estimate,TRUE,NA,NA,1,NA
2019-12-20,2.304544605,2.24283,1.7190162500000004,1.887556,2.0529075,2.490105,2.8093769999999996,3.1844394999999985,estimate,TRUE,NA,NA,1,NA
2019-12-21,2.31298888,2.24965,1.72038075,1.8936709999999999,2.0636625,2.5222050000000005,2.8115530000000004,3.2094292499999995,estimate,TRUE,NA,NA,1,NA
2019-12-22,2.321434635,2.25829,1.7279700000000005,1.901316,2.0544700000000002,2.521385,2.839175,3.187192499999999,estimate,TRUE,NA,NA,1,NA
2019-12-23,2.32841355,2.273935,1.74274075,1.903407,2.0663525000000003,2.5257175,2.837183,3.1982309999999994,estimate,TRUE,NA,NA,1,NA
2019-12-24,2.328701505,2.2708399999999997,1.7527705,1.913738,2.0607075,2.5307125,2.8331239999999998,3.2165624999999984,estimate,TRUE,NA,NA,1,NA
2019-12-25,2.325094895,2.2649749999999997,1.75403975,1.912286,2.0656375000000002,2.533225,2.828113,3.2090034999999997,estimate,TRUE,NA,NA,1,NA
2019-12-26,2.31761814,2.25813,1.75313125,1.912351,2.054275,2.52461,2.806595,3.1853037499999997,estimate,TRUE,NA,NA,1,NA
2019-12-27,2.30640137,2.24288,1.74927,1.902062,2.05799,2.5069999999999997,2.788213,3.1647904999999996,estimate,TRUE,NA,NA,1,NA
2019-12-28,2.28984657,2.23559,1.7488325,1.887505,2.04251,2.4854950000000002,2.770993,3.0931312499999972,estimate,TRUE,NA,NA,1,NA
2019-12-29,2.270758585,2.2188999999999997,1.73355675,1.868693,2.0245275,2.4615899999999997,2.7352549999999995,3.0732304999999998,estimate,TRUE,NA,NA,1,NA
2019-12-30,2.251305645,2.202405,1.72059625,1.858858,2.0134749999999997,2.442775,2.68783,3.07551575,estimate,TRUE,NA,NA,1,NA
2019-12-31,2.220194445,2.17274,1.673981,1.840445,1.9873949999999998,2.4036875,2.6497830000000002,3.001158499999999,estimate,TRUE,NA,NA,1,NA
2020-01-01,2.192318275,2.14995,1.6605172499999998,1.830425,1.9730275,2.3622975,2.6100909999999997,2.9326612499999984,estimate,TRUE,1,Monday,1,1.9579999999999995
2020-01-02,2.162667865,2.120375,1.65128675,1.810575,1.9527500000000002,2.3305775,2.553766,2.877069249999998,estimate,TRUE,2,Monday,1,1.9579999999999995
2020-01-03,2.12230609,2.07866,1.63490575,1.7821799999999999,1.91327,2.281675,2.5227050000000006,2.827006499999999,estimate,TRUE,3,Monday,1,1.9519999999999995
2020-01-04,2.081814625,2.042405,1.6182357500000004,1.756656,1.8859125,2.249895,2.4548760000000005,2.7735799999999995,estimate,TRUE,4,Monday,1,1.9459999999999995
2020-01-05,2.0399436,2.00726,1.5725965,1.7232310000000002,1.848315,2.19735,2.4005099999999997,2.6941584999999995,estimate,FALSE,5,Monday,1,1.9319999999999995
2020-01-06,1.99456997,1.96598,1.5501745,1.6952850000000002,1.8138675,2.1513025,2.332193,2.571106,estimate,FALSE,6,Monday,1,1.9279999999999995
2020-01-07,1.941548765,1.91887,1.5106335,1.647182,1.7693575,2.0875575,2.276475,2.461363749999999,estimate,FALSE,7,Monday,1,1.9119999999999997
2020-01-08,1.890540595,1.87175,1.4585105,1.603922,1.7289325,2.0295375,2.204093,2.4084185,estimate,FALSE,8,Monday,1,1.9039999999999997
2020-01-09,1.83465098,1.823705,1.4071585000000002,1.5439349999999998,1.67523,1.9784725,2.1409,2.3353587499999997,estimate,FALSE,9,Monday,1,1.8899999999999997
2020-01-10,1.774953,1.76911,1.3395995000000003,1.500609,1.62268,1.91819,2.0575300000000003,2.261494499999999,estimate,FALSE,10,Monday,1,1.8779999999999992
2020-01-11,1.7108079325,1.706745,1.2519590000000003,1.4312699999999998,1.565455,1.85459,1.9910490000000003,2.1689999999999996,estimate,FALSE,11,Monday,1,1.8639999999999997
2020-01-12,1.6467664745,1.65146,1.1546687500000001,1.3591599999999997,1.5094675,1.789135,1.9286150000000002,2.092588,estimate,FALSE,12,Monday,1,1.8519999999999996
2020-01-13,1.588262467,1.5967850000000001,1.0945647500000002,1.312669,1.4561525,1.7324225000000002,1.868868,2.0240009999999997,estimate,FALSE,13,Monday,1,1.8239999999999996
2020-01-14,1.5337986705,1.541735,1.0305345000000001,1.243967,1.4015575,1.678725,1.816248,1.9656565,estimate,FALSE,14,Monday,1,1.8079999999999996
2020-01-15,1.4812865735,1.488255,0.9566217250000001,1.184313,1.345875,1.6328399999999998,1.777608,1.9099369999999998,estimate,FALSE,15,Monday,1,1.7919999999999996
2020-01-16,1.4363192325,1.45278,0.9210646000000001,1.1309299999999998,1.2962325,1.5896925,1.718261,1.8905005,estimate,FALSE,16,Monday,1,1.7739999999999996
2020-01-17,1.38827,1.4022350000000001,0.8917863250000001,1.091154,1.244285,1.546725,1.673371,1.8137727499999996,estimate,FALSE,17,Monday,1,1.7439999999999996
2020-01-18,1.3498807855,1.36341,0.8475312500000001,1.0592059999999999,1.2100675,1.5042825,1.637171,1.7613279999999998,estimate,FALSE,18,Monday,1,1.7119999999999995
2020-01-19,1.3198927365,1.33274,0.8375562999999999,1.032511,1.1789175,1.46977,1.5961760000000003,1.7549807499999994,estimate,FALSE,19,Monday,1,1.6959999999999995
2020-01-20,1.294210102,1.309085,0.8060809250000003,1.004253,1.1543725,1.442745,1.5636880000000002,1.6987054999999998,estimate,FALSE,20,Monday,1,1.6699999999999997
2020-01-21,1.269997769,1.276915,0.80546205,0.9942208,1.14222,1.4109399999999999,1.5251290000000002,1.6953252499999996,estimate,FALSE,21,Monday,1,1.6279999999999994
2020-01-22,1.247346878,1.25416,0.7960253,0.9744114,1.1112650000000002,1.388375,1.513792,1.6536749999999993,estimate,FALSE,22,Monday,1,1.5899999999999996
2020-01-23,1.231560085,1.23541,0.807211275,0.9732632999999999,1.1002325000000002,1.3673175,1.4785850000000003,1.6280157499999999,estimate,FALSE,23,Monday,1,1.5619999999999996
2020-01-24,1.218618827,1.2218149999999999,0.80602755,0.960615,1.0970125,1.342735,1.4706900000000003,1.62912,estimate,FALSE,24,Monday,1,1.5199999999999996
2020-01-25,1.207390342,1.206665,0.80626815,0.9609312999999999,1.0821874999999999,1.326895,1.447823,1.6443797500000001,estimate,FALSE,25,Monday,1,1.4819999999999998
2020-01-26,1.1933998615,1.190765,0.8103036750000001,0.9539793999999999,1.0700825,1.3110225,1.4350770000000002,1.5798102499999995,estimate,FALSE,26,Monday,1,1.4559999999999995
2020-01-27,1.1821643255,1.1761650000000001,0.8091143750000002,0.9427650999999999,1.0531675,1.3019025,1.4239450000000002,1.6031924999999998,estimate,FALSE,27,Monday,1,1.4179999999999997
2020-01-28,1.1639457500000001,1.161175,0.7845672499999999,0.9102685,1.03797,1.288025,1.411475,1.5948672499999994,estimate,FALSE,28,Monday,1,1.3799999999999997
2020-01-29,1.146205797,1.1372900000000001,0.7699297749999999,0.9112553,1.02623,1.2590775,1.391295,1.5559297499999998,estimate,FALSE,29,Monday,1,1.342
2020-01-30,1.1269466165,1.11914,0.77142305,0.8919141,1.00499,1.241055,1.3654640000000002,1.5484394999999997,estimate,FALSE,30,Monday,1,1.2879999999999998
2020-01-31,1.102478799,1.093375,0.749104075,0.8717155,0.98080575,1.21861,1.342529,1.4979069999999997,estimate,FALSE,31,Monday,1,1.2279999999999998
2020-02-01,1.0840769085,1.07315,0.753118575,0.8603965,0.95974625,1.1950725,1.326198,1.4658974999999999,estimate,FALSE,32,Monday,1,1.1659999999999997
2020-02-02,1.060469798,1.04911,0.7242956500000001,0.8292568,0.9357285000000001,1.1760125000000001,1.300393,1.468372999999999,estimate,FALSE,33,Monday,1,1.118
2020-02-03,1.0389641055,1.0272299999999999,0.6895792,0.8024336000000001,0.9122635000000001,1.16173,1.2780040000000001,1.4567849999999998,estimate,FALSE,34,Monday,1,1.0699999999999998
2020-02-04,1.0088952105,0.9977065,0.6364203,0.7609175,0.87949175,1.129485,1.270521,1.4259264999999997,estimate,FALSE,35,Monday,1,1.0299999999999998
2020-02-05,0.983809215,0.972093,0.6293002500000001,0.7537434,0.850371,1.100655,1.232368,1.4122552499999999,estimate,FALSE,36,Monday,1,0.9899999999999998
2020-02-06,0.9569606965,0.9441569999999999,0.6020965250000002,0.7234885000000001,0.82889125,1.0796775,1.2059780000000002,1.3572605,estimate,FALSE,37,Monday,1,0.9379999999999996
2020-02-07,0.9319043475,0.921296,0.5947403750000001,0.7016284,0.8081959999999999,1.0475999999999999,1.1666820000000002,1.3657297499999999,estimate,FALSE,38,Monday,1,0.9139999999999998
2020-02-08,0.9038948695,0.8929739999999999,0.5657021500000001,0.6847304,0.78339175,1.0143975,1.1396600000000001,1.2918094999999998,estimate,FALSE,39,Monday,1,0.8819999999999998
2020-02-09,0.879026846,0.8645935,0.540294025,0.6627336999999999,0.7598762499999999,0.992388,1.115685,1.29326775,estimate,FALSE,40,Monday,1,0.8419999999999997
2020-02-10,0.843433878,0.8324455,0.5131620250000001,0.6324445000000001,0.7257355,0.94811075,1.07122,1.2419864999999997,estimate,FALSE,41,Monday,1,0.8079999999999998
2020-02-11,0.8111969305,0.803002,0.470202875,0.5970036999999999,0.69483175,0.92368125,1.033836,1.1917844999999996,estimate,FALSE,42,Monday,1,0.7639999999999998
2020-02-12,0.783496861,0.7805664999999999,0.41552447500000017,0.5551826,0.66679625,0.8937970000000001,1.00374,1.1646850000000002,estimate,FALSE,43,Monday,1,0.7279999999999999
2020-02-13,0.7597021909,0.75407,0.41511145,0.5382762,0.6452755000000001,0.8648597499999999,0.9835880000000001,1.1545572499999999,estimate,FALSE,44,Monday,1,0.6939999999999998
2020-02-14,0.7320209521,0.7295285,0.39076007500000004,0.5190431,0.6150067499999999,0.841805,0.9499631000000001,1.103305,estimate,FALSE,45,Monday,1,0.6679999999999999
2020-02-15,0.7115618685,0.706138,0.36955620000000006,0.502003,0.60429875,0.8152185,0.9226340000000002,1.0736369999999993,estimate,FALSE,46,Monday,1,0.6519999999999999
2020-02-16,0.69205909775,0.6847300000000001,0.359072325,0.483091,0.5792765,0.79891375,0.9112025,1.0703587499999998,estimate,FALSE,47,Monday,1,0.6259999999999999
2020-02-17,0.6740237342000001,0.671964,0.33465727500000003,0.4553634,0.5609035,0.780104,0.8901289000000001,1.0376489999999998,estimate,FALSE,48,Monday,1,0.5959999999999999
2020-02-18,0.6572478525,0.6579645000000001,0.31672522500000017,0.442169,0.550376,0.76374875,0.8663506000000001,1.0064102499999996,estimate,FALSE,49,Monday,1,0.5779999999999998
2020-02-19,0.644754635,0.6423525,0.32892605000000025,0.432745,0.5356265,0.753535,0.8548808,0.988736024999999,estimate,FALSE,50,Monday,1,0.5579999999999999
2020-02-20,0.630955474,0.628347,0.29608422500000003,0.42193869999999994,0.52443175,0.7372667500000001,0.8438942,0.9725701749999999,estimate,FALSE,51,Monday,1,0.5399999999999999
2020-02-21,0.6195829675,0.613326,0.30331515000000014,0.4055355,0.5075302500000001,0.7198789999999999,0.8361502000000003,0.9597217249999985,estimate,FALSE,52,Monday,1,0.5199999999999999
2020-02-22,0.6073160561,0.601645,0.28508185,0.40932329999999995,0.49871825000000003,0.7086880000000001,0.8134384000000001,0.9627986999999998,estimate,FALSE,53,Monday,1,0.5099999999999999
2020-02-23,0.59260728705,0.582703,0.2682844250000001,0.3724586,0.480183,0.697262,0.8136155000000002,0.9570949749999995,estimate,FALSE,54,Monday,1,0.4939999999999999
2020-02-24,0.58232392615,0.569604,0.24957947500000005,0.38067639999999997,0.47372175,0.67905525,0.8012843000000001,0.9583243249999999,estimate,FALSE,55,Monday,1,0.4779999999999998
2020-02-25,0.57235261035,0.564087,0.25480862500000007,0.36900069999999996,0.46147325,0.67319725,0.7857729999999999,0.9381427249999998,estimate,FALSE,56,Monday,1,0.4659999999999999
2020-02-26,0.564009858,0.5528185,0.2555634750000001,0.36069379999999995,0.45034124999999997,0.6756214999999999,0.7742395000000001,0.9293054499999998,estimate,FALSE,57,Monday,1,0.4579999999999999
2020-02-27,0.55716110145,0.549061,0.2603602250000001,0.3576023,0.44538625,0.66177,0.7697375000000002,0.8987066499999996,estimate,FALSE,58,Monday,1,0.4479999999999999
2020-02-28,0.5524801563,0.5489065,0.22621047500000002,0.34568669999999996,0.44353475,0.64968775,0.7704316000000001,0.913182475,estimate,FALSE,59,Monday,1,0.4399999999999999
2020-02-29,0.5536876801,0.552288,0.23136907500000004,0.339526,0.43880125000000003,0.65572825,0.7694429000000002,0.9137086749999996,estimate,FALSE,60,Monday,1,0.4359999999999999
2020-03-01,0.5569079074,0.5531025,0.21482780000000015,0.3414732,0.4491385,0.6638295,0.7760527000000002,0.9070377,estimate,FALSE,61,Monday,1,0.4279999999999999
2020-03-02,0.56263240965,0.5547055000000001,0.25032945000000006,0.3519481,0.44447250000000005,0.6674329999999999,0.7808371000000001,0.9210436249999991,estimate,FALSE,62,Monday,1,0.4239999999999999
2020-03-03,0.57037303605,0.5598110000000001,0.2610804750000001,0.35638319999999996,0.452592,0.675048,0.7953862,0.9427843250000001,estimate,FALSE,63,Monday,1,0.4199999999999999
