seed,sim,num_divergent,max_treedepth,bfmi,address
24,115,0,0,0.9471028592717724,episewer_diagnostics_sim_115_seed_24.csv
24,115,0,0,1.0889396633721822,episewer_diagnostics_sim_115_seed_24.csv
24,115,0,0,0.9603617492408888,episewer_diagnostics_sim_115_seed_24.csv
25,115,0,0,0.615347551552889,episewer_diagnostics_sim_115_seed_25.csv
25,115,0,0,0.5457045118904057,episewer_diagnostics_sim_115_seed_25.csv
25,115,0,0,0.7068360698233778,episewer_diagnostics_sim_115_seed_25.csv
25,115,0,0,0.544152743879382,episewer_diagnostics_sim_115_seed_25.csv
26,115,0,0,0.6088731108550581,episewer_diagnostics_sim_115_seed_26.csv
26,115,0,0,0.7430643715608412,episewer_diagnostics_sim_115_seed_26.csv
26,115,0,0,0.6882513628026489,episewer_diagnostics_sim_115_seed_26.csv
26,115,0,0,0.4674916119344531,episewer_diagnostics_sim_115_seed_26.csv
27,115,0,0,1.049854478401359,episewer_diagnostics_sim_115_seed_27.csv
27,115,0,0,0.632460760368624,episewer_diagnostics_sim_115_seed_27.csv
27,115,0,0,0.6444408877927318,episewer_diagnostics_sim_115_seed_27.csv
27,115,0,0,0.4849479346812358,episewer_diagnostics_sim_115_seed_27.csv
28,115,0,0,0.710291516993397,episewer_diagnostics_sim_115_seed_28.csv
28,115,0,0,0.7388453280523911,episewer_diagnostics_sim_115_seed_28.csv
28,115,0,0,0.5865905768048553,episewer_diagnostics_sim_115_seed_28.csv
28,115,0,0,0.7446634160366965,episewer_diagnostics_sim_115_seed_28.csv
29,115,0,0,0.4395406707137172,episewer_diagnostics_sim_115_seed_29.csv
29,115,0,0,0.6637514470663394,episewer_diagnostics_sim_115_seed_29.csv
29,115,0,0,0.6031410415048464,episewer_diagnostics_sim_115_seed_29.csv
29,115,0,0,0.743710881782689,episewer_diagnostics_sim_115_seed_29.csv
3,115,0,0,0.6562620750248433,episewer_diagnostics_sim_115_seed_3.csv
3,115,0,0,0.5122908521548056,episewer_diagnostics_sim_115_seed_3.csv
3,115,0,0,0.7587310415876474,episewer_diagnostics_sim_115_seed_3.csv
3,115,0,0,0.8480823443076032,episewer_diagnostics_sim_115_seed_3.csv
30,115,0,0,0.8508429882775373,episewer_diagnostics_sim_115_seed_30.csv
30,115,0,0,0.9113087366657124,episewer_diagnostics_sim_115_seed_30.csv
30,115,0,0,0.5579480169609419,episewer_diagnostics_sim_115_seed_30.csv
30,115,0,0,1.0223001470502224,episewer_diagnostics_sim_115_seed_30.csv
31,115,0,0,0.8533694013319488,episewer_diagnostics_sim_115_seed_31.csv
31,115,0,0,0.9154638189606348,episewer_diagnostics_sim_115_seed_31.csv
31,115,0,0,0.7239446208222812,episewer_diagnostics_sim_115_seed_31.csv
31,115,0,0,0.85339365357238,episewer_diagnostics_sim_115_seed_31.csv
32,115,0,0,0.9690277728997292,episewer_diagnostics_sim_115_seed_32.csv
32,115,3,0,0.8760511422729947,episewer_diagnostics_sim_115_seed_32.csv
32,115,0,0,0.9286884004192,episewer_diagnostics_sim_115_seed_32.csv
32,115,0,0,0.9150553471784206,episewer_diagnostics_sim_115_seed_32.csv
33,115,0,0,1.0929177635045173,episewer_diagnostics_sim_115_seed_33.csv
33,115,0,0,1.0482353473097386,episewer_diagnostics_sim_115_seed_33.csv
33,115,0,0,0.9108201257046434,episewer_diagnostics_sim_115_seed_33.csv
33,115,0,0,0.9334072239452303,episewer_diagnostics_sim_115_seed_33.csv
34,115,0,0,0.7912187164833543,episewer_diagnostics_sim_115_seed_34.csv
34,115,0,0,0.8846077489246916,episewer_diagnostics_sim_115_seed_34.csv
34,115,0,0,1.0010007346826442,episewer_diagnostics_sim_115_seed_34.csv
34,115,0,0,1.0112307623203465,episewer_diagnostics_sim_115_seed_34.csv
35,115,0,0,0.9947230589299468,episewer_diagnostics_sim_115_seed_35.csv
35,115,0,0,0.6972972575049595,episewer_diagnostics_sim_115_seed_35.csv
35,115,0,0,0.732270232056069,episewer_diagnostics_sim_115_seed_35.csv
35,115,0,0,0.8723519574693438,episewer_diagnostics_sim_115_seed_35.csv
36,115,0,0,0.9201325811085672,episewer_diagnostics_sim_115_seed_36.csv
36,115,0,0,0.9142684781105191,episewer_diagnostics_sim_115_seed_36.csv
36,115,0,0,0.914242742000112,episewer_diagnostics_sim_115_seed_36.csv
36,115,0,0,0.9391680422105626,episewer_diagnostics_sim_115_seed_36.csv
37,115,0,0,0.9846263159494004,episewer_diagnostics_sim_115_seed_37.csv
37,115,0,0,1.199108416447472,episewer_diagnostics_sim_115_seed_37.csv
37,115,0,0,0.8984494800928499,episewer_diagnostics_sim_115_seed_37.csv
37,115,0,0,0.9644252339574538,episewer_diagnostics_sim_115_seed_37.csv
38,115,0,0,0.8827327149874146,episewer_diagnostics_sim_115_seed_38.csv
38,115,0,0,1.1414023568695677,episewer_diagnostics_sim_115_seed_38.csv
38,115,0,0,0.7371069229878972,episewer_diagnostics_sim_115_seed_38.csv
38,115,0,0,0.8160890829793924,episewer_diagnostics_sim_115_seed_38.csv
39,115,0,0,0.758016688415509,episewer_diagnostics_sim_115_seed_39.csv
39,115,0,0,0.7376639992607829,episewer_diagnostics_sim_115_seed_39.csv
39,115,0,0,0.8369021219041708,episewer_diagnostics_sim_115_seed_39.csv
39,115,0,0,0.818807504588291,episewer_diagnostics_sim_115_seed_39.csv
4,115,0,0,0.5755501510614295,episewer_diagnostics_sim_115_seed_4.csv
4,115,0,0,0.48613205272254406,episewer_diagnostics_sim_115_seed_4.csv
4,115,0,0,0.8850719854845774,episewer_diagnostics_sim_115_seed_4.csv
4,115,0,0,0.7478096118785736,episewer_diagnostics_sim_115_seed_4.csv
40,115,0,0,1.0395367899788377,episewer_diagnostics_sim_115_seed_40.csv
40,115,0,0,0.8510586581416456,episewer_diagnostics_sim_115_seed_40.csv
40,115,0,0,1.0314746463352888,episewer_diagnostics_sim_115_seed_40.csv
