time,name,value,.lower,.upper,.width,method
1,Rt,0.5906201390073904,0.49639198891408304,0.6971554132758438,0.5,estim_normal
2,Rt,0.6284335009843263,0.5236604358477506,0.7627464220088859,0.5,estim_normal
3,Rt,0.6763247961674593,0.5509037064435651,0.8255537171427172,0.5,estim_normal
4,Rt,0.7289227819711916,0.5926814181224739,0.8839888947057404,0.5,estim_normal
5,Rt,0.7788473502644375,0.6281732648288489,0.9870198239470174,0.5,estim_normal
6,Rt,0.8458746012210123,0.6696562429517576,1.0505404294120324,0.5,estim_normal
7,Rt,0.9147029135531692,0.7283311561791317,1.1443399722669356,0.5,estim_normal
8,Rt,1.006892703831447,0.8095295797008897,1.2436377368826768,0.5,estim_normal
9,Rt,1.0928589056811941,0.8858906898270559,1.3515034692033092,0.5,estim_normal
10,Rt,1.1637959079784055,0.9504419041727001,1.4073396248253205,0.5,estim_normal
11,Rt,1.2030125284244124,0.9910544898075151,1.4532477498987122,0.5,estim_normal
12,Rt,1.2372732936785078,1.0234449068005196,1.509643759339557,0.5,estim_normal
13,Rt,1.3491305446151927,1.1160674384046292,1.6380130956120063,0.5,estim_normal
14,Rt,1.4349243117216435,1.1642181804149316,1.7391707013468265,0.5,estim_normal
15,Rt,1.4685997248356315,1.164905502941235,1.8598053678661335,0.5,estim_normal
16,Rt,1.4545351915699918,1.113950195158416,1.8750892678737108,0.5,estim_normal
1,Rt,0.5906201390073904,0.420420926842189,0.812565179451884,0.8,estim_normal
2,Rt,0.6284335009843263,0.43197515863898556,0.912961564173973,0.8,estim_normal
3,Rt,0.6763247961674593,0.4491520369211468,1.007852683153206,0.8,estim_normal
4,Rt,0.7289227819711916,0.47847579243391153,1.0944259080123357,0.8,estim_normal
5,Rt,0.7788473502644375,0.5026942189549806,1.2125870638357015,0.8,estim_normal
6,Rt,0.8458746012210123,0.5424378312855193,1.2832194273993915,0.8,estim_normal
7,Rt,0.9147029135531692,0.6082194546686701,1.442640277814621,0.8,estim_normal
8,Rt,1.006892703831447,0.6560209856645312,1.5199256607442302,0.8,estim_normal
9,Rt,1.0928589056811941,0.7131235097826893,1.6261892123858788,0.8,estim_normal
10,Rt,1.1637959079784055,0.774196303662851,1.7065224648095438,0.8,estim_normal
11,Rt,1.2030125284244124,0.8082420610396511,1.7279403185808573,0.8,estim_normal
12,Rt,1.2372732936785078,0.8465924355332308,1.7586581142520317,0.8,estim_normal
13,Rt,1.3491305446151927,0.9172938317537203,1.932457720410549,0.8,estim_normal
14,Rt,1.4349243117216435,0.9682975070473292,2.104888923007748,0.8,estim_normal
15,Rt,1.4685997248356315,0.9466201113428008,2.2924814176298387,0.8,estim_normal
16,Rt,1.4545351915699918,0.8948895833939587,2.4081527622468926,0.8,estim_normal
1,Rt,0.5906201390073904,0.33498550253647397,1.0112470708688648,0.95,estim_normal
2,Rt,0.6284335009843263,0.327074869150688,1.1481575133511415,0.95,estim_normal
3,Rt,0.6763247961674593,0.35070255205891826,1.3285242092990526,0.95,estim_normal
4,Rt,0.7289227819711916,0.3628730558788259,1.462694428122041,0.95,estim_normal
5,Rt,0.7788473502644375,0.386895308077975,1.5742249550770813,0.95,estim_normal
6,Rt,0.8458746012210123,0.423544859756747,1.6905490300950023,0.95,estim_normal
7,Rt,0.9147029135531692,0.481292275657962,1.834428956966353,0.95,estim_normal
8,Rt,1.006892703831447,0.5210597461071242,1.9540974186199451,0.95,estim_normal
9,Rt,1.0928589056811941,0.5831014174161803,2.030707031948238,0.95,estim_normal
10,Rt,1.1637959079784055,0.6213987796059453,2.1441839705054844,0.95,estim_normal
11,Rt,1.2030125284244124,0.6565254793469029,2.1312258509804045,0.95,estim_normal
12,Rt,1.2372732936785078,0.6918586508543954,2.220237884156758,0.95,estim_normal
13,Rt,1.3491305446151927,0.7347193636428483,2.3270970714998307,0.95,estim_normal
14,Rt,1.4349243117216435,0.7399013199161694,2.5554303177955178,0.95,estim_normal
15,Rt,1.4685997248356315,0.7266910616383364,2.885820963634311,0.95,estim_normal
16,Rt,1.4545351915699918,0.6796573243996136,3.3157957748436044,0.95,estim_normal
