time,name,value,.lower,.upper,.width,method
1,Rt,0.5958688242618557,0.4910712539503381,0.7080622056245092,0.5,estim_normal
2,Rt,0.6349143930027794,0.5083807989916446,0.7744003222047049,0.5,estim_normal
3,Rt,0.6744810583379168,0.5379970704433668,0.8437911186583458,0.5,estim_normal
4,Rt,0.7149903492305179,0.5743878585727515,0.9012426138953544,0.5,estim_normal
5,Rt,0.7685000540332547,0.6127569932840538,0.9770853875049362,0.5,estim_normal
6,Rt,0.8255872280622425,0.6561360900459307,1.0298363702623181,0.5,estim_normal
7,Rt,0.9157958902814443,0.7335317356658979,1.1485273237204154,0.5,estim_normal
8,Rt,1.051626941968927,0.8472554653515939,1.30607019494368,0.5,estim_normal
9,Rt,1.1412265054693993,0.9322679035874007,1.3993642361401368,0.5,estim_normal
10,Rt,1.2148983256083727,1.002319475250313,1.4574975872591194,0.5,estim_normal
11,Rt,1.337193234250177,1.105335275921345,1.6126473636841163,0.5,estim_normal
12,Rt,1.4750825269690704,1.242572713925213,1.7858935380909295,0.5,estim_normal
13,Rt,1.5609226040582151,1.3181767473690824,1.8384392025134502,0.5,estim_normal
14,Rt,1.496801427206095,1.2735460014588846,1.7876333360941006,0.5,estim_normal
15,Rt,1.3960369526030323,1.1538703940684114,1.6771686155406444,0.5,estim_normal
16,Rt,1.3945836044240227,1.1045246020267758,1.7427765053971396,0.5,estim_normal
1,Rt,0.5958688242618557,0.41306292360489455,0.8426138128614645,0.8,estim_normal
2,Rt,0.6349143930027794,0.4147924766464702,0.9505411051231325,0.8,estim_normal
3,Rt,0.6744810583379168,0.42871206882897755,1.0416569789517318,0.8,estim_normal
4,Rt,0.7149903492305179,0.4581953554874007,1.1503282343116077,0.8,estim_normal
5,Rt,0.7685000540332547,0.49227459769813064,1.2096455660902117,0.8,estim_normal
6,Rt,0.8255872280622425,0.5323358683175488,1.2938352436469966,0.8,estim_normal
7,Rt,0.9157958902814443,0.5933534378369535,1.4074879133992622,0.8,estim_normal
8,Rt,1.051626941968927,0.6983143964912282,1.6041703346361966,0.8,estim_normal
9,Rt,1.1412265054693993,0.7869870259612908,1.7258520361559788,0.8,estim_normal
10,Rt,1.2148983256083727,0.8364784586280939,1.7471154023878288,0.8,estim_normal
11,Rt,1.337193234250177,0.9379608639948823,1.9433165176898597,0.8,estim_normal
12,Rt,1.4750825269690704,1.0596093955730126,2.1351805857658572,0.8,estim_normal
13,Rt,1.5609226040582151,1.1277153524849328,2.1772683420104904,0.8,estim_normal
14,Rt,1.496801427206095,1.0880648529544752,2.101763436971973,0.8,estim_normal
15,Rt,1.3960369526030323,0.9687635969185385,1.9784013411359338,0.8,estim_normal
16,Rt,1.3945836044240227,0.8991108769717414,2.187006578104365,0.8,estim_normal
1,Rt,0.5958688242618557,0.3259505226276558,1.0536925283680476,0.95,estim_normal
2,Rt,0.6349143930027794,0.30647904878123094,1.2143833903182764,0.95,estim_normal
3,Rt,0.6744810583379168,0.3303611525324886,1.3856900078155556,0.95,estim_normal
4,Rt,0.7149903492305179,0.34088132846115154,1.5304893243439113,0.95,estim_normal
5,Rt,0.7685000540332547,0.36273241176935467,1.6471366849958415,0.95,estim_normal
6,Rt,0.8255872280622425,0.3856769937301135,1.6307871440451263,0.95,estim_normal
7,Rt,0.9157958902814443,0.45415938651462356,1.796615162419559,0.95,estim_normal
8,Rt,1.051626941968927,0.5526382674092313,2.051599665672472,0.95,estim_normal
9,Rt,1.1412265054693993,0.6511566950680583,2.1689711356275456,0.95,estim_normal
10,Rt,1.2148983256083727,0.6792170511228227,2.216446842781163,0.95,estim_normal
11,Rt,1.337193234250177,0.7816359402240899,2.411499896202118,0.95,estim_normal
12,Rt,1.4750825269690704,0.9067962410879031,2.6130725984438725,0.95,estim_normal
13,Rt,1.5609226040582151,0.957296230211628,2.531464006748188,0.95,estim_normal
14,Rt,1.496801427206095,0.9168633961075131,2.417504743480267,0.95,estim_normal
15,Rt,1.3960369526030323,0.801091530505278,2.408596508214488,0.95,estim_normal
16,Rt,1.3945836044240227,0.6929280597546967,2.823406115942857,0.95,estim_normal
