name,value
gamma,0.24240664434015943
nu,0.12404810732485023
rho_conc,0.8581967771980795
rt_init,1.0990099800149455
sigma_rt,0.1324007562440746
tau,1.4278440215947923
I_init,9.26738832200439
E_init,5.113725334842803
.draw,1
gamma,0.30982993326871294
nu,0.14190651603896562
rho_conc,0.987013410099593
rt_init,1.0891505706583915
sigma_rt,0.1334306952920589
tau,1.379471532837078
I_init,8.803625841142319
E_init,4.622579028135301
.draw,2
gamma,0.2833122539540865
nu,0.16788025114547445
rho_conc,1.5257460930093645
rt_init,1.2961804882017018
sigma_rt,0.18240727031653464
tau,1.6799603840582125
I_init,9.09549250921232
E_init,5.224323792439718
.draw,3
gamma,0.2844102328368844
nu,0.1339141129532969
rho_conc,2.740582700537665
rt_init,0.8625036067812119
sigma_rt,0.12941872335510027
tau,1.59636980828816
I_init,8.720999100291394
E_init,5.144286970788128
.draw,4
gamma,0.24859909389586268
nu,0.15234156308414637
rho_conc,2.775106379412649
rt_init,0.9865113784869434
sigma_rt,0.17885224032580554
tau,1.596470400668918
I_init,9.451980218551842
E_init,5.207457222632206
.draw,5
gamma,0.2394238386339183
nu,0.14260700912979643
rho_conc,1.895700172040498
rt_init,1.0606097221663928
sigma_rt,0.1526094647270965
tau,1.723439247310978
I_init,9.78460546750012
E_init,5.1328766277819495
.draw,6
gamma,0.2423869950301563
nu,0.12070334468447572
rho_conc,3.3932882742341723
rt_init,0.9786931308285748
sigma_rt,0.16426725030026706
tau,1.2966066003815018
I_init,8.43772092214931
E_init,5.530866447180598
.draw,7
gamma,0.22742183167207247
nu,0.1696519942749138
rho_conc,0.598424966290995
rt_init,1.1225575158302512
sigma_rt,0.17333684711904376
tau,1.446220870219816
I_init,9.227895200736969
E_init,4.456900240766339
.draw,8
gamma,0.32829764999290395
nu,0.12377650241588788
rho_conc,1.9233801805995296
rt_init,1.0342923777040354
sigma_rt,0.13403111984649965
tau,1.570907771646754
I_init,8.446971613852709
E_init,5.449272083760406
.draw,9
gamma,0.3657152447642784
nu,0.11444328102573334
rho_conc,1.87931444716689
rt_init,0.9959041143843136
sigma_rt,0.13782045706295526
tau,1.6057056465510222
I_init,8.86720680813397
E_init,5.496183340712399
.draw,10
gamma,0.23685074704102735
nu,0.1820345079424589
rho_conc,2.1484426187679606
rt_init,0.9286449853847202
sigma_rt,0.16371403695373732
tau,1.65002879130695
I_init,9.230236539631989
E_init,5.367504056179925
.draw,11
gamma,0.2577345176609545
nu,0.1899202766476079
rho_conc,1.6314904947216924
rt_init,0.8682711184175261
sigma_rt,0.15396352103650174
tau,1.5438096972640438
I_init,9.451444973612569
E_init,5.261949182490008
.draw,12
gamma,0.2609786185232418
nu,0.1082396862956624
rho_conc,1.4199655064608478
rt_init,1.261577385335536
sigma_rt,0.16540912415907091
tau,1.5481010606427943
I_init,8.586383534266806
E_init,4.905884234871679
.draw,13
gamma,0.2704416601759864
nu,0.08493671924838014
rho_conc,0.6749177460888485
rt_init,1.3726135840767215
sigma_rt,0.16830262504749052
tau,1.365004460718867
I_init,8.605314857140682
E_init,4.832678502645074
.draw,14
gamma,0.27392990006335277
nu,0.23917869874285516
rho_conc,1.5884719466384856
rt_init,0.9337722233887424
sigma_rt,0.15073583143467076
tau,1.5669304957468349
I_init,9.324832684275076
E_init,4.738178190990975
.draw,15
gamma,0.2225308611779915
nu,0.08238510122880757
rho_conc,2.0489580452959917
rt_init,1.001529176905513
sigma_rt,0.1560165885373796
tau,1.3828314349814714
I_init,8.659034988415419
E_init,5.107551951857852
.draw,16
gamma,0.2395051437303967
nu,0.093570126100622375
rho_conc,2.167214544913844
rt_init,1.0323394402102934
sigma_rt,0.15839081521275158
tau,1.3979845768485089
I_init,8.617331645864683
E_init,5.188412017349245
.draw,17
gamma,0.27840456979187367
nu,0.1921315088380025
rho_conc,1.8033980798997968
rt_init,1.092409936494639
sigma_rt,0.14170728240423658
tau,1.69531054630847
I_init,9.344515736611086
E_init,4.839310109950077
.draw,18
gamma,0.23639706678252576
nu,0.10521880036813418
rho_conc,1.8293610097820032
rt_init,1.193589627013524
sigma_rt,0.1446131874780741
tau,1.2836987870144454
I_init,8.756389309157644
E_init,5.270183511639917
.draw,19
gamma,0.25337428463407513
nu,0.13423978947912574
rho_conc,2.7168249804881475
rt_init,1.2962336160175767
sigma_rt,0.1440644012741268
tau,1.2536156795490572
I_init,8.522507248858643
E_init,5.015872238238011
.draw,20
gamma,0.26908969248571535
nu,0.15726534568573874
rho_conc,0.5481788733643295
rt_init,0.8106214636721026
sigma_rt,0.14731887362397017
tau,1.7744039571745274
I_init,9.467554143956246
E_init,4.905687167686354
.draw,21
gamma,0.2658750431088593
nu,0.1297000708101939
rho_conc,4.018331211427784
rt_init,1.3185788436391137
sigma_rt,0.15466602550493994
tau,1.2763323825806945
I_init,8.580556266531321
E_init,4.9817634304699014
.draw,22
gamma,0.26635578701461743
nu,0.16527982224927812
rho_conc,0.8228810691520673
rt_init,0.8462004155005174
sigma_rt,0.1528100186495224
tau,1.6597832556153158
I_init,9.452305490144504
E_init,5.014027615473799
.draw,23
gamma,0.23895947819710664
nu,0.1637366124202168
rho_conc,0.845648834106381
rt_init,0.9132116227612797
sigma_rt,0.15380677824725875
tau,1.5883548704427397
I_init,9.023522300438987
E_init,5.032547065793142
.draw,24
gamma,0.3221317049942455
nu,0.15744260117241207
rho_conc,1.6141995209651685
rt_init,1.2625417214679562
sigma_rt,0.15446528336871398
tau,1.41855240385865
I_init,9.000512442782709
E_init,5.009372659341853
.draw,25
gamma,0.2662757652566394
nu,0.1844250143752954
rho_conc,1.1679649064445166
rt_init,1.1668264541435382
