variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
gamma,0.26977698079478185,0.2630267103471512,0.05344911554102441,0.05022207097320273,0.19203705756124714,0.36523357695733255,1.013418747800438,2252.28109978436,856.3439541146859
nu,0.14862629360261112,0.14603117890054612,0.030680378149168918,0.030347399289615433,0.10423427202978332,0.2028188259661973,1.0136147281222312,2084.09522444957,760.2045872096602
rho_conc,3.458351297722631,3.0337418124372584,1.9563785925224542,1.5026460438233373,1.2817938038747154,7.219215534635917,1.0060746331235866,1102.38314528259,531.2351262578338
rt_init,0.5482556890366754,0.544621979192689,0.055050367824830866,0.051883676031231965,0.46033742072776335,0.6457985623464944,1.0017905367620965,1913.5528320344874,662.1715317858211
sigma_rt,0.1595247587527627,0.15875100484691684,0.015317190573602216,0.016131954996664585,0.13607410486189991,0.18550351403729018,1.008338831425913,2285.0656671211873,871.9870696898828
tau,1.557953684179795,1.5330225606101466,0.19106144221669766,0.1754076318702008,1.2872492494500005,1.9059143885954848,1.0000536430251568,946.224504991716,638.7676604303214
I_init,9.005759001459829,8.995026878045238,0.4622940765238428,0.4422044248877094,8.27672919867055,9.80950170989944,1.0001112925137072,2453.0592900867823,589.6534996187108
E_init,5.000880494853933,4.996184869901789,0.24299874711288116,0.23536300259821702,4.61313275454457,5.403061351855656,1.0076799819927087,2029.0859733207421,828.5642339780246
alpha_t_values[0],0.08143616299488649,0.07964326543370777,0.018528985330140968,0.01785148515294033,0.05479398687419129,0.11544342576477455,1.0019024335729376,1673.879274274694,714.948088049322
alpha_t_values[1],0.10254599166545927,0.09915700051245781,0.027848631793673074,0.027665438666123622,0.06346646176441309,0.154806000464454,1.0015408204187348,1526.3044530296536,821.6580577708821
alpha_t_values[2],0.12618026418034237,0.12110458044419406,0.03816031649886196,0.0383072541312059,0.07570858433351095,0.19436868532534823,1.0015275275065734,1444.3460718999088,713.0908797071074
alpha_t_values[3],0.1510035885605256,0.14578213306657495,0.046964795037746226,0.045796760348105994,0.0834758759481225,0.23964171499446754,1.0005750955849635,1375.4016708669637,577.4616420887218
alpha_t_values[4],0.1750925855590265,0.1683042506806766,0.05616471559156198,0.05496653775328034,0.09488950950985327,0.2803901537950879,0.9980656134899227,1282.330597453457,896.9623041972508
alpha_t_values[5],0.1945630746237856,0.18940594876488362,0.060862082970343186,0.06257948439311926,0.1081151182555475,0.3039588528866183,1.005174048442283,987.7050918686734,780.5986373178691
alpha_t_values[6],0.20637790950386728,0.19911610534256435,0.06379835431449447,0.06445252418393899,0.11604069707292418,0.3166539938004186,1.0023335064374785,1034.8064470696868,817.9072042947382
alpha_t_values[7],0.21212793729578086,0.2072769082252435,0.06315789878103213,0.060837553402506836,0.12019411854658081,0.32481553311911887,0.9995279650918941,1036.449943148574,877.3972072736893
alpha_t_values[8],0.2142248260963068,0.20768007466948094,0.06502419935422808,0.06244000291724367,0.11605840510602741,0.32749571073083517,0.9995851792790266,1238.6843283595244,734.7885006394309
alpha_t_values[9],0.21902320219679391,0.21131502959890963,0.0716513982794431,0.06758568943339067,0.11139603787521989,0.34653828289413124,0.9985232439560936,1649.638749798932,553.0538793995742
alpha_t_values[10],0.22362952954089232,0.21033371257949143,0.08245315593125804,0.0743372831300658,0.11006337948556015,0.3749192267911345,1.0009776669318038,1587.2749574204615,628.6735677232039
rt_t_values[0],0.5482556890366754,0.544621979192689,0.055050367824830866,0.051883676031231965,0.46033742072776335,0.6457985623464944,1.0017905367620965,1913.5528320344874,662.1715317858211
rt_t_values[1],0.6901993237165127,0.6794930486516537,0.12246921044608751,0.12091932998530001,0.5096976863911455,0.8962025503255194,1.0174753971711132,1540.5558350238869,729.876414649609
rt_t_values[2],0.8511568539951763,0.8341368449769065,0.19549418954176953,0.19163555460388354,0.560645725798799,1.1842895280858619,1.0134703399321572,1362.1906550960796,592.7840191924686
rt_t_values[3],1.0197905429791567,1.0107036654051886,0.25310183969551264,0.25729274151100795,0.6289110962067941,1.4292701017674276,0.9989255199714382,1193.8782993122422,716.6779807255737
rt_t_values[4],1.1804799332870497,1.169858880878779,0.2951698086554203,0.30476333941289385,0.7110344947023497,1.673699903521438,0.9996230083581473,989.283398392527,757.7515292256362
rt_t_values[5],1.3129612461908733,1.3061152647282976,0.3249810392160809,0.3153041057461037,0.8097984851318627,1.8381074271471765,1.0014073090651716,832.9861974342554,800.4838557024402
rt_t_values[6],1.3957023681028164,1.3738315710483855,0.35300876992378094,0.3376896287272245,0.853839441343845,2.013240202200881,0.9999609694752543,930.5054474853368,690.8293926214557
rt_t_values[7],1.4356622546257887,1.4213939550445989,0.3489066326773713,0.33606812612223746,0.8972653190206467,2.0457989410982282,1.000952598579627,950.5747161107762,689.1986448940086
rt_t_values[8],1.4504997219882743,1.4377275955899593,0.37037506006888754,0.3618263576844855,0.8483814691581854,2.0787976416826868,1.006879593611199,946.6900669448488,782.547205897628
rt_t_values[9],1.4848518583270522,1.4496471981892336,0.4298256031253286,0.3939148135065595,0.838717832898159,2.209522744823633,1.0009675122692405,1507.1027912445234,538.7421929877337
rt_t_values[10],1.5177875611752267,1.4406559149863298,0.5129199400544062,0.48272966570220294,0.8052680466228389,2.4591992219237113,1.0018375315605492,1656.0067018836967,659.1023884568658
log_genes_mean[0],3.2994236917727267,3.30940882363589,0.520975437697714,0.5059143167970421,2.446374756326489,4.153278370618673,1.0093510275626798,1079.0508829795024,568.3119618987936
log_genes_mean[1],3.2754804727833173,3.2825759818346283,0.5171885958276016,0.4893374506871099,2.4212698207815326,4.111522905016695,1.0087077411836856,1123.1320075496021,729.9166628073765
log_genes_mean[2],3.044048403957354,3.0569530483383742,0.5319988361679635,0.5259284787510767,2.1594918957215476,3.8590466230551246,1.004877824916016,1072.770658137234,713.1125167159746
log_genes_mean[3],2.997303425136126,3.0102719352599308,0.5321853338998561,0.5352161987043752,2.098414716546343,3.81201460288109,1.0045395887422899,1063.1019529647235,688.1294407106262
log_genes_mean[4],3.027752198309235,3.0268414068064544,0.5234020498446119,0.5210677471967587,2.1459677732912787,3.9072500113999373,1.004655566136112,898.5195601983081,802.1888435926363
log_genes_mean[5],3.0451482885600716,3.040065016018381,0.5218926379598597,0.522547498384857,2.1738201025717614,3.889410303967673,1.0036413979914582,909.690238826271,709.9598117369277
log_genes_mean[6],3.0662775243669205,3.0671290759457985,0.5101789660046875,0.5362466222633787,2.227147139042632,3.878808945327508,1.0027671061975263,825.4735470284354,759.8164750035411
log_genes_mean[7],3.209199960972675,3.2225903506227533,0.48957862038631456,0.5047317027196254,2.3948299139474325,4.003832578668819,1.003974333671716,912.7695564969088,749.1262238619759
log_genes_mean[8],3.2532969695327707,3.2725029478077774,0.5451938995193008,0.5445066566790315,2.3082876525990805,4.128504075431629,1.0029371116470887,794.4602075634008,783.9420083796433
log_genes_mean[9],3.433541862092036,3.4697487291681353,0.562531811439541,0.524216082049938,2.486608317954659,4.275699039438246,1.0024749914592945,805.3241790229922,733.9833609486199
log_genes_mean[10],3.560999574529734,3.618877998120072,0.5798258041172868,0.4781266908716195,2.60504043166197,4.3933828233211845,1.0019014015686685,836.6037718947721,697.5838886118967
log_genes_mean[11],3.777417790012576,3.841086375698813,0.5415854824391582,0.4435342954142488,2.8867874475525808,4.486947505893052,1.0019590281560933,834.296704743571,796.6330461117977
