variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
gamma,0.2579408290993883,0.25289171288995227,0.052834833383623395,0.049119987539569074,0.18303788901744297,0.34672998837010566,1.0034772729600305,1486.8303237990247,762.1374578421699
nu,0.14392355196489204,0.1414359868221572,0.029509392728173742,0.028858507460607544,0.09995372946475178,0.19524267775229867,1.0100350277753551,1416.9922877798563,814.7479605927692
rho_conc,1.4926221396240598,1.3774769981268093,0.6462152971935645,0.49061362668911396,0.7582440961891492,2.697437450385708,1.0005808488853,1202.0910699285128,875.1869385601415
rt_init,0.5430409719402134,0.5415797459102879,0.049154578488367566,0.04804600383708043,0.4635459372307114,0.6207308461415796,1.000381246455139,1351.0942263661132,894.9074011761834
sigma_rt,0.15529846917259213,0.15424871883796082,0.014606477980393384,0.014233878578314681,0.13252066709696933,0.18171554165858828,0.9984808928042596,1505.9325620232028,789.6050883271023
tau,1.0211555656255298,1.0019080786644858,0.14890716981688387,0.14202749391370728,0.8048484852075207,1.2913363020737523,1.002058905241546,770.1706577366843,819.3479188853332
I_init,21.978208904865276,21.94409341205807,1.0527087853824408,1.0217195711479103,20.22827459133694,23.68737732300573,1.0063390460658552,1376.889169564919,716.9697847681032
E_init,12.995382428428394,12.978979410476153,0.6302234114856162,0.6108918213279267,12.005609207510007,14.114408903586245,1.007114140971159,1525.658346205174,675.1319420664379
alpha_t_values[0],0.07824599965627503,0.07647409133367547,0.018013223707950183,0.017406232536400616,0.052405642270613104,0.1092856813672075,1.0211873619875893,1509.7786680818751,847.0404796148431
alpha_t_values[1],0.0945829213909916,0.09152571424678929,0.024599925791961984,0.024207695448308045,0.058998955097142806,0.1371440460399852,1.0056133548167325,1444.0451686439128,751.5198166830421
alpha_t_values[2],0.11233845504583126,0.10904107573366932,0.03285710079585721,0.03033669965249033,0.06298865108989568,0.17352236739987276,1.0017642385080523,1514.8866180849795,670.606771530628
alpha_t_values[3],0.12749132582391487,0.12326726264490076,0.03722593722134034,0.037043782818901985,0.07354366482925834,0.19408441688395695,0.999869473614652,1487.431443157303,837.4588185943384
alpha_t_values[4],0.14107770795015706,0.13803593497209088,0.040840938729321236,0.03988500115792903,0.08101203988117808,0.21923725356218074,0.9990596564526694,1328.6765894672335,720.3449635929204
alpha_t_values[5],0.15253329543339572,0.14969499808199604,0.04248675039170011,0.04125288623517426,0.09128415430867742,0.2230535647458816,1.0002305513991987,1334.0376823861227,808.5064340101784
alpha_t_values[6],0.16121643486494067,0.1588799306972264,0.04371158386383731,0.0426523857897032,0.09548442794449476,0.2391416861925323,1.0031522205349959,1210.3544027462394,784.9863246823459
alpha_t_values[7],0.16823433068306506,0.16376953219141072,0.04485630697070872,0.04199947680965496,0.10208654968677931,0.24867927195131842,0.9988705855300994,1339.9831135372149,774.933354986522
alpha_t_values[8],0.17738477364211835,0.17179152376147766,0.04687477208522381,0.04660390152211784,0.10850373303704189,0.2631229290655769,1.0027891510502907,1483.1835623771524,891.4613190932898
alpha_t_values[9],0.1816567329640781,0.17655533928015815,0.05083287812851244,0.04902945840615131,0.10862698899933643,0.2719399147462477,1.0047820147503905,1595.3299003319894,949.6868424495657
alpha_t_values[10],0.18244915297536685,0.1756044896881398,0.055068539811866574,0.05233741315443436,0.10502875757265168,0.2804267731580728,1.0034385044670504,1383.2112697014375,902.4793038470492
alpha_t_values[11],0.18270296223631707,0.17408720899315927,0.059930177263421855,0.05687799791052266,0.10122451992278626,0.29127673882855887,1.0008248574502718,1292.066672176783,888.884181091119
alpha_t_values[12],0.1840030101935831,0.1723379944285874,0.0680561430815584,0.06439775478270417,0.09335060564188317,0.30508949208410746,1.0013121103948517,1443.7362959329428,861.7220804389896
rt_t_values[0],0.5430409719402134,0.5415797459102879,0.049154578488367566,0.04804600383708043,0.4635459372307114,0.6207308461415796,1.000381246455139,1351.0942263661132,894.9074011761834
rt_t_values[1],0.6569603627014216,0.648417504167141,0.10376302207785373,0.1066366876779953,0.49866749502686336,0.8393375071504842,1.005677073750661,1414.3152636848538,869.1533226840826
rt_t_values[2],0.7786937438045364,0.7683583153673238,0.15271562537701913,0.1441447453579722,0.5435479377885669,1.044522690623305,0.9991118836677759,1442.8061128128916,769.8618837326885
rt_t_values[3],0.8856603530826185,0.8706427256345537,0.18523249063025532,0.1790604655075625,0.6064044573609676,1.2242733527215648,1.0011083141456651,1262.2378890397913,804.9327083128724
rt_t_values[4],0.9805516742836156,0.964036688503758,0.205362803615189,0.20138876288804408,0.6681707429932657,1.3181628111726997,0.9991935323087595,1217.5593668915658,838.3973462207425
rt_t_values[5],1.0622965917459612,1.047567761900328,0.21364182453018418,0.20733939717539002,0.7291824861054494,1.431293518308238,1.001121007298767,1118.544608754039,716.5481918376723
rt_t_values[6],1.1252148040939194,1.11759965382769,0.22841250329587595,0.23225412176157623,0.7722378332201256,1.516231973303354,0.9997905537816347,1067.8611906112515,710.814082619888
rt_t_values[7],1.17463176243226,1.1678727667384785,0.23447049472308498,0.23858682998322492,0.8117256806776678,1.5702490679473151,1.0012528634045297,1243.9733032826414,807.7290807101972
rt_t_values[8],1.2379681935274927,1.2222251290634172,0.24175637307991785,0.24017936728125736,0.8545268275730966,1.6543244534541972,0.9999690776241422,1415.498016209565,755.6513129555063
rt_t_values[9],1.2669709065435448,1.2496639229505893,0.2698644265752588,0.26171778078097174,0.8424916754259298,1.7403061284962351,1.0005185971926296,1417.2452505416377,938.1709614302058
rt_t_values[10],1.2705999527645486,1.2295742050636007,0.29520704364806966,0.27365163022530636,0.8412715517203407,1.8032497047793705,0.9979939623498217,1278.7400573741882,895.7438689046652
rt_t_values[11],1.2727944858391573,1.2341299204611418,0.33769457131034336,0.32329227561915785,0.790170581445824,1.8835331694323467,0.9998152653899404,1237.3937347628714,854.9737213631074
rt_t_values[12],1.2817466683947554,1.2229011224659798,0.404705383368922,0.37479276398415756,0.7265274479307177,2.0063057788503698,1.0004896057777435,1399.352150323146,825.9045191636433
log_genes_mean[0],3.4123522884449025,3.3920160524858316,0.38228719521115667,0.3648665039276732,2.8280955524364937,4.079733306424391,1.0024926198305606,1237.6439279753224,944.9713715234091
log_genes_mean[1],3.403882126381918,3.3866426221189343,0.3797436578017203,0.3562954153610627,2.838630417141463,4.05056692737606,1.0013173135730076,1381.8197422118185,973.6751822042246
log_genes_mean[2],3.2296505725488402,3.2138821045153083,0.36736151545538687,0.35232609180158914,2.6563329443426613,3.8901181938104763,1.0034729645003426,1342.9252412071364,954.3305817866499
log_genes_mean[3],3.1754412299452994,3.1615080714330954,0.36372499041490475,0.3459259569096005,2.607268379924121,3.8154956109638776,1.0023786189209867,1323.4942462894908,886.8622118987255
log_genes_mean[4],3.1178617955988375,3.1149115943081505,0.3642882303741015,0.35021142883431194,2.5379733632650816,3.737184879195077,1.003603681407859,1407.348580059675,780.9066898699234
log_genes_mean[5],3.0418707853345093,3.0418971978267657,0.3770699168534739,0.3600876795541917,2.4482216915528516,3.6448446336939417,1.0007114084293867,1401.0223936875698,953.2208069486658
log_genes_mean[6],2.9502696195684646,2.944137743905045,0.3844647182591718,0.38757687552424314,2.3220678015609444,3.5407735657990864,1.0004177358097421,1273.8203027348627,866.9940674339344
log_genes_mean[7],2.9329629209648007,2.9336885727703086,0.3800906766515982,0.3792109025547379,2.2831377031602993,3.5342847496172998,1.002268512731652,1259.6716573619685,928.2187479549958
log_genes_mean[8],2.951234977583198,2.9592553206070917,0.3636110191741398,0.36455480449791944,2.3594035900545487,3.5581950701696208,1.0012519799359905,1317.526306629241,932.6600242416064
log_genes_mean[9],3.054809900129784,3.054561018694776,0.35218162887989646,0.3248341642263364,2.462982907617842,3.6261036217557314,1.0043673972615006,1228.0442381127375,722.9576407444237
