seed,week,scenario,value,.lower,.upper,.width,.point,.interval,time,total_conc,total_conc_I1,total_conc_I2,total_conc_I3,total_conc_I4,total_conc_I5,total_conc_I6,total_conc_I7,total_conc_R1,total_conc_R2,num_I1,num_I2,num_I3,num_I4,num_I5,num_I6,num_I7,num_R1,num_R2,sim,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,time.y,S,E,I1,I2,I3,I4,I5,I6,I7,R1,R2,beta_t,r0,true_rt,time_diff,new_time,max_time
1,0,106,1.7298119135756334,1.621727044160824,1.85242496618674,0.5,median,qi,1,1048593.3088824383,1748.9905493773351,1046844.3183330612,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,6.84984432345933,6.536617418088164,7.430045631306806,7.110355694783399,5.705282333539277,6.563573021496267,6.623325781134371,6.291272740793387,6.8316430121760865,7.31238672182128,6.143841619746663,6.7791547570744815,7.090192486088775,0.8725713548611993,489,9,1,1,0,0,0,0,0,0,0,0.2857142857142857,1.9999999999999996,1.9559999999999995,0.1274286451388007,1,91
1,0,106,1.7298119135756334,1.621727044160824,1.85242496618674,0.5,median,qi,2,3205443.451878785,30.041031921074,1083740.9253907043,2121672.48545616,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,7.967245206646416,8.059066868757457,8.317352031403916,7.887867904288408,8.337745785244135,7.285599578507245,9.049929457555049,7.769747904989477,7.170602055882963,7.867934801740259,7.958764460255296,8.108272141424841,8.103836857106183,1.8872177602286904,488,8,1,1,2,0,0,0,0,0,0,0.2857142857142857,1.9999999999999996,1.9519999999999995,0.1127822397713094,2,91
1,0,106,1.7298119135756334,1.621727044160824,1.85242496618674,0.5,median,qi,3,2197548.5051970705,38739.08442789911,240.3282553685921,27983.84879003738,2130585.243723766,0,0,0,0,0,2,1,1,2,0,0,0,0,0,1,7.589737186557594,7.17192288035257,8.383153913828016,8.322030842542492,6.931614606331813,7.3953760643886435,8.212610522931646,8.364652357675746,8.013633585181479,8.187162695007792,7.317577510246761,7.95661430800067,8.09036454264787,2.952475508556839,488,6,2,1,1,2,0,0,0,0,0,0.2857142857142857,1.9999999999999996,1.9519999999999995,0.04752449144316095,3,91
1,0,106,1.7298119135756334,1.621727044160824,1.85242496618674,0.5,median,qi,4,618666.5722833958,37541.097149290064,34487.23980814573,0,13991.924395018688,0,532646.3109309413,0,0,0,1,4,0,1,0,2,0,0,0,1,6.322205956461032,7.119846357529927,6.601449169243684,5.939164956658699,6.782107795265603,6.461163022686303,6.61995497349583,5.950448716561699,5.397011532130725,6.569978309051107,7.222262123138736,6.594590006466015,6.664425820987351,3.9658799178714985,487,5,1,4,0,1,0,2,0,0,0,0.2857142857142857,1.9999999999999996,1.9479999999999995,0.03412008212850148,4,91
1,0,106,1.7298119135756334,1.621727044160824,1.85242496618674,0.5,median,qi,5,604761.4926756608,124.33910896846751,300569.10544968984,0,34246.91155277714,0,3497.9810987546707,266323.1554654706,0,0,2,2,0,3,0,1,2,0,0,1,6.29947363766275,6.464227523570431,5.661177533433731,6.084367760698477,6.498538715388728,5.887933076876738,6.301915862431844,5.133617578797963,6.137648321817593,5.176897350616263,6.805193725752366,6.142229097529963,6.1226372422052115,4.962132557658146,485,5,2,2,0,3,0,1,2,0,0,0.2857142857142857,1.9999999999999996,1.9399999999999995,0.03786744234185413,5,91
1,0,106,1.7298119135756334,1.621727044160824,1.85242496618674,0.5,median,qi,6,1208211.7326286235,558.8083684515738,906329.0068791992,0,0,167287.84437354887,0,0,134036.07300742393,0,2,3,0,0,4,0,0,3,0,1,6.991536122832825,6.581301930773817,6.704903415714382,6.528481374144106,6.787771833197938,6.957115655593593,7.131216513860455,7.397658843937432,6.863912066581238,6.323850442623715,6.7096778448795105,6.843478269676618,6.607656590264762,5.861466726193056,483,5,2,3,0,0,4,0,0,3,0,0.2857142857142857,1.9999999999999996,1.9319999999999995,0.13853327380694402,6,91
1,0,106,1.7298119135756334,1.621727044160824,1.85242496618674,0.5,median,qi,7,2235212.644051505,57021.81090147994,240.3282553685921,1885140.6094917909,47.70591008665824,150164.38859716032,8561.727888194282,0,134036.07300742393,0,3,1,3,1,1,3,0,3,0,1,7.60673112961641,7.850445655830653,6.9944248221672325,7.51817914889814,8.268860444705046,7.022899966551511,7.253778066982597,7.356075801015734,7.637191743269785,8.248118732705256,7.709441527303921,7.678970242320906,7.513641218392098,6.940754964258725,478,7,3,1,3,1,1,3,0,3,0,0.2857142857142857,1.9999999999999996,1.9119999999999997,0.0592450357412746,7,91
1,1,106,1.4042444821325026,1.2726750783077811,1.5236565858915827,0.5,median,qi,8,2173158.925397393,343.07777015703283,0,977665.3934812888,906040.9727137438,150188.24155220363,3336.921617548124,13.613844566850863,135570.70441788455,0,3,0,3,1,2,3,1,4,0,1,7.578576598324355,7.947738950888964,7.3418762801046995,7.779582488067525,7.227960763700896,7.574422091216552,7.8925851748029805,7.323133315348177,7.166830783814916,7.923974550411211,8.161307573423729,7.689037997471102,7.720765209547744,7.963012584569659,475,8,3,0,3,1,2,3,1,4,0,0.2857142857142857,1.9999999999999996,1.8999999999999997,0.03698741543034067,8,91
1,1,106,1.4042444821325026,1.2726750783077811,1.5236565858915827,0.5,median,qi,9,1610734.6094196795,603.1342864890852,347.6625173955151,907482.5776051292,35582.32507049039,453044.3393119152,77538.2509196404,558.8083684515738,135577.511340168,0,2,1,2,1,2,3,2,5,0,1,7.279085117399665,7.566975793226412,6.968901778787603,6.913211030839862,6.9887779652793975,7.343512818198368,8.019192097442517,6.67140309682216,8.193950359817682,6.795553783470511,8.397246537153116,7.570868760662533,7.195889769233679,8.978007166967847,473,9,2,1,2,1,2,3,2,5,0,0.2857142857142857,1.9999999999999996,1.8919999999999997,0.0219928330321526,9,91
1,1,106,1.4042444821325026,1.2726750783077811,1.5236565858915827,0.5,median,qi,10,1377913.822490543,4646.351148310921,45832.53281597873,917132.7261889544,0,0,235405.82444605848,39303.85603511152,135592.53185612854,0,3,2,4,0,0,2,5,6,0,1,7.1229653958546315,6.970271202276454,7.144023332426749,7.538151979845469,6.622429305341922,7.05002758162413,7.6646803508962735,7.111686081681021,6.408007287963881,6.450068553344577,7.274097933939058,7.102815654268766,7.246458535531221,9.980173488921936,469,9,3,2,4,0,0,2,5,6,0,0.2857142857142857,1.9999999999999996,1.8759999999999992,0.01982651107806354,10,91
1,1,106,1.4042444821325026,1.2726750783077811,1.5236565858915827,0.5,median,qi,11,1275673.3208396134,1167.0829843741967,47182.69333186778,986855.9524305732,959.0355497890072,0,8895.581267622594,37541.097149290064,193042.2841585445,29.593967551908804,4,2,6,1,0,1,1,10,1,1,7.045868897317893,7.801759481543318,6.5904080730416705,6.441827504165661,6.711779593941197,6.9639134189498595,6.639246768985847,7.396488547532747,7.172937468820186,7.562701591975759,6.524615596202379,7.088869581273896,7.144283646651307,10.944977587973357,464,10,4,2,6,1,0,1,1,10,1,0.2857142857142857,1.9999999999999996,1.8559999999999997,0.05502241202664315,11,91
1,1,106,1.4042444821325026,1.2726750783077811,1.5236565858915827,0.5,median,qi,12,1290820.6075959606,20935.22312996353,75294.86016420205,929734.5509824164,33610.32536484207,14955.430619983728,0,4447.790633811297,211812.8327331895,29.593967551908804,2,5,4,3,2,0,1,11,1,1,7.057672909372368,7.252594527578084,7.136687295574405,6.533680702968497,7.530265386058909,7.9394489107648285,6.248234484760574,6.763931896577469,5.587786061704376,6.651784679540841,6.5659017526244625,7.017618972396577,7.020174362999175,11.973717569460176,461,10,2,5,4,3,2,0,1,11,1,0.2857142857142857,1.9999999999999996,1.8439999999999996,0.02628243053982437,12,91
1,1,106,1.4042444821325026,1.2726750783077811,1.5236565858915827,0.5,median,qi,13,887979.2617405038,53282.43271721956,1413.0917771426748,95956.39900843942,491914.0130637952,31107.2442688125,239.7588874472517,0,214036.7280500952,29.593967551908804,4,1,3,7,3,1,0,12,1,1,6.683587873165807,6.372967582894906,6.356295551206398,7.404166726587948,6.9004389479383885,7.0648811293749665,6.628760023421687,6.380223902456413,6.684795777637545,7.584450612474894,7.6864471633829,7.026454075133707,6.840445714778867,12.951581208660407,458,10,4,1,3,7,3,1,0,12,1,0.2857142857142857,1.9999999999999996,1.8319999999999996,0.04841879133959281,13,91
1,1,106,1.4042444821325026,1.2726750783077811,1.5236565858915827,0.5,median,qi,14,1089024.591050008,27652.55933258312,466556.1697239181,121387.68993517075,15974.38265050034,226649.04435691523,14958.86446165479,0,215816.2866217137,29.593967551908804,5,2,3,4,3,5,0,13,1,1,6.887677188333319,5.780327244744569,7.771320823019642,6.379753455680994,7.39025679717184,7.443392728698636,7.1081218737918075,7.435997295833466,7.1425099739642866,7.773448168523022,5.852391446404578,7.209415965663634,6.998585476562244,13.99877238253632,452,12,5,2,3,4,3,5,0,13,1,0.2857142857142857,1.9999999999999996,1.8079999999999996,0.00122761746368027,14,91
1,2,106,1.4224827895954724,1.294941326184652,1.5628446481152154,0.5,median,qi,15,1807642.2681164476,8238.345950659625,252564.81679671997,1054500.0293830072,154862.7488354402,1346.2735193111553,115167.53422376938,4136.744432774622,215816.2866217137,1009.4883530517976,5,4,5,2,3,3,4,13,1,1,7.394418145162252,7.956883604233806,7.752771883170855,7.600405501321009,7.1993588131354125,6.932814668747336,8.06991513506655,7.270663306622104,6.852058144605271,6.667072460261057,8.922289329603181,7.758317070882525,7.780746513836438,14.999316996125591,447,12,5,4,5,2,3,3,4,13,1,0.2857142857142857,1.9999999999999996,1.7879999999999996,6.830038744070066e-4,15,91
1,2,106,1.4224827895954724,1.294941326184652,1.5628446481152154,0.5,median,qi,16,1415022.1434126117,6053.740603479913,88038.34356543257,200571.3759131291,787757.5349093191,22742.4351492916,124486.44504134671,646.5921011635246,149849.28385793747,34876.392271511286,5,4,4,4,1,8,3,14,2,1,7.149539943351915,7.127073138844299,7.604627058099528,6.959001917797455,7.337725089239239,7.231710862565893,6.490235201085133,7.069589086690291,7.501956431790697,6.726712787064097,7.0188646463082645,7.156403827377286,7.268983442665727,15.99030247067739,441,13,5,4,4,4,1,8,3,14,2,0.2857142857142857,1.9999999999999996,1.7639999999999996,0.00969752932260981,16,91
1,2,106,1.4224827895954724,1.294941326184652,1.5628446481152154,0.5,median,qi,17,1149483.9338102846,4861.099158180542,207426.63800393936,29783.48370361298,539606.9869968281,122812.19756499132,13655.579085147738,80355.56648714261,149743.278472243,1239.1043381987545,7,5,3,4,2,4,6,15,3,1,6.941707851771167,6.933612720221694,7.133800530684339,7.146408771596634,7.063790314014414,7.519120445319803,7.12390014807489,6.62881872640363,7.107196026768273,6.316468022109076,6.714511222214306,7.017296738325155,7.075911871881471,16.993455266449892,436,13,7,5,3,4,2,4,6,15,3,0.2857142857142857,1.9999999999999996,1.7439999999999996,0.00654473355010765,17,91
1,2,106,1.4224827895954724,1.294941326184652,1.5628446481152154,0.5,median,qi,18,1452618.8721153731,4858.3102431555635,615494.6913488761,344007.0618972377,67005.8392027157,157801.0860356375,2085.4849674139573,83095.39034639533,177028.5002746003,1242.5077993404673,4,7,4,3,4,2,5,20,4,1,7.1757628093859065,7.647680914728556,8.016850849645616,8.02019945248793,6.4626341381946375,7.147502097122661,7.292512726930165,7.6259801271860255,7.663926545874093,7.509406843337994,7.254543087117883,7.548063363762173,7.909511391538694,17.96451435989043,424,21,4,7,4,3,4,2,5,20,4,0.2857142857142857,1.9999999999999996,1.6959999999999995,0.03548564010957023,18,91
1,2,106,1.4224827895954724,1.294941326184652,1.5628446481152154,0.5,median,qi,19,1761681.922282665,27499.378792328636,280838.00950079266,400539.1983623373,604761.4694035101,186768.6223728935,2105.7220812344676,78371.40906862402,179145.99995739077,1652.112743553714,3,7,7,4,5,2,5,21,6,1,7.368663753704009,7.779274351253053,7.05079552672952,8.161957970424995,8.257878397441734,6.303983429586683,7.965641384333535,6.871566939070896,6.946993813504641,6.723278909885194,7.835358117636638,7.585724754045042,7.762079595350251,18.9982799515855,420,18,3,7,7,4,5,2,5,21,6,0.2857142857142857,1.9999999999999996,1.6799999999999995,0.00172004841450146,19,91
1,2,106,1.4224827895954724,1.294941326184652,1.5628446481152154,0.5,median,qi,20,1569781.034107261,89762.19035118997,141808.22860977275,409194.4883134736,616415.3569262777,295.7354872739899,23492.434819563492,120413.97972965801,149688.2639621057,18710.355907946163,8,5,5,6,2,3,5,24,8,1,7.253330904236371,7.550281564845125,7.022508539056088,7.087877003894988,7.320554734703209,7.4257537852860995,7.239375918171582,7.677956097176552,6.768040951804915,6.235829135001918,7.4047450421535475,7.243331729816688,7.24903445633533,19.989985021433743,412,20,8,5,5,6,2,3,5,24,8,0.2857142857142857,1.9999999999999996,1.6479999999999997,0.01001497856625377,20,91
1,2,106,1.4224827895954724,1.294941326184652,1.5628446481152154,0.5,median,qi,21,1980855.096310452,201924.63948382257,64014.61332406654,650871.3050583958,784240.0468173496,10500.177538481925,21534.580481966022,37398.16350346857,191557.96669273463,18813.603410165404,6,5,7,6,3,3,5,23,11,1,7.485923381626579,7.945412067430688,8.20206450089741,6.343305613980346,7.868722881205511,6.533445658833815,7.307273954374453,7.888774526114798,6.600157707305113,8.496596878872836,6.5078482703903395,7.640299949480834,7.760714676827487,20.98731707514368,406,22,6,5,7,6,3,3,5,23,11,0.2857142857142857,1.9999999999999996,1.6239999999999997,0.01268292485632116,21,91
1,3,106,1.552802126392832,1.412899218131798,1.6909462780011413,0.5,median,qi,22,3068143.9097779933,6609.479761998257,1789877.3136710173,339111.40159115597,570506.3311439864,92682.38889828224,51797.6592408832,31920.637574569064,134239.74957908594,51398.94831701338,4,12,7,1,4,5,5,24,11,1,7.923467552436534,8.314535702802068,7.598119375781351,9.172298347353616,8.401035890891025,7.5178824758664256,7.350060484377351,7.6896670844409245,7.76223238161356,8.42645429624262,8.100235907171218,8.18729664903889,8.563055631524067,21.97076630171799,402,20,4,12,7,1,4,5,5,24,11,0.2857142857142857,1.9999999999999996,1.6079999999999997,0.02923369828200961,22,91
1,3,106,1.552802126392832,1.412899218131798,1.6909462780011413,0.5,median,qi,23,2864702.7286151703,54593.484729462,1506622.5140382298,641911.6217605522,2855.4442582981405,441120.5378995826,43159.05913292842,5211.59818595905,149742.2805308118,19486.18807934624,5,10,8,3,4,4,5,24,14,1,7.854859348461945,7.89214184014454,7.751168976660963,8.188392431844692,7.82957649774081,8.516861509111745,7.596149106665133,8.279069505323617,7.185458977284695,8.263421149074446,8.080071605333156,8.02196333965164,7.960834219524969,22.97337596413224,394,23,5,10,8,3,4,4,5,24,14,0.2857142857142857,1.9999999999999996,1.5759999999999996,0.02662403586776207,23,91
1,3,106,1.552802126392832,1.412899218131798,1.6909462780011413,0.5,median,qi,24,4311782.730428417,360.7221196129357,762035.536467745,2846112.900023535,380995.63555931306,77.8750563055917,74212.59295641733,80156.2984196968,155662.9599810954,12168.209844695286,4,8,7,10,1,4,7,27,13,1,8.263746208469604,7.269070360537917,8.067342243748612,8.534409876451454,8.110838498586117,8.571564633120941,8.082684322180468,8.757131140267612,8.607824222542632,7.931752066680982,8.593521643736853,8.3325342307572,8.08236727492176,23.95582113824891,383,28,4,8,7,10,1,4,7,27,13,0.2857142857142857,1.9999999999999996,1.5319999999999996,0.04417886175108876,24,91
1,3,106,1.552802126392832,1.412899218131798,1.6909462780011413,0.5,median,qi,25,2783863.6112007885,608.1301087100659,411051.8521434382,72975.74854119752,2039065.1564034808,53347.25996074042,284.5706076409895,19554.84999622846,145171.62978201627,41804.41365733633,6,7,5,11,6,3,3,31,15,1,7.826234514366821,8.136147388314175,7.666238080092567,7.819534752793866,8.273071365579577,8.372068992134501,9.001511677261373,8.1140446586265,7.86187484049211,7.820593898741622,7.310524150563127,8.14093301624591,7.893511715872483,24.995363863037863,374,29,6,7,5,11,6,3,3,31,15,0.2857142857142857,1.9999999999999996,1.4959999999999998,0.00463613696213371,25,91
1,3,106,1.552802126392832,1.412899218131798,1.6909462780011413,0.5,median,qi,26,1865679.895592416,2552.8584652033546,418814.4410192469,37039.6412590912,386326.84551478154,749725.5100336748,71119.59024994916,17111.356742076274,135134.74574769317,47854.90656070009,6,5,4,10,10,4,3,29,19,1,7.426020305263394,7.397955935498894,7.286463653775115,7.681074516739858,6.902371230732747,7.579322736020211,8.649285993113374,8.438441327972479,8.520896484902984,7.7358589333682914,6.2405088645826545,7.877017240647892,7.469271700489912,25.994728092563328,369,30,6,5,4,10,10,4,3,29,19,0.2857142857142857,1.9999999999999996,1.4759999999999998,0.00527190743667205,26,91
1,3,106,1.552802126392832,1.412899218131798,1.6909462780011413,0.5,median,qi,27,1669053.4037973431,5608.241775366541,398973.6848607849,7179.818501085307,245505.9990226834,767574.637869968,16900.17644704174,44242.88973140022,126402.94975026068,56665.00583875285,8,6,2,6,11,5,5,30,22,1,7.314651404974031,7.236753651621366,7.561745570607944,7.232463489089197,8.300320098086107,7.259572023732602,7.231299765231893,6.333474809361511,6.735797605323292,6.67403203399193,7.15236325106177,7.313157350506687,7.355939699255103,26.954916970391956,358,35,8,6,2,6,11,5,5,30,22,0.2857142857142857,1.9999999999999996,1.4319999999999995,0.045083029608044,27,91
1,3,106,1.552802126392832,1.412899218131798,1.6909462780011413,0.5,median,qi,28,1083798.953036087,19801.17763187506,440309.04360386217,31522.72777866684,247436.71519726564,75489.66201383832,7732.800753633168,7269.88159298271,170721.43670856522,83515.5077553981,6,9,5,5,6,6,5,34,26,1,6.882867181461622,6.147490989511985,6.794201940326818,7.093214503088878,6.691051128317441,6.42071079489798,6.361033461930678,6.300406716142828,7.473711213507788,6.8207365182735975,6.410717806006752,6.732608323928825,6.750700039447161,27.998823745716745,343,42,6,9,5,5,6,6,5,34,26,0.2857142857142857,1.9999999999999996,1.372,0.00117625428325496,28,91
1,4,106,1.388353519211468,1.288342225328067,1.5133967516900342,0.5,median,qi,29,2462932.8647507746,747276.0105322758,571743.9690030604,599791.308170814,238084.11362870567,31061.558842578354,5828.545776079818,20400.655676682967,157759.63113384537,90987.07198673136,7,9,5,7,4,5,7,34,33,1,7.703747624580368,7.464672597026057,7.45076889352324,7.503624252591546,8.530820275717863,8.500204501439965,6.717280157543032,7.015488017714951,7.440063443776278,7.791618451831253,7.320802625358817,7.733695639037023,7.473273081379426,28.977898785015693,335,41,7,9,5,7,4,5,7,34,33,0.2857142857142857,1.9999999999999996,1.34,0.02210121498430695,29,91
1,4,106,1.388353519211468,1.288342225328067,1.5133967516900342,0.5,median,qi,30,7479930.586600153,1093.919568274334,6667858.763407928,267850.08242581546,153455.26876814457,110774.01098790044,65239.8649881836,5670.171995914145,165319.81327859583,42668.69117939501,4,11,4,5,6,7,5,38,30,1,8.81461827540135,9.0235890555012,9.486137687986554,8.129514336627619,9.570724622376664,8.83712357446229,9.071954092120365,8.898458242636233,8.086304269745971,9.661005172637706,8.337728642041391,9.050635330594126,9.02262265768623,29.995375779540815,323,48,4,11,4,5,6,7,5,38,30,0.2857142857142857,1.9999999999999996,1.2919999999999998,0.00462422045918486,30,91
1,4,106,1.388353519211468,1.288342225328067,1.5133967516900342,0.5,median,qi,31,8190544.620215707,64020.27982204239,6680582.125861656,553522.6762931097,528069.9153921889,23018.23659853153,133941.7939750605,9907.25956610666,144474.86742916043,53007.46527785053,13,10,5,5,5,9,4,37,33,1,8.905375157173218,9.58471493293774,8.798085452899784,9.399294290900658,8.946858023966175,8.547810956839276,8.360088365305788,9.697689696753075,9.1918588424198,9.226441515776685,8.706372932245957,9.134052072488943,9.31296387596906,30.989097793906723,315,41,13,10,5,5,5,9,4,37,33,0.2857142857142857,1.9999999999999996,1.2599999999999998,0.0109022060932773,31,91
