date,variable,strat,type,median,mean,sd,lower_95,lower_80,lower_50,upper_50,upper_80,upper_95,real_date
2020-07-04,R,NA,estimate based on partial data,0.5826172719291303,0.5916931196143245,0.13261737861550632,0.3564444303832222,0.4278915255377766,0.49936255387024786,0.6763567002564708,0.7657108581101929,0.8719317238165233,2022-02-07
2020-07-05,R,NA,estimate based on partial data,0.6171416199071432,0.6248219427635648,0.13954106076852008,0.3741341512336267,0.4511833380204555,0.5296950137238217,0.7094115382957186,0.8050570770950138,0.918594089127299,2022-02-14
2020-07-06,R,NA,estimate based on partial data,0.6719864811502783,0.6805382052733693,0.1436318396475741,0.41965862807090326,0.5034403723602379,0.5819901154096954,0.7724743733450018,0.8656910731682272,0.9750972121305223,2022-02-21
2020-07-07,R,NA,estimate based on partial data,0.732137305093854,0.7359642659248801,0.14204205942582945,0.4695106080971829,0.5570444666683397,0.6401887329887246,0.8251374308340943,0.9149115649536128,1.035677581466566,2022-02-28
2020-07-08,R,NA,estimate based on partial data,0.7790120986595661,0.7847371654685428,0.14367891280371903,0.5172048916694162,0.6058939582436831,0.6911477061707669,0.8733675125869853,0.9659801532426674,1.07357976727273,2022-03-07
2020-07-09,R,NA,estimate based on partial data,0.8538635023284151,0.859293747498409,0.14816085421456843,0.5822277520642627,0.6769110873609568,0.7606344979401186,0.9505385812591071,1.0447683952355729,1.176687735977634,2022-03-14
2020-07-10,R,NA,estimate based on partial data,0.9585222458168061,0.9680963760087109,0.15864580363003422,0.679979518513493,0.780102221849548,0.8616005380428109,1.0594625808947022,1.1680592156387266,1.3178325112697442,2022-03-21
2020-07-11,R,NA,estimate based on partial data,1.0916339749511823,1.115719412528857,0.20645729173058375,0.7823772035155292,0.884568185932722,0.9748474264422394,1.2290915095309158,1.3826936082906536,1.583632642351808,2022-03-28
2020-07-12,R,NA,estimate based on partial data,1.196624099663573,1.2292904115741026,0.25821718059518245,0.8174621835050003,0.9324048803310354,1.0474752088629131,1.3748624473554996,1.564569212632978,1.8183474254100438,2022-04-04
2020-07-13,R,NA,estimate based on partial data,1.224599748153131,1.2626472946542113,0.2857349652629032,0.8111585439540638,0.9385132830978069,1.0601940162582784,1.4203887339619732,1.6398982415315286,1.9360114042368441,2022-04-11
2020-07-14,R,NA,estimate based on partial data,1.2234411887315282,1.2671411174704317,0.3152985418458779,0.7734675847166707,0.9069014568585911,1.0470507610832414,1.441164791435673,1.6776904386603204,2.0000415166548584,2022-04-18
2020-07-15,R,NA,estimate based on partial data,1.2190840622971106,1.2859594819320623,0.3838132477008885,0.7319277869802249,0.8718460199663173,1.0219226820601364,1.4814540141751578,1.7807012945083824,2.2006738128272954,2022-04-25
