date,variable,strat,type,median,mean,sd,lower_95,lower_80,lower_50,upper_50,upper_80,upper_95,real_date
2020-07-04,R,NA,estimate based on partial data,0.76884008666696535,0.7833483131751304,0.13871923314632198,0.5564853372237413,0.6210837441213338,0.6833587937345599,0.8648350115806288,0.9691726776444419,1.1035464608342629,2022-02-07
2020-07-05,R,NA,estimate based on partial data,0.7998805812442866,0.8128247495696914,0.13154774329188026,0.5962013486169625,0.6576798505396753,0.7183601261498607,0.88990301176113,0.9878725560241927,1.109579332099451,2022-02-14
2020-07-06,R,NA,estimate based on partial data,0.8405432530604628,0.8513051137752712,0.12236548538046031,0.6458329379041522,0.706776261590785,0.7634183266068252,0.9225241175649741,1.0132550683501684,1.1260632648417983,2022-02-17
2020-07-07,R,NA,estimate based on partial data,0.8905059041615576,0.8990104708851117,0.11118266582446382,0.7071858016674426,0.7661204440247644,0.8192677565939954,0.9658041187112856,1.047601350947787,1.1466118322975967,2022-02-28
2020-07-08,R,NA,estimate based on partial data,0.9497052794139349,0.9560173167577323,0.09822402824986474,0.7818807397285861,0.837035720058058,0.8865355486667782,1.016782462063742,1.0856790271251289,1.1720909090829517,2022-03-04
2020-07-09,R,NA,estimate based on partial data,1.018424428997061,1.0221636019845814,0.08433617507965056,0.8692133768399941,0.9182033294522813,0.9635169805363528,1.0756236866956645,1.1326683335062226,1.2008297516418454,2022-03-14
2020-07-10,R,NA,estimate based on partial data,1.095447061669473,1.096943080920163,0.07178831324512033,0.9624921926545721,1.006998074075593,1.047064910749071,1.1430278965956853,1.189729644070205,1.2444033574906148,2022-03-21
2020-07-11,R,NA,estimate based on partial data,1.1792370956678044,1.1794083906104398,0.06539074616036046,1.0519319160130651,1.096418294669427,1.1356800892579924,1.2220909627589385,1.2630908580524143,1.3109246510228585,2022-03-28
2020-07-12,R,NA,estimate based on partial data,1.269435147424506,1.2681105802850192,0.07115761350337872,1.1222750549456613,1.178369738651324,1.2228013122172272,1.3140633029371327,1.3570790680474691,1.4056687356159956,2022-04-04
2020-07-13,R,NA,estimate based on partial data,1.365341814954479,1.3610917964665872,0.09020328625541332,1.1725453750725514,1.2479198126049151,1.3051356651924269,1.4201845485494111,1.4709446742860912,1.5314354706894773,2022-04-11
2020-07-14,R,NA,estimate based on partial data,1.4618642124406624,1.4559309556726445,0.11865718447503677,1.201246909428614,1.3018912072664213,1.3821741700256795,1.5352337978316326,1.6020502742289047,1.6776756898525513,2022-04-18
2020-07-15,R,NA,estimate based on partial data,1.5568354354738312,1.549836735401734,0.15268595778224078,1.2241307872647735,1.3513697527498807,1.4533924441102752,1.6511474362767942,1.7374514228515912,1.8346371172873288,2022-04-25
2020-07-16,R,NA,estimate based on partial data,1.645811688992492,1.6397847792376752,0.18957415965242486,1.2474678607231773,1.393939300136207,1.5190961209784135,1.7658133865173662,1.8708005915160744,2.009180555166561,2022-05-02
2020-07-17,R,NA,estimate based on partial data,1.7254650957068172,1.7226868740782257,0.22715018587483068,1.257847436840161,1.4295684085048865,1.576636061022917,1.8730851045849883,2.0001701201707673,2.1650594237350362,2022-05-09
2020-07-18,R,NA,estimate based on partial data,1.7952262566817478,1.7955589371526108,0.2633402220347116,1.2704417920822988,1.4576883087448556,1.6233510881409852,1.967985929157789,2.1236160835003637,2.317138140659051,2022-05-16
2020-07-19,R,NA,estimate based on partial data,1.852489952235522,1.8556546012057007,0.29585808450719114,1.2814017300793745,1.4817339063471917,1.6594106269509736,2.0461668629197707,2.2263310770226945,2.453684579298447,2022-05-23
