date,variable,strat,type,median,mean,sd,lower_95,lower_80,lower_50,upper_50,upper_80,upper_95,real_date
2020-07-04,R,NA,estimate based on partial data,0.6648410247834349,0.6789714124614402,0.1609067323106836,0.40833263667884573,0.48662852718290045,0.5660880831786665,0.7742520065432927,0.8884194695352053,1.0338919713028514,2022-02-07
2020-07-05,R,NA,estimate based on partial data,0.7576456764676098,0.7721878836815302,0.19051523320256958,0.4513908375006125,0.5459667466346734,0.6389008565868007,0.8829708547254735,1.0122402288102648,1.1930945474012027,2022-02-14
2020-07-06,R,NA,estimate based on partial data,0.8423328257936104,0.8609093551342473,0.20613852791788548,0.5283072435145474,0.6185854573005,0.7196453320489535,0.9803385151480672,1.1173559028737037,1.3179846848853438,2022-02-21
2020-07-07,R,NA,estimate based on partial data,0.9211256838227899,0.9354128926334768,0.20709550322242395,0.5758767543024507,0.686907451167966,0.795120404415768,1.0544685155291924,1.1969735394374126,1.397293513242863,2022-02-28
2020-07-08,R,NA,estimate based on partial data,1.0041394344468708,1.0183493867470401,0.20992765726878737,0.6458567038343113,0.7623357116928955,0.8732434085203996,1.145426293865848,1.2912589338130296,1.479133341095087,2022-03-07
2020-07-09,R,NA,estimate based on partial data,1.1096054974393716,1.1244857788431903,0.22004142934836513,0.7371621225088646,0.8586807033424579,0.9738037443832817,1.2538431702082398,1.413972462694145,1.6142238125147967,2022-03-14
2020-07-10,R,NA,estimate based on partial data,1.231065322123567,1.24870310432421,0.23693738683945248,0.83949762463320865,0.961645634019559,1.0870439977573265,1.3856553267242209,1.551931087039268,1.7836106417432283,2022-03-21
2020-07-11,R,NA,estimate based on partial data,1.3805716644146626,1.4108124311123875,0.26442659095753984,0.9760172197333993,1.107219486845873,1.2311072033200734,1.5579700620386423,1.753491007389981,2.0330982015282766,2022-03-28
2020-07-12,R,NA,estimate based on partial data,1.5264246207219965,1.5655018276963497,0.31166712115736983,1.0630676402668566,1.2091038839497872,1.3512779416796923,1.7359944505078344,1.9672450048271175,2.3080255778681584,2022-04-04
2020-07-13,R,NA,estimate based on partial data,1.6379130217566853,1.6757045788351461,0.3565571911716352,1.1091721116378344,1.2661929863607047,1.4249060857135463,1.8796305731671774,2.1327144753295473,2.4898439001127075,2022-04-11
2020-07-14,R,NA,estimate based on partial data,1.6623246643673661,1.7139310259765668,0.4147740824115765,1.064751900000706,1.2328373324199586,1.4264501605061426,1.9415229562861376,2.247289157940765,2.6532827465138427,2022-04-18
2020-07-15,R,NA,estimate based on partial data,1.6504187120267764,1.7367375564883711,0.5099672575963927,0.9685452467735731,1.1787512592103737,1.383451441905788,2.0070476702322475,2.401742030539693,2.9278684505491697,2022-04-25
