date,variable,strat,type,median,mean,sd,lower_95,lower_80,lower_50,upper_50,upper_80,upper_95,real_date
2020-07-04,R,NA,estimate based on partial data,0.5553166415610491,0.566469362670893,0.1335296963495316,0.34101773949403447,0.40541788524706307,0.4720966755408905,0.6465002190432338,0.7406635483208177,0.8647877038015469,2022-02-07
2020-07-05,R,NA,estimate based on partial data,0.5836300605363753,0.5966046044235208,0.1458184927573518,0.34782159394320444,0.41965246548216517,0.49411826931696534,0.6827496439587077,0.7874099398616814,0.9070877064826413,2022-02-14
2020-07-06,R,NA,estimate based on partial data,0.6399654210035179,0.6527924022366128,0.1520970478939149,0.3933817168008271,0.4707386795744453,0.5460076244718537,0.7470252256940049,0.8470468668867583,0.9855889479164475,2022-02-17
2020-07-07,R,NA,estimate based on partial data,0.6974565301991271,0.7082917084587252,0.15587101883647256,0.4389897564949967,0.5198893317809254,0.5982378345985735,0.8020102042232781,0.9120385113410924,1.0496887139978426,2022-02-28
2020-07-08,R,NA,estimate based on partial data,0.7525477704830447,0.7618339982605652,0.1641293325904882,0.4719315402390063,0.5624255362416469,0.64735100576463,0.8629225039120358,0.9727397085997663,1.1056671512944305,2022-03-04
2020-07-09,R,NA,estimate based on partial data,0.8420136190125601,0.8514252703527647,0.17179305187909846,0.5419986857247292,0.6427081305430651,0.7331796468842009,0.9563639826520859,1.0707076690378505,1.2146153250695881,2022-03-14
2020-07-10,R,NA,estimate based on partial data,0.9989866765530027,1.011186057515663,0.18715328387476501,0.6644592279760958,0.7836334653188762,0.885713395411555,1.1238586123483654,1.248920600974996,1.423947455899626,2022-03-21
2020-07-11,R,NA,estimate based on partial data,1.22218229912216,1.2422044493525577,0.2266656272450118,0.8603595443243306,0.9744771752964895,1.087559460503591,1.3723843162661808,1.529613309491224,1.7500437703072547,2022-03-28
2020-07-12,R,NA,estimate based on partial data,1.4380213865217875,1.4752069890866684,0.271650917496063,1.030483311510572,1.16738347860058,1.2884896625962805,1.6231180843792952,1.8217750650062237,2.1065131326714557,2022-04-04
2020-07-13,R,NA,estimate based on partial data,1.600526952576271,1.6289461670988592,0.29314809763898036,1.1443802893236834,1.285833132480985,1.4273063524340424,1.7929695661470335,2.011210106799985,2.2850359591736393,2022-04-11
2020-07-14,R,NA,estimate based on partial data,1.7392062635020222,1.7666764256631637,0.30384087993245434,1.2619866741446382,1.4045112763781218,1.555931933274655,1.941998858091267,2.1611350143378223,2.442762182578021,2022-04-18
2020-07-15,R,NA,estimate based on partial data,1.9165654211927192,1.948598677528552,0.33643584756483774,1.3826336058538788,1.5515685921244162,1.7179465516833494,2.1448449858347254,2.391822166795056,2.71466400695773,2022-04-25
2020-07-16,R,NA,estimate based on partial data,2.0526814763526535,2.0921991108011997,0.3745151885294866,1.4565429906473306,1.654233383543713,1.8373500726345762,2.306866568111809,2.5789873258883174,2.9228635312097504,2022-05-02
2020-07-17,R,NA,estimate based on partial data,2.0454085011113046,2.0789342039675076,0.3955309388887817,1.3965604157767315,1.6196597338171375,1.8038348237612658,2.3104461163921437,2.5846125890866998,2.95665413918261,2022-05-09
2020-07-18,R,NA,estimate based on partial data,1.9006123070350098,1.9505068634126508,0.4466736458467435,1.2204477597187435,1.4325118257411389,1.6417670434838805,2.2034659449381255,2.5146898597469947,2.983158432303386,2022-05-16
2020-07-19,R,NA,estimate based on partial data,1.822376467333069,1.8853963672735954,0.5553854371830044,1.0100823910434626,1.2536863053158314,1.506122726231974,2.1914755706875066,2.5827867583770425,3.175787369553507,2022-05-23
