date,variable,strat,type,median,mean,sd,lower_95,lower_80,lower_50,upper_50,upper_80,upper_95,real_date
2020-07-04,R,NA,estimate based on partial data,0.8597507136761042,0.8683777244364806,0.15048655181287945,0.597483011813652,0.6820185958402343,0.7658999335326571,0.9614387357849559,1.0600370440794848,1.1880189422448206,2022-02-14
2020-07-05,R,NA,estimate based on partial data,0.9204569414356363,0.9291612846821174,0.17859370360277643,0.6135731349854384,0.7113753808299967,0.8093853361414944,1.0356637827950106,1.152185220796543,1.3097802993551293,2022-02-16
2020-07-06,R,NA,estimate based on partial data,0.9711106957990387,0.9810268723667721,0.18965395317512102,0.642628227262726,0.7488039062111373,0.8552362268837279,1.094875815101358,1.2127896358310815,1.393270165502232,2022-02-28
2020-07-07,R,NA,estimate based on partial data,1.0282771622714546,1.0413529886373347,0.19020632601506013,0.7017700489858105,0.8084746974740069,0.9114581896632366,1.1603870773140217,1.2837119643326393,1.4531443562362865,2022-03-02
2020-07-08,R,NA,estimate based on partial data,1.114510197101637,1.122617737923865,0.1936668525581217,0.7690392030742734,0.8886324591054453,0.9882906385208089,1.238747527237245,1.3620594949282305,1.5338112421692973,2022-03-09
2020-07-09,R,NA,estimate based on partial data,1.2058299548358402,1.2191885228303712,0.20600877268584086,0.853813385568293,0.9732590948570519,1.0793024588216982,1.339698340135628,1.4771758712930203,1.6763680740224665,2022-03-21
2020-07-10,R,NA,estimate based on partial data,1.318892301003137,1.33847586954182,0.21542973735857937,0.9669937124307227,1.0839925218101376,1.19640488171261,1.460350345600295,1.6082881294508815,1.8235314666080717,2022-03-28
2020-07-11,R,NA,estimate based on partial data,1.4246608757811923,1.4461818931342483,0.2336146925327551,1.0581801679751226,1.1747197729743728,1.290918051386318,1.5737847301523118,1.7405383669693162,1.9822659609368585,2022-03-30
2020-07-12,R,NA,estimate based on partial data,1.5059867572484071,1.5284553622188972,0.22869729926800766,1.1277049601706448,1.2612452680818556,1.375546526188012,1.6576331430321196,1.8289851158392567,2.034984414576679,2022-04-11
2020-07-13,R,NA,estimate based on partial data,1.549623859369892,1.5651828397408363,0.22352630574831267,1.1730110189174023,1.3052133992559616,1.4177390993529038,1.688661901994212,1.8410201895090803,2.053006772928808,2022-04-18
2020-07-14,R,NA,estimate based on partial data,1.5814694885007365,1.5932719680159695,0.2181192870963382,1.199621257713556,1.3302388916403631,1.4455272648584965,1.723699656441186,1.8705707321790868,2.064443840012945,2022-04-22
2020-07-15,R,NA,estimate based on partial data,1.6380352036986452,1.6542955751325508,0.22563117920956846,1.2548096724973758,1.3816739958044955,1.503955844297843,1.7898636623270532,1.946417940398728,2.145047195376111,2022-05-02
2020-07-16,R,NA,estimate based on partial data,1.7323077686578567,1.752341536399482,0.25470907940800486,1.306699055613987,1.452773682959306,1.5754670206387251,1.9060688907999142,2.0856789130987483,2.3054107395601813,2022-05-09
2020-07-17,R,NA,estimate based on partial data,1.8173531058055732,1.8441781953258278,0.3146990938010552,1.3215933892443401,1.4735067607990888,1.625065552103439,2.027324961514728,2.242328839219888,2.5439567535279126,2022-05-16
2020-07-18,R,NA,estimate based on partial data,1.8470785966527157,1.8981636989209418,0.40358389572084863,1.2406679691611222,1.4364322444805309,1.6184829724300644,2.1267504919031244,2.4203220340046574,2.8358454522219247,2022-05-22
