name,value
gamma,0.35683439181655185
nu,0.21732232686257016
rho_conc,4.977195763636318
rt_init,0.5446715603650896
sigma_rt,0.1583370439585434
tau,1.4564671359345096
E_init,5.289237099042271
I_init,9.622595221213915
.draw,1
gamma,0.2534776654935961
nu,0.19179894165049105
rho_conc,5.2183962976829825
rt_init,0.5958459345503714
sigma_rt,0.168260760623338
tau,1.3768708117857105
E_init,4.792312287096728
I_init,8.952540674041272
.draw,2
gamma,0.2635112916810756
nu,0.15534273199771878
rho_conc,7.457154747105997
rt_init,0.5732969386562278
sigma_rt,0.17742905071161777
tau,1.6366585109181864
E_init,5.073465221602717
I_init,8.668186713669176
.draw,3
gamma,0.28431517836178705
nu,0.13463785123808197
rho_conc,2.189939059376502
rt_init,0.5867835689675298
sigma_rt,0.14914754100136352
tau,1.523661051057423
E_init,5.149676107827946
I_init,8.218559705218073
.draw,4
gamma,0.26071815840953627
nu,0.16672819603320546
rho_conc,3.0484969462852436
rt_init,0.6248031408751444
sigma_rt,0.1534589022725121
tau,1.6614186588195614
E_init,5.326390666691802
I_init,9.504899750605714
.draw,5
gamma,0.28087098350562395
nu,0.1283147775218127
rho_conc,3.801687842294771
rt_init,0.5310160092839551
sigma_rt,0.17603121384644058
tau,1.6402341101890945
E_init,4.691098526691379
I_init,8.970508716459639
.draw,6
gamma,0.2608183691769975
nu,0.122477461634001
rho_conc,3.899387113737368
rt_init,0.5317476398152177
sigma_rt,0.17634919892917117
tau,1.661848464028384
E_init,4.595575285072363
I_init,9.018315020091752
.draw,7
gamma,0.22863452058171368
nu,0.1806758806980999
rho_conc,2.648469220852437
rt_init,0.6045978034145265
sigma_rt,0.19234586893290545
tau,1.8842828089497548
E_init,5.39905599558231
I_init,8.925068505671465
.draw,8
gamma,0.247712605079437
nu,0.12212574322444546
rho_conc,3.724809620186534
rt_init,0.5543331284348963
sigma_rt,0.18234511733645328
tau,1.240084224361257
E_init,4.978800923696364
I_init,8.785878317639716
.draw,9
gamma,0.2449334425021132
nu,0.1313446957234299
rho_conc,3.2053271720815064
rt_init,0.5968749923389658
sigma_rt,0.17858567584289126
tau,1.428453849733777
E_init,4.959837807771639
I_init,8.413682653443667
.draw,10
gamma,0.23834020773852888
nu,0.13885259632913163
rho_conc,3.8969219475039414
rt_init,0.5606329561583276
sigma_rt,0.17549819646805392
tau,1.602269930818262
E_init,5.197321032374453
I_init,9.382488592288862
.draw,11
gamma,0.28700500620153424
nu,0.14533030241662404
rho_conc,2.8671210400390343
rt_init,0.5892836265058924
sigma_rt,0.1840648759039466
tau,1.4853395713334474
E_init,4.97814037502157
I_init,8.624813692896748
.draw,12
gamma,0.25560649155896
nu,0.128094898375514
rho_conc,2.743538570205478
rt_init,0.585877654997479
sigma_rt,0.1818509006683429
tau,1.9597941456571577
E_init,5.190640695538184
I_init,9.261702925950786
.draw,13
gamma,0.23229692911308344
nu,0.14465448912347506
rho_conc,3.1330988459953426
rt_init,0.5280140442072058
sigma_rt,0.17893680903309428
tau,1.249636983104773
E_init,5.057638392863376
I_init,8.983012425624452
.draw,14
gamma,0.2453205141231651
nu,0.19175885213594507
rho_conc,2.852918660804505
rt_init,0.5560863810260884
sigma_rt,0.17879370096104205
tau,1.5279961910099378
E_init,4.923442214335159
I_init,8.522740602390469
.draw,15
gamma,0.2603777606627959
nu,0.1129697948087857
rho_conc,3.8545650733944
rt_init,0.5719846552232055
sigma_rt,0.1749045029136878
tau,1.500469793532769
E_init,4.792363362860464
I_init,8.958531945936066
.draw,16
gamma,0.26092191524990516
nu,0.11512294294122176
rho_conc,2.9445172292926984
rt_init,0.539389447134905
sigma_rt,0.1721205015152787
tau,1.438010328378588
E_init,4.978593191569391
I_init,8.816144659886472
.draw,17
gamma,0.2488823690387837
nu,0.1411709715455153
rho_conc,1.9037777472063917
rt_init,0.5888764108222776
sigma_rt,0.16559408157460884
tau,1.584322738809014
E_init,5.0178351204106075
I_init,9.493990576010331
.draw,18
gamma,0.25719541752530384
nu,0.1309828335769448
rho_conc,3.9578909955798767
rt_init,0.6553405803653638
sigma_rt,0.15791741619356492
tau,1.2961861507323935
E_init,4.708397387957721
I_init,8.710678836330553
.draw,19
gamma,0.33828901850123777
nu,0.1506269108713069
rho_conc,1.942564606189503
rt_init,0.7153923467702782
sigma_rt,0.16127891742933528
tau,1.5457992505239764
E_init,5.011640982394814
I_init,8.775682479696412
.draw,20
gamma,0.2801649806532443
nu,0.1704964033730055
rho_conc,3.5437868238273444
rt_init,0.46272772836517495
sigma_rt,0.16797778220600668
tau,1.4197772581811423
E_init,5.437635436039853
I_init,8.727180916888287
.draw,21
gamma,0.2532364203452687
nu,0.15224647158697974
rho_conc,3.8702186323507144
rt_init,0.5616277838401057
sigma_rt,0.16205621851885155
tau,1.6133784629170858
E_init,4.929174651571263
I_init,9.68495035549461
.draw,22
gamma,0.28986297521635673
nu,0.15671343322069642
rho_conc,3.74325488616897
rt_init,0.5831104378004112
sigma_rt,0.1679008580576917
tau,1.5983633502063046
E_init,5.314347228645908
I_init,9.89400749983722
.draw,23
gamma,0.2917434963146687
nu,0.20579178804540316
rho_conc,1.89863118012536
rt_init,0.647920876665338
sigma_rt,0.16266271764384116
tau,1.4390688683615145
E_init,5.282425831075271
I_init,9.184250647666977
.draw,24
gamma,0.2732102941120477
nu,0.2132794122582453
rho_conc,1.2685898076188922
rt_init,0.6930105420928724
sigma_rt,0.16413529753058295
tau,1.6700358176396692
E_init,5.356906993693543
I_init,8.839167343601664
.draw,25
gamma,0.30202080805191944
nu,0.10060011340288788
rho_conc,6.734139259348569
rt_init,0.517054908197595
sigma_rt,0.17258465524850727
tau,1.5185050802545546
E_init,4.849209438844171
I_init,9.061641742170435
.draw,26
gamma,0.2366247363169295
nu,0.1654222221677639
rho_conc,1.9167992769130988
rt_init,0.5399725315295524
sigma_rt,0.1602454658960095
tau,1.5006806759628926
E_init,4.994349567075688
I_init,9.431542649098676
.draw,27
gamma,0.23738028838802916
nu,0.10374900307002816
rho_conc,1.3862142505337105
rt_init,0.6160763434016194
sigma_rt,0.1560194381167205
tau,1.7320789009844595
E_init,5.186698774152563
I_init,9.222315190791855
.draw,28
gamma,0.24994702722885995
nu,0.1414156287283572
rho_conc,4.586077685412931
rt_init,0.6120603751577083
sigma_rt,0.15260852721313903
tau,1.580677337811056
E_init,4.85162399287556
I_init,9.496683493343726
.draw,29
gamma,0.2927512364512262
nu,0.14025146903175453
rho_conc,3.7741811092756175
rt_init,0.5569609538450663
sigma_rt,0.15719832119202176
tau,1.5166854763089346
E_init,5.305941077808477
I_init,8.656550173415825
.draw,30
gamma,0.30222613518375874
nu,0.14889161741544216
rho_conc,4.225653538290861
rt_init,0.5633353162024385
sigma_rt,0.155578924642689
tau,1.5008503727658722
E_init,5.249468885105463
I_init,8.600336024089284
.draw,31
gamma,0.25265071537882205
nu,0.14259509910593768
rho_conc,6.141398570466082
rt_init,0.4429624768440359
sigma_rt,0.16149886892770624
tau,1.61421392104821
E_init,5.23507752107763
I_init,9.476420866261282
.draw,32
gamma,0.27143412377655257
nu,0.140891094840701
rho_conc,3.1753097475872116
rt_init,0.5398102560582072
sigma_rt,0.15287125089708725
tau,1.6015068034807889
E_init,4.998039523933179
I_init,8.416736036769802
.draw,33
gamma,0.33489266206536233
nu,0.114149575762235
rho_conc,2.782319919026769
rt_init,0.6527663420956026
sigma_rt,0.15208428243604827
tau,1.550300276623725
E_init,5.22057774689143
I_init,9.530856790809809
.draw,34
gamma,0.3722075127897608
nu,0.12195093950271012
rho_conc,3.057253311535051
rt_init,0.6776030923597361
sigma_rt,0.1611614227654206
tau,1.630256122593775
E_init,5.0732154419212
I_init,9.055294954692174
.draw,35
gamma,0.3099856437776168
nu,0.14011422744243462
rho_conc,3.535451047594823
rt_init,0.5494212951311956
sigma_rt,0.16521918834220667
tau,1.7139478033360964
E_init,5.040873214272781
I_init,9.139575093813091
.draw,36
gamma,0.2362748420272535
nu,0.2118042984000363
rho_conc,5.919939278883473
rt_init,0.5677803407679315
sigma_rt,0.14834752583144192
tau,1.3947256311797458
E_init,5.083639023241489
I_init,9.276997158329545
.draw,37
gamma,0.19641096480377923
nu,0.13459145068074113
rho_conc,4.340409766634473
rt_init,0.5621113572907908
sigma_rt,0.15817525328980914
tau,1.4305478658998274
E_init,5.121505367246782
I_init,9.017377124326975
.draw,38
gamma,0.22789615413330053
nu,0.12843908417630617
rho_conc,6.061127886651059
rt_init,0.6166990556230029
sigma_rt,0.15718095846261534
tau,1.7533209562105885
E_init,4.710112311706176
I_init,8.772178653299493
.draw,39
gamma,0.34070304475028285
nu,0.15397786915866324
rho_conc,2.9212855335332275
rt_init,0.5674543118640484
sigma_rt,0.1482167027549388
tau,1.353272087317034
E_init,5.38181455151674
I_init,9.061399087956003
.draw,40
gamma,0.24756267060685788
nu,0.13601760274424626
rho_conc,3.6027941508807793
rt_init,0.6714112503843074
sigma_rt,0.202898287005051
tau,1.5331325285180015
E_init,4.846097495792995
I_init,9.037935288347796
.draw,41
gamma,0.29991628830064015
nu,0.12160189446165938
rho_conc,4.548664308794086
rt_init,0.5605148672740972
sigma_rt,0.17605275308208612
tau,1.6419150735170274
E_init,4.923645753620657
I_init,9.314105147648164
.draw,42
gamma,0.2974147337846158
nu,0.16657333090951087
rho_conc,3.090740577827954
rt_init,0.5709926025696648
sigma_rt,0.14662404920109265
tau,1.3558380194066415
E_init,5.24184291016004
I_init,8.770424936036594
.draw,43
gamma,0.28662087167591804
nu,0.16463569948565707
rho_conc,2.0141275128623577
rt_init,0.6133832416278284
sigma_rt,0.15070234966487978
tau,1.3014692641603274
E_init,5.210511070217767
I_init,8.673686594015445
.draw,44
gamma,0.23021474282337165
nu,0.13861105613260177
rho_conc,4.48897670746263
rt_init,0.60945375628398335
sigma_rt,0.17141605078032826
tau,1.7853027012946563
E_init,5.14571043102206
I_init,9.066530873912573
.draw,45
gamma,0.269001842454433
nu,0.16098593876835054
rho_conc,3.106276121561806
rt_init,0.5430116022044171
sigma_rt,0.14678183942632117
tau,1.4214197780005446
E_init,4.8766550066680665
I_init,8.805611984722239
.draw,46
gamma,0.25251176288915106
nu,0.1599456036230051
rho_conc,3.041427156525481
rt_init,0.4811752911441472
sigma_rt,0.1929879572992728
tau,1.6030484228639088
E_init,4.643302277155163
I_init,8.804329469045985
.draw,47
gamma,0.2515956938836799
nu,0.13481178869445354
rho_conc,2.763681223980467
rt_init,0.48565505437112527
sigma_rt,0.1848287749981427
tau,1.770434381145061
E_init,4.7367986756782905
I_init,8.662317510100838
.draw,48
gamma,0.3224385402053183
nu,0.140441769756086
rho_conc,3.0917105238236235
rt_init,0.485080055276581
sigma_rt,0.187905379867268
tau,1.5469825454778634
E_init,4.729771837329343
I_init,8.675693749734288
.draw,49
gamma,0.23319445319128257
nu,0.12601080172328777
rho_conc,4.618088022829878
rt_init,0.5859003665987061
sigma_rt,0.1688953135872526
