iteration,chain,rt_params_non_centered[1],rt_params_non_centered[2],rt_params_non_centered[3],rt_params_non_centered[4],rt_params_non_centered[5],rt_params_non_centered[6],rt_params_non_centered[7],rt_params_non_centered[8],rt_params_non_centered[9],rt_params_non_centered[10],rt_params_non_centered[11],rt_params_non_centered[12],rt_params_non_centered[13],rt_params_non_centered[14],I_init_non_centered,E_init_non_centered,gamma_non_centered,nu_non_centered,rho_conc_non_centered,tau_non_centered,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
251,1,1.0856462615945834,0.7820681181570732,1.5614200978838313,1.535170164062098,-0.42910418438368814,1.8535988050529297,0.5193870178532274,-0.28688699958838343,1.3150352121558242,0.11606278268978239,-1.0024377791878467,0.7385798419019703,0.03409871587796984,-1.3131074193993626,-0.5886537467511271,1.8429387584184747,0.4795193303935542,0.6246248846569885,0.6720333055279494,0.15990607355489714,-69.34025394304996,31.0,1.0,0.917235376133336,-69.34025394304996,77.86924193714951,-0.11557074918275134,0.5344200194767836,5.0,0.0,0.13423506446962202,0.13423506446962202
252,1,-0.17339244509024224,1.4212738672956526,3.8689219074944834,0.27910794163873737,0.19099018505317597,1.9340987029316679,0.5726266537578517,-0.04930676505519128,0.7216797691661244,-1.1506740808781604,-1.7905478064958005,-0.4590592080939195,-0.9021234787380183,-1.0486846361071387,0.4178886174918985,0.7688322324020296,-0.2015149240164275,-1.5024920758353522,-0.25338505082610935,-0.24203364101210917,-74.82160812416676,31.0,1.0,0.799667464578372,-74.82160812416676,82.57232747441026,0.42949801973229285,1.0186147356486117,5.0,0.0,0.13423506446962202,0.13423506446962202
253,1,-0.4397225096160554,1.8349889998131828,0.2562158987877283,2.3598772857056765,1.111422097564514,-0.059048520635844925,0.8163592553836502,0.7500025066580643,0.5091716609329818,-0.44294824585660375,-0.6168222183327052,0.5950567630466685,-0.11446950044061456,-1.2802030367250763,0.48199224197809093,0.30117603701313556,0.38502397783400777,1.8598774478405302,0.6774459457644675,-0.042066357010472705,-69.08029425190614,31.0,1.0,1.0,-69.08029425190614,81.3116081494662,-0.2261490994988833,-0.8725071311764623,5.0,0.0,0.13423506446962202,0.13423506446962202
254,1,2.209594767859099,1.742192977658018,1.493794519833994,1.4645570918173128,1.5420682063375302,-0.12378016309452164,0.6152573966886192,-1.5067553445840587,-0.35820841931650965,0.6816312519058547,0.9743422045506611,0.06967733777985574,-0.594845054425524,-0.1747562361015655,0.18971663113626694,-1.7727153245161968,1.0730776937367283,-0.8516764115977791,0.04040570757553963,-0.1867320955174801,-69.35721792157489,31.0,1.0,0.9542317279117818,-69.35721792157489,75.85062507595815,-0.28486372232265467,-0.4357854473331031,5.0,0.0,0.13423506446962202,0.13423506446962202
255,1,1.1118132760885417,2.6268709328589965,0.19926164428347692,1.3472836099993335,0.3625271028694935,1.1104698168119667,0.4648678244359727,-0.8076890377163406,2.4626117840020556,1.0297739863107285,-0.6899548530431954,-0.979285140182405,-1.5803331508601242,-1.493741461390761,-1.1683303986184266,-0.4067748228201078,-0.17456869338661898,-0.8391815453276755,0.08747350420136557,0.06729896454195342,-75.04868342333253,31.0,1.0,0.13118092982523968,-75.04868342333253,84.03889646316539,1.6774184662439353,6.910323810796612,5.0,0.0,0.13423506446962202,0.13423506446962202
256,1,1.0043970927380566,2.356841211427666,1.1127203639015235,1.9430662234541154,1.1255496443090727,0.405199911779484,-0.690182957311806,-1.754498773396552,3.3849050952854753,-0.09146632838579534,-0.06101317708763328,0.6812611747909756,-1.2891210171600718,-0.19128515652099362,-0.28650010369534246,-0.13941932303356291,0.579076321538401,-0.7220516010396866,0.4512382477128267,-0.07054046444495059,-75.00902083587384,31.0,1.0,0.8985285302938251,-75.00902083587384,83.56642720345532,0.1669654982329547,1.054650493112561,5.0,0.0,0.13423506446962202,0.13423506446962202
257,1,-0.09870999974445213,-0.024878041278169387,1.5768127965653533,3.1601745324214687,1.136708673912308,-0.1559118954814433,0.03260130950065132,3.062845105162602,-0.9871024687872492,0.5823785052246276,-0.18673453956384684,-1.5209338391917178,0.7272685267730563,-0.3376497666632559,-0.31775984172138994,0.9460949182445204,-2.1214154100488987,0.2920118585373541,0.5384727268585978,-0.022442214676237415,-74.49815104324045,31.0,1.0,0.7560818573593808,-74.49815104324045,90.33164818825122,-0.2759118344707474,1.1059796024058102,5.0,0.0,0.13423506446962202,0.13423506446962202
258,1,0.8257184816993693,2.662336677447479,1.1185015153685445,0.8230173548423976,0.23033761385261106,1.2240000514180014,0.6520412854243232,-0.6550802884843749,1.4381686544896422,0.09544122236543565,0.9889765777481271,0.580628104417665,-0.7991485485729231,1.3012900052273129,-0.14474036191031436,-1.5462386156369394,-0.7704095576352289,-0.8674104823396869,0.09162693690180743,0.533541405823761,-75.3076824327185,31.0,1.0,0.527017359146454,-75.3076824327185,87.68374326549551,0.6485418876035283,3.1881972906409857,5.0,0.0,0.13423506446962202,0.13423506446962202
259,1,1.027010145155785,0.8260425185679214,0.9238915952299448,2.5073473927868113,0.7735223076776285,0.521480466903889,0.6809502633058416,-1.4191944650700696,0.41022370524002566,-0.4577184524804454,1.6789577413503562,0.4069744686733281,-0.25430950847105804,-1.7436748566631588,0.32928826328731214,1.159038834455068,0.18142570252513152,0.8414750822822907,0.5771810401328488,0.11449182706925826,-69.32918644184062,31.0,1.0,0.8237847263453659,-69.32918644184062,83.7331401695776,0.6040748802964373,1.5093400113157145,5.0,0.0,0.13423506446962202,0.13423506446962202
260,1,1.6241966581194325,1.3374309086148468,2.3390781338160425,2.3781933451998833,0.17538974397728388,-0.992294251334298,1.4756239432321763,-0.7316053228949193,0.33638352442882835,0.7720413873251966,-0.681816681670649,1.585582937922844,-0.25799270382034595,-0.0626730595580812,0.3541773161694472,1.0742583569746367,0.6587240936907109,1.8560095304541315,-0.09447532759332852,-0.0795967154605587,-74.27249338332031,31.0,1.0,0.8116052333042983,-74.27249338332031,81.18279922648159,1.4977299376093072,1.4977299376093072,5.0,0.0,0.13423506446962202,0.13423506446962202
