iteration,chain,rt_params_non_centered[1],rt_params_non_centered[2],rt_params_non_centered[3],rt_params_non_centered[4],rt_params_non_centered[5],rt_params_non_centered[6],rt_params_non_centered[7],rt_params_non_centered[8],rt_params_non_centered[9],rt_params_non_centered[10],rt_params_non_centered[11],rt_params_non_centered[12],rt_params_non_centered[13],rt_params_non_centered[14],rt_params_non_centered[15],rt_params_non_centered[16],rt_params_non_centered[17],I_init_non_centered,E_init_non_centered,gamma_non_centered,nu_non_centered,rho_conc_non_centered,tau_non_centered,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
301,1,0.7587218235470443,0.8949737234001215,1.3389097340448548,1.6226488521069296,2.0602213375937555,0.4210658396788231,-1.0434918701708558,2.2364539385469273,-1.0537924925545663,-0.4077946201003351,0.04920801461031542,-2.2447353411841395,-0.5309157683212922,0.9363501442468928,-1.6313979591175896,-0.13433044775109623,-0.02796277921228015,-0.27826324140737096,-0.06282625472691561,0.22997178625442455,1.330375147887112,2.273667130090461,0.19601273378625333,-165.48993812536267,63.0,1.0,0.9214466773051697,-165.48993812536267,178.66171777081772,-0.9956735503945993,-1.2475868786980016,6.0,0.0,0.07865098941060474,0.07865098941060474
302,1,-0.029686521554629253,0.8888107486849147,1.7826411019070476,2.1875019580755595,1.2434633801175419,0.2475983787895723,-0.25845635510232706,0.871932703713503,-0.9620948349488934,0.633108590859462,-0.5397979574923081,-1.994151195674571,-0.015657810141874035,1.2896853509322175,-1.0050035388945766,-0.4410413171241741,-0.5785225313705319,0.700244727300669,0.6387120306438859,-0.13437122757339603,0.5264465606882868,2.259912900176776,0.259018888051787,-163.20425578694292,63.0,1.0,0.8443559545104543,-163.20425578694292,174.01152175233855,0.1089772358031098,0.4814738954143536,6.0,0.0,0.07865098941060474,0.07865098941060474
303,1,1.6183302190313298,0.9630701291460463,1.929799594526361,0.9424128228252997,1.1779989323658173,-0.4808375714199566,2.1116860392184345,-1.338583760071305,0.7850150125389654,0.7740634623353525,-1.3256371700509586,0.20895146831230385,-0.3638104939914559,-1.8394152310828995,-1.7997323094920372,-0.24406473905100234,1.2585316835301354,-0.5141454471095694,-0.50506740297512,1.3323128569719602,-1.2308453951564073,1.941300369364466,0.08690556282103168,-164.22881867329033,63.0,1.0,0.947872720809116,-164.22881867329033,180.28073007051503,-0.0940451597631693,0.174321506060096,6.0,0.0,0.07865098941060474,0.07865098941060474
304,1,-0.4677026036877082,2.757486245258143,1.5016476779989945,2.169703673848301,1.373754370832313,0.1550496667937762,-0.4849602671873494,0.7218545553567536,-2.1448512727787894,0.5540671969328648,0.025960917231327898,-0.3773729369450035,0.5257446857827127,-1.9465266742731886,0.31322559548619233,0.6243658426318597,-0.5113995070238844,1.252893357841509,0.8605779779456605,-0.10691062809728982,0.8706908241435903,1.845350921661319,0.2520526653685857,-166.16195057707333,63.0,1.0,0.9342576609012909,-166.16195057707333,173.54610039258915,0.07651841657065006,0.16480940672906286,6.0,0.0,0.07865098941060474,0.07865098941060474
305,1,0.3771303722863093,1.3522251578665838,1.7264204316708534,1.4364494394853853,1.82522000279089,0.3134344400603919,0.10518514365666096,0.321341644808425,-1.9640035530971793,0.6475889664847275,0.430992196711997,0.23410958987500013,-0.013498164794765448,-2.5771585775772636,1.4053830540508907,0.3687745878009716,-0.2334173553044332,2.0746454830936782,0.15786076103603025,0.08493252015245606,0.8232852087671132,2.034370143603134,0.27895803013837783,-167.03495001461525,63.0,1.0,0.9169773482107484,-167.03495001461525,175.31576249353878,-0.003060561901662595,0.24680314366293032,6.0,0.0,0.07865098941060474,0.07865098941060474
306,1,-0.8291433818128537,0.9035246661045806,2.0817731179502226,1.2854712120495868,0.07615585106945469,0.34955092567571805,1.8561227722674714,0.8744639804187124,2.63312880803407,-0.10407472007332197,-0.8357196951054231,-2.715268353877094,-0.3428996627451879,1.712493044596485,-3.1553934883984294,-1.3097840306894963,0.16027249742590294,-2.116506002007261,-1.1086429989254012,-0.2891617694975058,-1.0533405216797116,1.8133298592882772,0.09375288431778421,-177.88305278820954,63.0,1.0,0.829382952772669,-177.88305278820954,191.30836354372153,0.08593154763414645,0.6619835744532452,6.0,0.0,0.07865098941060474,0.07865098941060474
307,1,1.8969545345270709,1.3956909592896676,1.4076998351356373,0.9024369731368606,1.6107783309028416,0.7461778323176496,0.24443353354462893,-0.2976603157109299,-2.008628124919313,0.9092208432002891,-0.9767721807947713,0.6938800477538822,1.478083579387051,-0.5063922334316818,-0.08336722048204012,-0.11264945881948629,0.010022328808672515,2.259788383241451,1.1029992500672903,-0.18163709970628553,0.8566528109688252,2.3151750459746867,0.28393253361568366,-169.40539434883488,63.0,1.0,0.9859790258764831,-169.40539434883488,189.8139928311896,0.031546959316528955,0.18637971586790059,6.0,0.0,0.07865098941060474,0.07865098941060474
308,1,0.06109841433021147,1.5050803159188644,2.3752873722636965,1.6235600661375336,1.0421081071792364,-0.1909449357321015,-0.3951190875794942,0.905814929358245,1.426512111759136,-0.037697276185271064,-0.3643540207774733,-0.7360746597623035,0.23614626768961375,-2.0249474946359833,-1.6603913456799435,-0.7082876008397929,0.588646871719836,-1.9385606994023854,-1.0537633004647757,-0.3395084939856088,-1.5147578955121095,1.661259627191289,0.15301979347466813,-165.26317932390944,63.0,1.0,0.9911783450258075,-165.26317932390944,175.29407954654903,-0.019295427739734805,-0.2591190308839373,6.0,0.0,0.07865098941060474,0.07865098941060474
309,1,1.7910533724428832,1.666599994963359,1.1078792681995617,0.5440403227064436,0.7365913571927247,0.8459946225026997,1.2946121752506976,0.318517129775617,-0.8499740528547399,2.193738163101872,-0.8910119279079233,-1.627125638785324,-0.743954095327102,-0.18941599579410034,-0.288083270236701,0.43852666150627356,-1.4850615422341893,1.01587567767301,1.4686651042671082,1.1722854931591238,0.9775182583262685,1.8671239681388878,0.14320923994128282,-166.08028791410842,63.0,1.0,0.9550601040836432,-166.08028791410842,173.97610337614896,-0.5364804609239968,-0.5364804609239968,6.0,0.0,0.07865098941060474,0.07865098941060474
310,1,0.7773718204561643,3.6095928657141716,2.6508369966843386,0.1944118450349403,-0.573704385752581,0.557646486895,-0.10205563775901841,0.7480025093479268,0.015521631023666285,0.6597648877174669,-0.41235153064378083,-1.137443989690041,-1.628874528034102,-0.6302176123356921,-0.8689879658629134,0.540662560119084,-0.3611921583190758,-0.28756280145186797,-1.4768202197762854,1.493039334309654,0.7591647245525805,1.5523678881688971,0.11256956990661937,-166.3667373254736,63.0,1.0,0.23455823577382356,-166.3667373254736,184.92706845454703,1.4133112726155161,6.969232315508037,6.0,0.0,0.07865098941060474,0.07865098941060474
