name,value
gamma,0.2831108403071747
nu,0.16561739779079282
rho_conc,1.1354197651760414
rt_init,0.8475426706566898
sigma_rt,0.1621807281762374
tau,1.64967255884721
E_init,4.776626757213238
I_init,9.135812605602103
.draw,1
gamma,0.3905901724083719
nu,0.1452457012140393
rho_conc,0.6595711549482555
rt_init,1.2963562621196008
sigma_rt,0.15242848833730738
tau,1.4600205999878684
E_init,5.238401269995333
I_init,8.4106250305012
.draw,2
gamma,0.336448702650829
nu,0.16346430571831072
rho_conc,0.9453761380706306
rt_init,1.0361868867305877
sigma_rt,0.1496362317153176
tau,1.3787768278930292
E_init,5.237886988657098
I_init,8.71691868820471
.draw,3
gamma,0.2858796423473113
nu,0.10342923979030642
rho_conc,1.153590588643027
rt_init,1.112380730552618
sigma_rt,0.17131171272983994
tau,1.4285624869921387
E_init,5.387578194766228
I_init,8.492921671973773
.draw,4
gamma,0.2614051624321144
nu,0.15624445487804345
rho_conc,1.1588436581864454
rt_init,1.047380523137746
sigma_rt,0.1576055059060832
tau,1.4537504237955974
E_init,5.288971056674787
I_init,8.609111981302636
.draw,5
gamma,0.32237214509788803
nu,0.14243633991226984
rho_conc,1.1829307787336356
rt_init,1.1087658113532095
sigma_rt,0.16952212503481914
tau,1.454784262975347
E_init,5.181589941643381
I_init,8.84125860706097
.draw,6
gamma,0.22924051852513871
nu,0.1343167309686605
rho_conc,2.154590340931471
rt_init,1.1195162620937105
sigma_rt,0.16568082494059985
tau,1.466242992767909
E_init,4.770390303770738
I_init,9.480406881574378
.draw,7
gamma,0.2963509011062636
nu,0.17341297169664144
rho_conc,1.7442897664206454
rt_init,0.972105058607446
sigma_rt,0.13543653413964513
tau,1.4851368820991768
E_init,5.065493964207115
I_init,9.606393611228365
.draw,8
gamma,0.33291185240941623
nu,0.12692869952127936
rho_conc,1.59029367525389
rt_init,0.9908910092648212
sigma_rt,0.14866054269179702
tau,1.4968868737551304
E_init,5.266175167479619
I_init,10.13594880732072
.draw,9
gamma,0.26549885552689495
nu,0.15042115965254105
rho_conc,2.4285265366934112
rt_init,0.9551806808567458
sigma_rt,0.15946129584874832
tau,1.3824704884933121
E_init,4.897458587128236
I_init,9.194395290143502
.draw,10
gamma,0.2910725876669954
nu,0.11283357581816857
rho_conc,2.7620986287177356
rt_init,0.9839213515479044
sigma_rt,0.12629113289980257
tau,1.3938564806833986
E_init,4.979360860429925
I_init,8.463432204250571
.draw,11
gamma,0.22035517848106564
nu,0.1637556103123449
rho_conc,1.859640366545936
rt_init,1.0987720869787925
sigma_rt,0.16690718568105892
tau,1.4053921972096493
E_init,5.0213930172819135
I_init,8.929786523602738
.draw,12
gamma,0.2609882534276479
nu,0.11939995316045236
rho_conc,1.4301156145136884
rt_init,1.1838357724473405
sigma_rt,0.1506460415962682
tau,1.3954436247641595
E_init,5.128926815355885
I_init,9.192272662454112
.draw,13
gamma,0.20469597167715295
nu,0.13788297073081576
rho_conc,1.7062470107050294
rt_init,1.2478604407769045
sigma_rt,0.16029833303947844
tau,1.5306932009620928
E_init,5.325022013451111
I_init,10.099000596221668
.draw,14
gamma,0.235370598550608
nu,0.17400277338349077
rho_conc,1.935414246050345
rt_init,1.1360773998469411
sigma_rt,0.14333808285991012
tau,1.4886741558965693
E_init,4.745385135332459
I_init,9.678313505546102
.draw,15
gamma,0.24493105182937325
nu,0.1790408051908396
rho_conc,1.757857733457669
rt_init,1.034915131531981
sigma_rt,0.16236436198312026
tau,1.4630661561521363
E_init,4.819095228647153
I_init,9.128450115034717
.draw,16
gamma,0.38280744327118493
nu,0.1267243584858345
rho_conc,1.9300958608879064
rt_init,0.9269014403696156
sigma_rt,0.14225075016513203
tau,1.4316477616232677
E_init,5.078184180231584
I_init,9.05886489683946
.draw,17
gamma,0.2212204113299527
nu,0.17611868120242624
rho_conc,2.9970085979164773
rt_init,1.0268129134809714
sigma_rt,0.15489377732417595
tau,1.6333172417558353
E_init,5.063814090247358
I_init,9.326827019818367
