name,value
gamma,0.2538530778934623
nu,0.1463669943093557
rho_conc,1.4343460242552653
rt_init,1.0597211363815346
sigma_rt,0.13977404623819492
tau,1.5674203595200078
E_init,13.592633288895088
I_init,10.340619829340794
.draw,1
gamma,0.27108060079337304
nu,0.17615155797751944
rho_conc,1.2849639286999224
rt_init,1.0676553759538558
sigma_rt,0.15949186210725563
tau,1.5110712746288766
E_init,10.980527665060054
I_init,9.573003184596084
.draw,2
gamma,0.23811616146004
nu,0.17498719683003705
rho_conc,0.704064050148298
rt_init,1.0058747013240006
sigma_rt,0.17867609814498664
tau,1.3110098981508989
E_init,10.299159636460926
I_init,13.637020314288613
.draw,3
gamma,0.2649427556599633
nu,0.1464583902601565
rho_conc,0.6105113556997448
rt_init,0.9639868855964188
sigma_rt,0.1696192461085743
tau,1.36345495181947
E_init,8.908596019682095
I_init,33.87005318814487
.draw,4
gamma,0.275571441771363
nu,0.14330171644153053
rho_conc,1.1958125746709063
rt_init,1.1443542355504124
sigma_rt,0.1358330342018398
tau,1.3811742444195156
E_init,7.289489191818013
I_init,5.738195470336353
.draw,5
gamma,0.25719137703256595
nu,0.1357565366300621
rho_conc,1.088110624158635
rt_init,1.197996993477103
sigma_rt,0.13526214688827648
tau,1.331738149989132
E_init,7.02683869323318
I_init,7.61657934568275
.draw,6
gamma,0.2728363573433198
nu,0.15584714875013791
rho_conc,0.9883526058930688
rt_init,1.1664380636506817
sigma_rt,0.1568423466905742
tau,1.332234178105037
E_init,8.71604737351606
I_init,9.636058000181826
.draw,7
gamma,0.2955637354326097
nu,0.15332442021824816
rho_conc,0.9808144842968262
rt_init,1.2002530471600483
sigma_rt,0.1641660007747798
tau,1.3021819248321032
E_init,10.071981995815614
I_init,8.108274920617445
.draw,8
gamma,0.2797604060899319
nu,0.13888279360369893
rho_conc,0.7561067435268515
rt_init,1.0202929673800816
sigma_rt,0.1501262854779523
tau,1.3323520396753572
E_init,9.447671828463545
I_init,15.657932229735875
.draw,9
gamma,0.2504342349910891
nu,0.21646410685859677
rho_conc,0.6008628042677381
rt_init,1.0922887170696716
sigma_rt,0.13901648522693677
tau,1.6579240375353277
E_init,8.872855921937823
I_init,25.49481174883639
.draw,10
gamma,0.2634963822652716
nu,0.18715493054678475
rho_conc,0.3285936181761235
rt_init,1.0144157374441645
sigma_rt,0.15812579658593054
tau,1.470555847252579
E_init,14.71753519683766
I_init,24.400516584521
.draw,11
gamma,0.2391700146981695
nu,0.11813063967210329
rho_conc,2.4995570993662883
rt_init,0.980804813687142
sigma_rt,0.12100293755760312
tau,1.4067757871999824
E_init,2.9697783517138685
I_init,7.521211184755088
.draw,12
gamma,0.23865711947864085
nu,0.13105726027553186
rho_conc,4.418064174756499
rt_init,0.9855738906428824
sigma_rt,0.1450588746028338
tau,1.3694839832305392
E_init,4.197796829780639
I_init,2.4494637881751737
.draw,13
gamma,0.21047617655246448
