iteration,chain,rt_params_non_centered[1],rt_params_non_centered[2],rt_params_non_centered[3],rt_params_non_centered[4],rt_params_non_centered[5],rt_params_non_centered[6],rt_params_non_centered[7],rt_params_non_centered[8],rt_params_non_centered[9],rt_params_non_centered[10],rt_params_non_centered[11],rt_params_non_centered[12],rt_params_non_centered[13],rt_params_non_centered[14],rt_params_non_centered[15],rt_params_non_centered[16],rt_params_non_centered[17],I_init_non_centered,E_init_non_centered,gamma_non_centered,nu_non_centered,rho_conc_non_centered,tau_non_centered,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
251,1,-0.813296683061312,-1.2481737328589793,1.8246779564325457,0.6760120519040407,1.5366759925425741,-0.2322364909844356,0.128006956866195,-0.07669365520050991,-1.2787113967451953,1.1642691049325247,0.46630213100970674,-1.5904894044281768,-1.3117999402614473,0.4955976775951631,-0.39145452772634587,-1.7624322645782253,-0.5994855516597443,-0.7656474062356823,-0.6645802904650946,0.7692944339839497,0.04743729809311345,-1.0459063376703017,0.27880134750995533,-93.38412731297699,31.0,1.0,0.9982188871539482,-93.38412731297699,111.76462262546619,-0.18216022096365236,-0.548565042517879,5.0,0.0,0.10055866352333355,0.10055866352333355
252,1,-0.6774091276089872,0.1459130449827143,-1.509783227842927,0.2890610007012257,0.7561161681245877,1.621266377720918,0.2062222714164056,1.0366145705822423,0.8233864373587673,-1.034283382167618,0.8741408445683982,1.4472286144616229,-0.507502167542795,0.5316269880051817,-0.2442517247420783,-0.021443849714681745,1.6679904735330728,-0.004821367485838751,0.9440223725347408,-1.2485659375201934,-1.35105068159267,-0.4569550748515017,0.1363578998420275,-94.66316108318696,31.0,1.0,0.972472644959549,-94.66316108318696,103.65967892397548,0.02823787169587888,-0.6793792469048299,5.0,0.0,0.10055866352333355,0.10055866352333355
253,1,0.824447928696403,0.7599890185432839,-1.7412696652550252,0.7223599233320099,0.27727637071720546,1.3645485883490787,1.4644252387861205,0.5564646261488543,-0.4418045524775989,0.4054010223325377,0.554813992955485,-0.603645239236053,-1.207420441172997,-1.787678726330723,-1.2927215685406768,-0.40393489178672687,1.2911445436015303,-0.3749327437500317,0.9385797237696756,-1.3724829048143756,0.5667495853723659,0.16778930207160866,0.04321721231146159,-91.60046635581104,31.0,1.0,0.9081953835381584,-91.60046635581104,105.02527810564118,-0.3624428813667748,0.7939793367409465,5.0,0.0,0.10055866352333355,0.10055866352333355
254,1,1.2070133178163798,-0.6771637387640216,0.09665277596224109,1.8681737849262707,-0.014904501174914386,0.08487478255275321,-1.4302765522516294,0.09939065279249229,1.4034842849595075,0.3899777493624956,0.028617038526920005,0.5673972390249742,-0.5125233683668823,-0.56946240959638,-0.7237348329227511,-0.9690144329175527,1.5110869183640923,-1.4084237182046195,-0.2769432366601304,0.632439367529859,-0.30415002060225027,-0.19162218735550762,0.10780824470343961,-87.45537551467514,31.0,1.0,0.9959350774257107,-87.45537551467514,99.79462748121738,-0.46947711327790387,-0.486245219375931,5.0,0.0,0.10055866352333355,0.10055866352333355
255,1,-2.63277863898903,0.612661289540081,0.9327352428566089,0.22208722264502856,1.8105923928237166,-0.9276787719473661,0.017499880539955576,-0.3708302087166383,-1.3970126427301297,0.47333831736036164,0.649665845407592,0.15403656751158126,-0.6040806670687773,0.327678860051485,0.5603611580848562,-0.06440046629011104,-0.8126978153870705,1.7124225371360662,0.5634131451947176,0.4061202982274362,0.02690967913008086,-0.538012637431327,0.11953122907130805,-89.7843718081179,31.0,1.0,0.9381012041980896,-89.7843718081179,97.89126040213124,0.08076501699584071,0.1307425440291894,5.0,0.0,0.10055866352333355,0.10055866352333355
256,1,-1.1965565150861248,0.9835279089331451,1.1250270138318625,-0.1689711734387112,0.7573233404123441,-0.634369684692196,-0.04624068236181887,0.8519330271014071,-1.0672131428306588,1.0267218037935029,-0.1814205602293944,-0.16230801813796636,0.17996263546911279,-0.6866146142662626,0.14419457628987076,0.16030695753769164,-1.014794174740724,1.422360254641079,0.03580110016670936,0.9534176538240967,-1.5674511379407894,-0.4225836665098188,0.13553124727428065,-87.0046170015133,31.0,1.0,0.8831098192522431,-87.0046170015133,100.71217887979884,0.05434659814142151,0.3097755518238472,5.0,0.0,0.10055866352333355,0.10055866352333355
257,1,0.28439673198234927,-0.9306041343245182,0.31069258234888514,1.0548500272866033,-0.6618000974817266,2.1298116067545054,0.29602370398520256,-1.187463038755643,0.868334592833721,-1.5212980615760237,0.3558338741230866,0.010361971810445063,-1.2026522471951877,1.1359997003631426,0.7546117784504051,-0.428687637652395,-0.2076296320867323,-0.9532777091164472,-0.2077362383730149,-0.7297083212714481,0.9683799335923631,0.38343840965424586,0.34501707034923124,-90.99614467493814,31.0,1.0,0.7348344017309698,-90.99614467493814,98.14227239392962,0.24928514867606566,1.4590795340731546,5.0,0.0,0.10055866352333355,0.10055866352333355
258,1,-0.008604952949477537,0.5648400618062986,1.3939322929406854,-0.013046362511553637,0.544825428629675,-0.9091229085874366,0.022665320683791797,0.4623107184677744,0.45950174064936944,0.08631679847218804,0.6138563863123272,-0.667025472430914,0.9645926365376772,-1.189774466287278,-0.820013723198396,-0.6128887524286476,0.21399725536686245,1.0960858319707996,-0.22887720583973287,0.22261340549372224,-1.2399425475685577,-0.4208817450102858,0.2294455979894967,-85.59065134333179,31.0,1.0,0.9330330017194121,-85.59065134333179,96.35700403258949,-0.30518443488806213,0.7323076773080999,5.0,0.0,0.10055866352333355,0.10055866352333355
259,1,0.1355752843511314,0.8162669448483073,1.335952674042123,-0.05449341317293382,0.6379515498514021,-1.8850728017037885,0.34128095031674066,0.19223382591968668,0.5540423032691133,0.04346031087875342,0.2834826111968507,-0.5389912861379867,0.9060315375858811,-0.7869162948498238,-0.25634332166167617,-0.8057206581424495,0.13776145870091494,2.044894651476146,-0.4476578972000132,0.9167490949371487,-0.7195184752208982,-0.19038205901120503,0.28656301607225765,-88.87964113113877,31.0,1.0,0.797999744819211,-88.87964113113877,94.10254732180142,-0.06326710394806412,0.9452849426589012,5.0,0.0,0.10055866352333355,0.10055866352333355
260,1,-0.0890105478630201,-0.3981356850615708,-0.3195883493970002,0.36793768121855064,0.11950744944182469,2.381574010824098,0.850382257303543,-0.9761066458582998,-1.2075532061976229,0.26413903857476,0.6094021916369557,0.01154001205606442,-0.41972699060345986,0.40954580022777964,0.016587662928708502,0.5777473487944385,0.12793504951562956,-2.661190193072356,-0.24214586198397067,-0.06019308424077402,0.388537576209884,-0.08993022625398318,0.18032622035119866,-89.59620143051217,31.0,1.0,0.9154848184663795,-89.59620143051217,100.53219980925883,-0.2998832754726948,0.6508541988476821,5.0,0.0,0.10055866352333355,0.10055866352333355
261,1,0.6351446098361424,1.7850078294182723,1.4717978384587036,-0.47097040208183477,0.5037676389179881,0.05181295808631123,-1.393333364900531,-0.15021997264326933,-0.22038700964548077,0.6521437905232743,0.32753729714477503,0.6599548320153709,0.03825974327526645,-1.5571332183104116,0.24871710537948816,0.4014181605497236,-0.5279135310684092,0.9689373339982623,0.7991326271569867,-1.4058393232173272,1.3444938863301508,-0.5786745098894185,0.026349560103226,-88.97412941570502,31.0,1.0,0.9870779151321271,-88.97412941570502,98.20719286125247,0.16279367616117213,-0.19280955440260072,5.0,0.0,0.10055866352333355,0.10055866352333355
