iteration,chain,rt_params_non_centered[1],rt_params_non_centered[2],rt_params_non_centered[3],rt_params_non_centered[4],rt_params_non_centered[5],rt_params_non_centered[6],rt_params_non_centered[7],rt_params_non_centered[8],rt_params_non_centered[9],rt_params_non_centered[10],rt_params_non_centered[11],rt_params_non_centered[12],I_init_non_centered,E_init_non_centered,gamma_non_centered,nu_non_centered,rho_conc_non_centered,tau_non_centered,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
251,1,0.5697108127346378,2.6241026478579994,1.088001731667789,0.5098614556454738,3.209661977109608,1.1087983698732775,0.8082535718377633,0.4616025906303257,-0.4988857070216773,1.1836492957024378,-2.062253427715795,-0.8093528840419403,0.7531811988392223,0.025183132856745616,0.427257898667491,0.5371563612485281,1.2842329190631603,0.5547790359908652,-110.64068740579397,31.0,1.0,0.8761883024217465,-110.64068740579397,120.27123135354296,-0.03137064105983711,0.9825720681932637,5.0,0.0,0.1325039378935397,0.1325039378935397
252,1,0.06675325143423838,4.034609401649271,2.4155802817572374,1.3216079843010684,0.5397941582529302,0.5167525509484808,0.7234091973601685,0.2298926196275582,-0.7063132202233108,1.7354579858140253,-1.9880749990166366,-0.28999834536326197,2.0821768132878695,0.1523964154406209,-0.017142968146762902,-0.1391288649974163,0.9556562078730408,0.26099448170639394,-113.44650861710944,31.0,1.0,0.990910572196803,-113.44650861710944,121.61190599128804,0.002162928865161007,-0.4833908055366578,5.0,0.0,0.1325039378935397,0.1325039378935397
253,1,1.5770566217857276,-0.8511015641925143,2.01511197080881,2.009380722950716,2.0043827469498114,0.9996129556399349,0.4778589584616381,0.10066945465930796,0.5679063348739117,-1.9873001046584577,1.9698311285769503,0.4301244070019301,-2.3445604197012577,-0.17758214151267146,0.8215153654655538,0.7534204576683683,1.3954682819661657,0.28281404184056924,-112.84603235232655,31.0,1.0,0.6260343897526885,-112.84603235232655,122.63844579501523,0.04209970439887911,1.5417415626648676,5.0,0.0,0.1325039378935397,0.1325039378935397
254,1,0.23056211273630164,0.7869935448674799,1.8393496503036835,1.8538389026206443,0.9913647737403499,1.817083641650513,1.0026733446669134,-0.0640173423492257,0.17576640434659024,-0.7649007397834415,1.576204450965061,0.7737060230152216,-1.8635303429220302,0.06408356072967986,0.35728591967388174,0.9204207402206837,1.4732021780108513,0.3952476105251504,-107.25718213639263,31.0,1.0,0.09816533015581413,-107.25718213639263,119.92768133184725,-0.7845582846562138,82.26798686744868,5.0,0.0,0.1325039378935397,0.1325039378935397
255,1,0.5477227890648839,0.2623877382889124,4.2689341615171585,0.6207402656753969,0.27734340124872364,1.3725315008914287,1.3953227644770574,0.2607683057392216,-0.357510638967436,-1.2384474981620779,0.6717741271490294,-0.3881983545510362,0.5362126545125172,1.9099364066129607,-0.9225178677105904,1.4986586013362029,1.074935680635021,0.5193644360388245,-112.58523162007248,31.0,1.0,0.8813247221501846,-112.58523162007248,119.34024153569565,0.2602850384154749,0.5562502064929618,5.0,0.0,0.1325039378935397,0.1325039378935397
256,1,2.5896657440029958,1.3759632887146578,0.641045227384619,3.0626319581953423,1.4704774557130338,0.1413436786640655,0.6773952232190912,-0.26117457674134237,0.24811751521054481,0.8132517318471988,-0.028019519854650662,-1.1853517924576351,-0.1863065393455463,-0.4671753972317435,1.5103712453732696,-0.2934941552947487,0.5757366286024385,0.2097744185290018,-112.32216123234896,31.0,1.0,0.56978809893138,-112.32216123234896,124.13941673176974,0.20771873321426426,2.6837575580415063,5.0,0.0,0.1325039378935397,0.1325039378935397
257,1,0.9873204443679575,-0.4586176654883384,2.7288132342688303,2.0287511404613356,1.3728749634229205,0.4437549466394177,0.6760118669574959,0.35936950716080024,0.13371010782677567,-0.7744987784829888,-0.015055452708924113,-0.4837750647906741,-0.5969259012211522,-0.9472066650201797,-0.25767885124281575,0.5038888638328709,1.6233128167167519,0.3895654028350925,-105.8088299037106,31.0,1.0,1.0,-105.8088299037106,115.38791617040414,-1.9491160008081323,-2.176031414009117,5.0,0.0,0.1325039378935397,0.1325039378935397
258,1,1.41827945161934,2.433022972307671,1.0570418139028546,1.242681095213839,1.4638797300914885,1.5041852248977419,0.7706574210905894,-0.12978222318857063,-0.5112333630965724,0.6943835517712587,0.20739962281405583,0.4828616419007977,0.6412061152484805,0.8936394374219832,0.8180777156567345,-0.5416125851820376,1.4265476975159166,0.3904159172961814,-105.06246553080585,31.0,1.0,0.6160253941054619,-105.06246553080585,114.4174492368611,-0.08387130373668583,1.3145710638879393,5.0,0.0,0.1325039378935397,0.1325039378935397
259,1,0.48553750942707075,0.021035259853493832,2.7790487670801873,2.0290696756831217,1.186987984840397,0.5018742895315609,0.5039166389424871,0.7160979948232896,0.6772108913538274,-0.8748946727005936,-0.16755945488944596,-0.4294749957458636,-0.557077230655445,-0.7985248383737097,-0.31880253331733543,0.5386234178167986,1.7288259080226493,0.3644884892804238,-105.45890735256525,31.0,1.0,0.6205068344628669,-105.45890735256525,114.02129385418225,-0.5070603080788061,2.147526956368168,5.0,0.0,0.1325039378935397,0.1325039378935397
260,1,2.3379316600087026,0.16989807641271684,1.7651030028468362,2.3971288515381866,1.7093307300395986,0.8818061404836169,0.10510007528558493,-0.5575984574515,0.5348764910578317,0.009819868496057566,-0.6468054162072063,-0.1112639877316765,-0.3553279168195392,0.9419967734778274,0.7463997199424108,0.13449863575460413,0.40096375727007966,0.7004700017641862,-109.76255659150895,31.0,1.0,0.46776458754009953,-109.76255659150895,115.49050106005467,1.6626996379654884,3.7847436482921495,5.0,0.0,0.1325039378935397,0.1325039378935397
