iteration,chain,rt_params_non_centered[1],rt_params_non_centered[2],rt_params_non_centered[3],rt_params_non_centered[4],rt_params_non_centered[5],rt_params_non_centered[6],rt_params_non_centered[7],rt_params_non_centered[8],rt_params_non_centered[9],rt_params_non_centered[10],rt_params_non_centered[11],rt_params_non_centered[12],rt_params_non_centered[13],rt_params_non_centered[14],rt_params_non_centered[15],I_init_non_centered,E_init_non_centered,gamma_non_centered,nu_non_centered,rho_conc_non_centered,tau_non_centered,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
301,1,0.5409065652331058,0.8557487304771036,2.5083160016930326,0.8935436383956458,2.382649801473116,-0.7679235020547417,2.1373769656756414,-0.4745470125851017,-0.5349597341981279,-1.1587220632815376,-1.1363306423851223,0.7568190210724036,-0.8431344578404615,0.6151874727655215,-0.23276213150788333,1.3377884894804801,1.1247221470807218,1.7790543390940385,2.097682493894616,1.604866632764978,0.37601373343776845,-170.0175189107793,63.0,1.0,0.956536817774188,-170.0175189107793,183.82637836983525,0.17042351859399218,0.3421160413998052,6.0,0.0,0.11464392142545124,0.11464392142545124
302,1,1.1487962854001437,1.753740361499547,1.6594550544625135,1.1379245583201676,-0.20317323846134938,2.933030963045822,0.8674046427317035,0.7093341232756095,0.09382805975903387,-1.8038714091813466,-0.22553327327313064,-1.7175807524773508,-0.03958755480109598,-1.0843280776874382,0.42161572739219616,-0.10574422279111331,-0.8484977063692064,0.06907398362902728,1.473012572611817,1.6521901320259007,0.31981339674376014,-167.61208387619993,63.0,1.0,0.9888982174374641,-167.61208387619993,179.83620883262878,-0.1686241922364502,-0.4711697026569368,6.0,0.0,0.11464392142545124,0.11464392142545124
303,1,1.679355206114146,1.367957016143399,1.166151632528718,0.6504240428474382,0.1433169395662832,3.2182890645945212,0.7951432472180926,0.4582881501366113,0.27879966071544615,-2.2118962289451454,-0.20558943558385068,-0.22473702545517993,-0.4752510090960173,-0.9411021194438431,-1.4014852111781233,-0.7512990664626169,0.29172294734317394,0.26317650940312276,0.4189436006167756,2.00917394027151,0.49265666998019264,-168.49277836200415,63.0,1.0,0.9914868782575437,-168.49277836200415,177.53821525317522,-0.0047351932505250716,-0.24095567696838316,5.0,0.0,0.11464392142545124,0.11464392142545124
304,1,-0.056992700205614644,1.6004794637676818,3.763383281202053,1.8842969113525498,2.351381405993179,-1.221295427915051,0.3311768368325557,-0.91075946810407,0.5815314545374799,0.9985629915543549,-1.7803621621693044,-1.0428969952772433,-0.2511531773907648,0.843304378683025,-0.7144631972730979,-1.8165920392791695,0.5899181715977109,0.6431124395455781,-0.2962826974237044,0.783873716672517,0.42111602508561585,-170.4016081227503,63.0,1.0,0.9976944442772901,-170.4016081227503,180.49002714286115,-0.03533897795486496,-0.1364830078223349,6.0,0.0,0.11464392142545124,0.11464392142545124
305,1,0.22797499444518124,2.2282852709952303,2.541894566845872,0.3647581627943588,3.6625854940290328,0.48139598269127454,-0.957101683702288,0.24394295892870843,0.06084384419787346,-0.9684076389491676,-0.5389891078107225,-0.6534490160424055,-1.2518495674282182,0.6343340256253706,-1.0318860447499714,1.0916570306358921,1.264718462594915,0.20989526581136803,0.7725989394886263,1.1146486646546345,0.5076718511407742,-168.49360511735924,63.0,1.0,0.8327605247649472,-168.49360511735924,180.7198180718119,-0.030656221267548744,0.5100551598335699,5.0,0.0,0.11464392142545124,0.11464392142545124
306,1,1.6002603661722612,0.6018407167591555,2.009829329223244,3.092406926475051,-0.6855434274267518,1.8992969213545716,0.29919557249356343,-0.6288106689824027,0.5284093648672868,-0.4515087348728131,-0.06655241043384726,0.3641691459578439,-1.511089625746438,-0.14739202465463072,0.6263713038112604,-0.06564379557843215,-1.2754225992669972,0.5821725630276415,-0.5367934275025973,1.3354451371434184,0.49483898176358027,-166.36793544683317,63.0,1.0,0.9982663115425704,-166.36793544683317,178.5469531811649,-0.01895019443324486,-0.049967246260195,6.0,0.0,0.11464392142545124,0.11464392142545124
307,1,1.6183082007007936,0.615609171249716,2.480940386124125,3.3686815595245934,-1.343737557767713,2.2478265465209244,-0.4804733319843386,-0.5351502233026958,0.22811517893545358,-0.10124005744385715,-0.07090188777570522,0.21220091813377417,-1.422352860640562,-0.0090088586366847,0.9356883831021706,0.0406586884046688,-1.6868793281195034,0.21181671835388238,-0.7695905176544018,1.360819390462443,0.5079305153981635,-169.9691675272468,31.0,1.0,0.9976978430103896,-169.9691675272468,177.34947484348825,-0.006935068748589401,-0.03988478970504161,5.0,0.0,0.11464392142545124,0.11464392142545124
308,1,2.486598580474275,1.8995535079471124,1.881277923472777,0.18505592123990072,3.3227096427076512,-0.6266045157617361,0.41115223758882424,0.17653976344000888,0.8284733565935186,-1.0058048637373265,-0.5717139353736224,-1.521021603839076,-0.2133005356875733,0.23896177152965958,-0.12391253141957162,-0.1672114798897708,1.535724204423776,-0.4466808461664191,1.1742979085911647,0.9739818205841276,0.6335472757961695,-171.94856001224107,63.0,1.0,0.7993423056001346,-171.94856001224107,182.14824470286675,-0.07594711959114875,0.8023310001705966,6.0,0.0,0.11464392142545124,0.11464392142545124
309,1,1.9526584647119587,1.031577224721846,2.4394752729545863,2.825876473213712,0.39664316519888526,0.3541854268039758,0.35551638738719077,0.005867679760547654,-1.8033415245017062,0.8923893691258621,0.0674579493942392,-0.2808518326712467,-0.734503536418398,-0.8655263344207696,-0.3352187055590619,-0.4815776290578596,-0.08497657527058892,-0.04595847084917387,-0.78396966907081,1.315015741850674,0.21517930018227327,-166.8729511335127,31.0,1.0,0.8355276575193457,-166.8729511335127,177.23107710045704,-0.2332877743622248,0.5353987444955521,5.0,0.0,0.11464392142545124,0.11464392142545124
310,1,1.7443316868233731,1.770995999775622,2.0613885004172667,2.1314187660383297,1.4299888635636424,-0.9707620261132629,0.16841815466129606,0.8217618528908719,0.3406259051589158,0.45136700150358644,-1.333640941498286,-1.2885117476249752,-0.9617161514737264,-0.931147708592339,0.3143309156141233,-1.3473061874060221,-0.16129744555925785,-0.10237203740673649,-0.420099986893148,1.1648141669353447,0.35659263536511876,-165.98489529503408,31.0,1.0,0.4820855477617234,-165.98489529503408,177.6751189555319,0.5989024146066981,1.8632028400751324,5.0,0.0,0.11464392142545124,0.11464392142545124
