name,value
gamma,0.23043005079756768
nu,0.14349815222348428
rho_conc,3.697721965268493
rt_init,0.8225970470410656
sigma_rt,0.16246525731772993
tau,1.577263769441016
E_init,5.227087577240011
I_init,9.121315438205604
.draw,1
gamma,0.1930485398927869
nu,0.1157037092970832
rho_conc,3.832533349118143
rt_init,0.911608655421046
sigma_rt,0.14391238822258445
tau,1.5503113356330736
E_init,5.234672911620198
I_init,9.156586820927131
.draw,2
gamma,0.2529618451834288
nu,0.2121620642315252
rho_conc,1.6507502123911748
rt_init,0.8855517941506347
sigma_rt,0.15947299432652504
tau,1.5885750882145249
E_init,4.892526188552106
I_init,9.144068502196024
.draw,3
gamma,0.34506638133907436
nu,0.14421243544113574
rho_conc,2.286514927267002
rt_init,0.768987031794666
sigma_rt,0.1484361503748516
tau,1.434064197590605
E_init,4.704677884194095
I_init,9.469167912680934
.draw,4
gamma,0.2492486547038751
nu,0.1362027241475393
rho_conc,1.8550622248303767
rt_init,0.9496922223459237
sigma_rt,0.14846651907725728
tau,1.612579772863329
E_init,4.963932942387838
I_init,9.502000139427166
.draw,5
gamma,0.2835097853659451
nu,0.08707721731809737
rho_conc,3.7497928903537225
rt_init,0.8099504882031751
sigma_rt,0.14015587092691814
tau,1.4721970167789016
E_init,4.7945208409372
I_init,9.252998401621426
.draw,6
gamma,0.26669638691247094
nu,0.1791473647897078
rho_conc,2.050662601071552
rt_init,0.8522531820117334
sigma_rt,0.16549619469134086
tau,1.4291191975063793
E_init,5.033416876183361
I_init,8.9410483566864
.draw,7
gamma,0.2234642353317169
nu,0.14235306909848705
rho_conc,2.5270026766700053
rt_init,0.7660586310322949
sigma_rt,0.14775862939624934
tau,1.5930275859400205
E_init,5.01626624604993
I_init,8.303123674980554
.draw,8
gamma,0.19436989651621697
nu,0.13570031968368676
rho_conc,2.7996120199212244
rt_init,0.6899415754131121
sigma_rt,0.16848015876728994
tau,1.4699936704883043
E_init,5.178491726396183
I_init,9.4679888618006
.draw,9
gamma,0.24774170536397216
nu,0.14304597143916722
rho_conc,2.4201195713359116
rt_init,0.7212753659383908
sigma_rt,0.16014401280267976
tau,1.6116266681779945
E_init,5.455201765071041
I_init,9.38700486899302
