iteration,chain,rt_params_non_centered[1],rt_params_non_centered[2],rt_params_non_centered[3],rt_params_non_centered[4],rt_params_non_centered[5],rt_params_non_centered[6],rt_params_non_centered[7],rt_params_non_centered[8],rt_params_non_centered[9],rt_params_non_centered[10],rt_params_non_centered[11],rt_params_non_centered[12],rt_params_non_centered[13],rt_params_non_centered[14],rt_params_non_centered[15],I_init_non_centered,E_init_non_centered,gamma_non_centered,nu_non_centered,rho_conc_non_centered,tau_non_centered,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
301,1,0.7807602533631458,-1.6541409213754188,2.815038492856655,2.473744457953098,-0.08663652488515661,0.26563949763047773,-1.5236347382256947,-1.255980570053325,0.17896834429113578,0.6249572904860761,-2.322484353614419,-0.032705449299384695,0.5821869719712994,0.13604183620920823,-0.3788104085017064,0.29955127442127166,-0.9140662876298327,0.6218878248215639,0.7391758281457887,0.12700241971996895,0.5005768190353355,-164.52889465731462,63.0,1.0,0.9847320233894225,-164.52889465731462,173.55936653255026,0.013890465178633349,0.030427903511849763,6.0,0.0,0.10432662368463252,0.10432662368463252
302,1,0.16060263033964145,2.5955745376456023,0.7404649640867114,-0.04375669933001558,1.1419106999628812,0.25690928597859997,1.1427230855243644,-0.4277648679390843,-1.5455614834483522,-2.219025760202249,1.043638897320549,-0.991165320952284,-1.7174002826042911,-0.8604510354953431,0.30055583225399674,-1.3545757239208513,0.931568764001962,2.2309897000949204,0.08290834797349264,-0.4161654203804958,0.37845054520143767,-163.8804298253118,63.0,1.0,0.7506711532026853,-163.8804298253118,174.72546383995865,-0.284732191919403,0.8217130607768581,6.0,0.0,0.10432662368463252,0.10432662368463252
303,1,-0.02428067268878581,0.35547520165595625,1.83142773012303,0.9483924860781178,1.6466466508857354,-0.6049457568095185,-1.1646729976062054,-0.4939735679165242,-0.6222504680910874,1.2487027851048549,-1.5424680421421209,-0.3318166690341774,0.7380643387184297,-1.5964899430944464,0.5433756472315799,-0.6391752661322314,0.9296051626731267,1.4849238788533834,0.6737476146355763,-0.056172400976832765,0.32119674952357874,-159.7114117395623,63.0,1.0,0.9450764273219304,-159.7114117395623,173.50801954807486,0.13296787976562996,0.17465255275737945,6.0,0.0,0.10432662368463252,0.10432662368463252
304,1,1.3284948443537186,1.065025208189883,0.8601612482038711,1.6302181157542879,1.4204232486346893,-0.1606708513220355,0.40365810422661197,-1.203947726730884,-0.3907485582460853,-0.23048580752762443,-1.4966937406626426,-1.1631228980008546,-1.562611610671671,0.7828462213208487,-1.0728648781011283,-1.1598301047582937,1.4931611400035567,0.670549867149763,-1.6147871227816295,0.14287932926546595,0.3566686848136412,-160.81164444617988,63.0,1.0,0.9891739436691197,-160.81164444617988,169.9418655380095,-0.03436978700145232,-0.18592218974723096,5.0,0.0,0.10432662368463252,0.10432662368463252
305,1,0.49459818669581346,0.4629230725188239,0.10042586266541656,1.2660091990946951,1.4298932890737155,-0.3908486532868222,1.1009839849096366,-0.041459630723325674,-0.5128529500298701,-0.5078888313969261,-0.24413350069509365,-0.39092408985733706,0.024051158254798116,-0.8943837224168002,-0.15739601305752984,-0.8880680455152824,1.1237161454455704,0.223053161496648,0.4478833463971188,0.1474226615454777,0.3741467163695923,-156.60265765389983,31.0,1.0,0.6492553871479553,-156.60265765389983,168.81217917765144,-0.1948027763422715,1.3725009948026354,5.0,0.0,0.10432662368463252,0.10432662368463252
306,1,1.223481553846702,1.032475150614687,0.5151696759537839,-0.1457545650936597,1.5130707514415294,0.5521237928848813,0.7777995418627337,0.7569222065339588,-1.3429615069298755,-1.4239901538543218,-0.41252275290678275,-1.2895749194816453,-1.1139838444974768,-1.1632681421095639,-1.025693458539173,-0.35590668913713974,0.713480705649748,1.2712284522895134,-0.014749837463905055,0.16799506995683583,0.37485761676076984,-158.097991526362,63.0,1.0,0.970732907799614,-158.097991526362,170.03138037603838,0.08769835238018686,0.12983717706137554,5.0,0.0,0.10432662368463252,0.10432662368463252
307,1,0.9942790209866667,1.128966831626111,1.2754823631146035,0.5283014426368272,0.503486888910443,0.4391666781752871,0.16782776414135808,-1.5068377689782506,-0.22653131345357547,0.43937528874544973,-0.6087997418840736,-0.07194764162452608,0.7184754430098055,-1.5106395331384783,0.2629481427763427,1.0400531601394334,-0.9401957238285099,-0.4334458312496763,-0.3082222754511948,0.7676006084694246,0.3827033419582098,-156.23750948358952,63.0,1.0,0.9956280268108086,-156.23750948358952,163.74962008435773,0.0008086776771278892,-0.2130599672593405,6.0,0.0,0.10432662368463252,0.10432662368463252
308,1,-1.0213214623520244,-0.2829139537537507,0.7853166645321807,1.226110401550387,0.6768080906798662,0.6408908725734714,-0.09201915362779607,0.743241506375,-0.23346876940082187,-1.2287605964060044,-0.27663035824080495,-1.8370099152002408,-0.7751399230306933,1.238145401111833,0.18310814136381026,1.3040860125366802,0.2602749105500691,0.8504165552474684,0.9691536978037603,0.5563474621558807,0.39550694450443286,-158.0356804749635,63.0,1.0,0.8574688938415069,-158.0356804749635,162.06885095209805,0.18670114478487676,0.5163604875450005,6.0,0.0,0.10432662368463252,0.10432662368463252
309,1,-0.08969824248816097,-0.09150731260675117,-0.2848495649494749,1.523261180705162,1.3329390838441002,0.7589904766627236,0.4746487861866481,0.6729486421872856,0.4778774489337095,-1.1638220764773672,-0.8298433622525854,-2.6198130476339863,-0.8025845043623638,-2.024930047265719,-0.831993025625932,2.377276301796495,1.037328238908631,1.4320841479887905,-0.5910981110817618,0.46391870059447426,0.40338753394819077,-164.1664693935415,31.0,1.0,0.9979571656532774,-164.1664693935415,173.83211497172033,-0.2670946485235106,-0.306096840251314,5.0,0.0,0.10432662368463252,0.10432662368463252
310,1,0.6116593942662621,-0.45854761782057313,2.029030609231897,0.9368080651951747,-0.0005550785951945053,0.44368665623812287,-1.0986988284506691,-0.5701856927888991,-0.07202132375281783,0.5611536726954506,-0.723997138061297,0.3442545686691688,0.5073395470727037,-1.3360453068217337,-0.2241824310189378,0.42739026966662674,-0.41442995108041475,0.30074806088646133,0.2579698043612528,0.8872847099391068,0.32387210770789654,-156.14203986082825,31.0,1.0,0.9823438755374525,-156.14203986082825,171.09192321581526,0.03573909536385145,0.051940569767509714,5.0,0.0,0.10432662368463252,0.10432662368463252
