iteration,E,I
1.0,4.470986863515631,7.208777742145451
2.0,4.584505290302792,10.337419120729368
3.0,3.554635377553753,9.435912205340433
4.0,8.891231795788002,10.60901664925727
5.0,4.6253542982567035,8.958561507639057
6.0,2.1403093212113222,6.342592978990749
7.0,3.880685138911372,11.29957068872349
8.0,3.9278619720572574,6.152997191670926
9.0,4.1508108607948015,6.229370169954083
10.0,5.242361606605657,5.965239827509475
11.0,5.963531546563819,9.081997007999481
12.0,5.2378870527455215,8.282934637026484
13.0,4.294351566888647,8.736036865997631
14.0,4.196717875469493,5.610750439325388
15.0,4.263469493207646,9.095638642963007
16.0,6.063431065264751,4.374470461665782
17.0,6.902707883912084,3.9564606824162207
18.0,4.205756470408404,4.002043969097726
19.0,2.0246753364723107,8.219696286953315
20.0,3.610560407498289,3.895841632630651
21.0,4.9793936663901155,4.545386517581727
22.0,4.662866794697567,5.162133487659309
23.0,2.694894268665217,4.04104365081856
24.0,4.816057302723048,6.045202239041
25.0,3.9325877675374232,8.027969417802552
26.0,3.3621845555553582,9.088673801847435
27.0,4.965951337654531,3.899614061149683
28.0,5.878363572566187,7.124879322312613
29.0,4.675875176373751,8.147141410563622
30.0,3.5131283884246014,4.58429507306177
31.0,3.589115228738194,4.615442625472485
32.0,5.276650162790203,7.96994036402805
33.0,6.198256410916071,14.030632808436462
34.0,8.891577810846682,8.328823393552844
35.0,3.827463678257493,6.659141815297888
36.0,6.506434952234979,6.891427023933839
37.0,3.4366652054720395,3.7890077179895054
38.0,3.9878039601912008,6.178759953684551
39.0,6.338364625172799,7.964701943773507
40.0,5.5066905075059775,8.208178149342373
41.0,3.1124957969294416,3.0212556832733815
42.0,6.232159078010135,4.586579305561662
43.0,5.190859295789998,3.7180113998959055
44.0,3.8734655738075485,6.362540061033492
45.0,4.425449993171111,6.012182407623479
46.0,7.148075528111967,2.6428398713213976
47.0,4.025223467568523,7.218728859066594
48.0,4.21664045636063,6.735899356540002
49.0,5.675353780240951,4.211191237084558
50.0,4.106372146289424,7.161441871117997
51.0,3.144892796957437,8.3596162523455
52.0,4.725407823047056,10.37079255982901
53.0,4.325373070310766,10.014561946616775
54.0,7.760858742019656,6.575855387965555
55.0,3.3970674242100407,3.93582181110862
56.0,4.604094325500655,4.960635010859005
57.0,4.653933636752348,9.513926689155339
58.0,2.645403415820533,10.959412049171132
59.0,5.324940717829868,11.00661865057435
60.0,4.124962800459056,5.625047050581684
61.0,4.92029399404668,8.403720806451963
62.0,7.717847430783696,4.227925658923114
63.0,4.0498542385447385,7.5446455165235875
64.0,5.0245448329916425,4.784647107877013
65.0,5.872908657833331,5.867818456580457
66.0,10.941761956220637,4.227207535040001
67.0,2.888259207665843,4.513662275104295
68.0,3.6459053906059227,5.392437215298189
69.0,6.368607476410377,5.786244080344996
70.0,3.6827109731372296,4.01410715916597
71.0,5.532997322313225,4.4674918254978415
72.0,5.245360575931509,4.671803586504236
73.0,6.751555310297321,5.289838120400307
74.0,3.3836092681385677,10.141230856052477
75.0,3.97889011623095,4.822308876952
76.0,4.6932412209490115,4.6551292446020165
77.0,3.6074933289537894,6.799323486836469
78.0,3.13029190912001,8.059361662939068
79.0,5.7309502712187586,8.37743326318332
80.0,8.47798842554755,5.584617540261938
81.0,5.51213789477992,8.803309194966985
82.0,8.840413994999247,4.4495626529410925
83.0,3.4914580095291115,4.543148505280999
84.0,6.567667063578075,6.935983967552019
85.0,2.853680370176006,5.734261069235083
86.0,5.9228449484476045,6.029035350048716
87.0,2.6341288759871473,6.5651817272876976
88.0,4.789113884947612,3.8014244016087324
89.0,5.372711620857846,5.435051158012043
90.0,5.253020458750339,7.618743858131078
91.0,7.113231445123372,5.2312154824516846
92.0,3.467701334692568,7.961582698084688
93.0,4.548314368076246,5.168921334526148
94.0,9.029991672674573,4.664866013531979
95.0,6.665147578143349,3.5120789367860987
96.0,5.586393196119997,4.4855337738848
97.0,5.794083921861083,4.015802410091251
98.0,10.546481643879687,2.87855661439547
99.0,3.229814438462539,7.322043068596635
100.0,5.016742218236975,6.417060183304884
101.0,7.8039761617538295,5.1737094042145175
102.0,6.60071860871991,8.038544141298102
103.0,5.1013001526698725,5.974454316760453
104.0,3.0674874069624125,7.192145301263772
105.0,8.234773732099141,4.335853339385776
106.0,5.179781400104343,5.979291522035418
107.0,6.027654632856953,5.010089285967694
108.0,6.4998538328171644,7.0523237847345275
109.0,4.531259229085938,6.283015534357353
110.0,3.7368937073440014,11.116490029429755
111.0,2.873238090435787,8.283527977426333
112.0,5.061536537875228,4.743934783976744
113.0,8.465667323724643,6.0091963959791554
114.0,4.077633479314339,3.303784587276345
115.0,5.933521956897175,6.184362125391903
116.0,2.9726646575101703,10.365621015703386
117.0,7.026935742590488,5.379519041758623
118.0,2.755076852781579,7.706317754621468
119.0,4.112796520676316,6.771036305059375
120.0,3.1323990366445424,5.611804160705437
121.0,11.396285496605524,6.160042533942857
122.0,3.033469497532499,8.691294458945999
123.0,3.5795067441306405,4.02626122018908
124.0,3.5488154624438404,9.831742794381201
125.0,3.718516725664183,8.346282411600779
126.0,3.3073719067321954,3.702788825677297
127.0,5.575478941480379,3.5879188374321704
128.0,4.901284885205485,5.948462801795344
129.0,5.654597575163375,5.476900975277549
130.0,6.210364836415703,6.669016497692736
131.0,2.6399713438729133,7.696044511982481
132.0,4.142187041544608,9.476468470927331
133.0,5.020432959939142,4.140174241943711
134.0,4.6517902445946255,7.261691629951316
135.0,13.564336384208305,6.042844550821071
136.0,5.082920908737863,7.0716011057040005
137.0,4.006320638307273,3.5548064562221375
138.0,3.4422375795625224,7.762127779935578
139.0,6.644238482007404,7.038852660117764
140.0,3.3897683241028993,6.422225091632225
141.0,5.573791835728553,5.685525680331327
142.0,5.082395394861175,13.150762303881976
143.0,3.584348500096038,6.315216299095981
144.0,4.323616095121382,7.282409416793222
145.0,4.286734569988799,4.494796308491285
146.0,6.160784334765907,10.906150379980948
147.0,5.391385762262274,5.435091030425155
148.0,3.0465138458405066,10.052202332336432
149.0,3.1901664795337172,6.792196192718771
150.0,2.8695419713565777,5.612296803650876
151.0,4.985752200457719,6.50687949306297
152.0,4.289209412920315,6.9818498921383165
153.0,8.32028445806495,4.417942464300746
154.0,3.8763168223078726,14.363346474105542
155.0,4.523072305345005,4.9324469085024525
156.0,4.711960835931225,6.072901766396748
157.0,4.34077680457596,4.438421656412318
158.0,6.0091765535689445,7.34251244581157
159.0,8.255920354706179,4.70712506931553
160.0,7.840125247102975,7.263432325410181
161.0,4.6844966971679005,5.090799659084922
162.0,3.524338402035149,9.767836963338107
163.0,4.548780562451975,9.471316187240234
164.0,11.262331292025037,6.101939334641557
165.0,1.7298886327134133,6.897369499860593
166.0,2.908360893339204,3.8640550479114597
167.0,3.821427223173299,5.173260240326979
168.0,7.914453784210359,7.622095905074735
169.0,4.247115928259699,6.951976324867956
170.0,4.486188895316016,8.448994799425853
171.0,4.0972249367561675,2.8779318058304835
172.0,4.833843706163698,5.4552147484798255
173.0,3.8547128675589586,6.308478458711721
174.0,3.0862383661644053,5.072011260216892
175.0,9.714038709287134,5.421154133467379
176.0,2.657992205883001,7.876810937192713
177.0,3.8356859720795016,8.187183086570162
178.0,3.9201066820530595,9.494592325938203
179.0,4.650954937579694,12.157680971780968
180.0,6.76997215928472,4.7249350468775555
181.0,4.503868598545193,8.43752282542922
182.0,3.586679949283416,5.839398088938319
183.0,4.451223145988715,6.442966897464163
184.0,6.451143097854564,7.88138235217981
185.0,5.973124272524055,6.589638944739939
186.0,4.228061243729265,8.754453951807127
187.0,2.614175582607746,9.304043501220724
188.0,7.731990232421612,6.958870643597609
189.0,5.227172534362274,6.143719982550893
190.0,3.8088557551537083,4.535258777903981
191.0,4.461347584289223,7.771693934779807
192.0,4.304292803120602,3.877431115748693
193.0,5.82673853603225,4.3954763094836
194.0,5.19068106590664,5.897806131409232
195.0,2.8166924673647245,5.899947152628337
196.0,6.810439410256667,9.624226443777756
197.0,4.061164174110789,7.33855390338594
198.0,6.675827728453906,5.69399231477996
199.0,9.238751478601055,7.720895126864889
200.0,3.382130358530417,7.90265726879896
201.0,4.5407747783407935,6.104516091157421
202.0,2.7831673931092586,5.454228906943589
203.0,4.3216552037218285,5.156333435529375
204.0,6.259478914536421,11.263419235371657
205.0,3.512120569627383,4.296710949830869
206.0,2.7160420774409917,5.013575699116736
207.0,3.9990360144041905,5.113946963090238
208.0,4.833983161876231,4.9125549735631315
209.0,8.528945190880224,3.46315649039798
210.0,9.2172335437239,4.13595177729876
211.0,3.572752148819314,5.983760869784514
212.0,3.131394610003949,10.181130507160729
213.0,4.393617464507013,3.331582157258525
214.0,7.826832795762081,3.519208050246423
215.0,4.886483005959654,3.9320215558441984
216.0,2.73636858398901,8.182088523031359
217.0,5.955955998973577,4.448085778270761
218.0,8.26032830777837,5.460651326152338
219.0,5.911603807484121,4.035457730547709
